,Maximum value,Latitude,Longitude,M,Z
1936.0,13.300000190734863,58.767,56.2,57.0,123.0
1937.0,27.5,58.767,56.2,57.0,123.0
1938.0,25.600000381469727,58.767,56.2,57.0,123.0
1939.0,38.20000076293945,58.767,56.2,57.0,123.0
1940.0,21.0,58.767,56.2,57.0,123.0
1941.0,28.5,58.767,56.2,57.0,123.0
1942.0,36.79999923706055,58.767,56.2,57.0,123.0
1943.0,37.29999923706055,58.767,56.2,57.0,123.0
1944.0,25.0,58.767,56.2,57.0,123.0
1945.0,25.399999618530273,58.767,56.2,57.0,123.0
1946.0,18.299999237060547,58.767,56.2,57.0,123.0
1947.0,22.5,58.767,56.2,57.0,123.0
1948.0,28.0,58.767,56.2,57.0,123.0
1949.0,18.200000762939453,58.767,56.2,57.0,123.0
1950.0,35.5,58.767,56.2,57.0,123.0
1951.0,17.0,58.767,56.2,57.0,123.0
1952.0,22.0,58.767,56.2,57.0,123.0
1953.0,17.600000381469727,58.767,56.2,57.0,123.0
1954.0,23.799999237060547,58.767,56.2,57.0,123.0
1955.0,27.0,58.767,56.2,57.0,123.0
1956.0,47.900001525878906,58.767,56.2,57.0,123.0
1957.0,33.29999923706055,58.767,56.2,57.0,123.0
1958.0,40.70000076293945,58.767,56.2,57.0,123.0
1959.0,71.9000015258789,58.767,56.2,57.0,123.0
1960.0,30.399999618530273,58.767,56.2,57.0,123.0
1961.0,20.700000762939453,58.767,56.2,57.0,123.0
1962.0,46.70000076293945,58.767,56.2,57.0,123.0
1963.0,20.299999237060547,58.767,56.2,57.0,123.0
1964.0,25.5,58.767,56.2,57.0,123.0
1965.0,21.100000381469727,58.767,56.2,57.0,123.0
1966.0,55.0,58.767,56.2,57.0,123.0
1967.0,61.29999923706055,58.767,56.2,57.0,123.0
1968.0,17.899999618530273,58.767,56.2,57.0,123.0
1969.0,25.399999618530273,58.767,56.2,57.0,123.0
1970.0,17.5,58.767,56.2,57.0,123.0
1971.0,32.5,58.767,56.2,57.0,123.0
1972.0,34.900001525878906,58.767,56.2,57.0,123.0
1973.0,27.399999618530273,58.767,56.2,57.0,123.0
1974.0,25.299999237060547,58.767,56.2,57.0,123.0
1975.0,12.800000190734863,58.767,56.2,57.0,123.0
1976.0,25.399999618530273,58.767,56.2,57.0,123.0
1978.0,35.70000076293945,58.767,56.2,57.0,123.0
1979.0,22.799999237060547,58.767,56.2,57.0,123.0
1980.0,31.600000381469727,58.767,56.2,57.0,123.0
1981.0,36.5,58.767,56.2,57.0,123.0
1982.0,20.700000762939453,58.767,56.2,57.0,123.0
1983.0,25.200000762939453,58.767,56.2,57.0,123.0
1984.0,39.70000076293945,58.767,56.2,57.0,123.0
1985.0,23.200000762939453,58.767,56.2,57.0,123.0
1986.0,26.600000381469727,58.767,56.2,57.0,123.0
1988.0,65.69999694824219,58.767,56.2,57.0,123.0
1989.0,25.200000762939453,58.767,56.2,57.0,123.0
1990.0,38.599998474121094,58.767,56.2,57.0,123.0
1991.0,24.200000762939453,58.767,56.2,57.0,123.0
1992.0,28.600000381469727,58.767,56.2,57.0,123.0
1994.0,25.700000762939453,58.767,56.2,57.0,123.0
1995.0,26.299999237060547,58.767,56.2,57.0,123.0
