,Maximum value,Latitude,Longitude,M,Z
1951.0,82.30000305175781,29.05,111.683,62.0,35.0
1952.0,86.80000305175781,29.05,111.683,62.0,35.0
1953.0,91.5,29.05,111.683,62.0,35.0
1954.0,176.8000030517578,29.05,111.683,62.0,35.0
1955.0,51.5,29.05,111.683,62.0,35.0
1956.0,79.5,29.05,111.683,62.0,35.0
1957.0,159.0,29.05,111.683,62.0,35.0
1958.0,113.30000305175781,29.05,111.683,62.0,35.0
1959.0,48.400001525878906,29.05,111.683,62.0,35.0
1960.0,63.70000076293945,29.05,111.683,62.0,35.0
1961.0,41.0,29.05,111.683,62.0,35.0
1962.0,72.0999984741211,29.05,111.683,62.0,35.0
1963.0,82.4000015258789,29.05,111.683,62.0,35.0
1964.0,94.30000305175781,29.05,111.683,62.0,35.0
1965.0,143.60000610351562,29.05,111.683,62.0,35.0
1966.0,155.10000610351562,29.05,111.683,62.0,35.0
1967.0,135.10000610351562,29.05,111.683,62.0,35.0
1968.0,102.0999984741211,29.05,111.683,62.0,35.0
1969.0,127.0999984741211,29.05,111.683,62.0,35.0
1970.0,102.5999984741211,29.05,111.683,62.0,35.0
1971.0,73.69999694824219,29.05,111.683,62.0,35.0
1972.0,42.400001525878906,29.05,111.683,62.0,35.0
1973.0,132.6999969482422,29.05,111.683,62.0,35.0
1974.0,47.29999923706055,29.05,111.683,62.0,35.0
1975.0,129.5,29.05,111.683,62.0,35.0
1976.0,51.5,29.05,111.683,62.0,35.0
1977.0,121.69999694824219,29.05,111.683,62.0,35.0
1978.0,50.5,29.05,111.683,62.0,35.0
1979.0,101.0999984741211,29.05,111.683,62.0,35.0
1980.0,148.89999389648438,29.05,111.683,62.0,35.0
1981.0,135.5,29.05,111.683,62.0,35.0
1982.0,82.0999984741211,29.05,111.683,62.0,35.0
1983.0,107.30000305175781,29.05,111.683,62.0,35.0
1984.0,76.0,29.05,111.683,62.0,35.0
1985.0,60.400001525878906,29.05,111.683,62.0,35.0
1986.0,81.9000015258789,29.05,111.683,62.0,35.0
1987.0,100.0,29.05,111.683,62.0,35.0
1988.0,110.80000305175781,29.05,111.683,62.0,35.0
1989.0,68.5,29.05,111.683,62.0,35.0
1990.0,121.0,29.05,111.683,62.0,35.0
1991.0,49.20000076293945,29.05,111.683,62.0,35.0
1992.0,79.80000305175781,29.05,111.683,62.0,35.0
1993.0,124.30000305175781,29.05,111.683,62.0,35.0
1994.0,105.0,29.05,111.683,62.0,35.0
1995.0,90.80000305175781,29.05,111.683,62.0,35.0
1996.0,79.4000015258789,29.05,111.683,62.0,35.0
1997.0,68.9000015258789,29.05,111.683,62.0,35.0
1998.0,114.30000305175781,29.05,111.683,62.0,35.0
1999.0,251.10000610351562,29.05,111.683,62.0,35.0
2000.0,93.80000305175781,29.05,111.683,62.0,35.0
2001.0,68.9000015258789,29.05,111.683,62.0,35.0
2002.0,132.5,29.05,111.683,62.0,35.0
2003.0,76.5,29.05,111.683,62.0,35.0
2004.0,87.19999694824219,29.05,111.683,62.0,35.0
2005.0,90.80000305175781,29.05,111.683,62.0,35.0
2006.0,97.9000015258789,29.05,111.683,62.0,35.0
2007.0,67.5999984741211,29.05,111.683,62.0,35.0
2008.0,164.39999389648438,29.05,111.683,62.0,35.0
2009.0,98.69999694824219,29.05,111.683,62.0,35.0
2010.0,113.5999984741211,29.05,111.683,62.0,35.0
2011.0,65.80000305175781,29.05,111.683,62.0,35.0
2012.0,79.5999984741211,29.05,111.683,62.0,35.0
