,Maximum value,Latitude,Longitude,M,Z
1961.0,82.0,35.733,140.85,56.0,28.0
1962.0,102.0,35.733,140.85,56.0,28.0
1963.0,188.0,35.733,140.85,56.0,28.0
1964.0,88.0,35.733,140.85,56.0,28.0
1965.0,78.0,35.733,140.85,56.0,28.0
1966.0,110.0,35.733,140.85,56.0,28.0
1967.0,177.0,35.733,140.85,56.0,28.0
1968.0,113.0,35.733,140.85,56.0,28.0
1969.0,88.0,35.733,140.85,56.0,28.0
1970.0,88.0,35.733,140.85,56.0,28.0
1971.0,183.0,35.733,140.85,56.0,28.0
1972.0,216.0,35.733,140.85,56.0,28.0
1973.0,84.0,35.733,140.85,56.0,28.0
1974.0,96.0,35.733,140.85,56.0,28.0
1975.0,77.0,35.733,140.85,56.0,28.0
1976.0,81.0,35.733,140.85,56.0,28.0
1977.0,110.0,35.733,140.85,56.0,28.0
1978.0,80.0,35.733,140.85,56.0,28.0
1979.0,141.0,35.733,140.85,56.0,28.0
1980.0,104.0,35.733,140.85,56.0,28.0
1981.0,57.0,35.733,140.85,56.0,28.0
1982.0,67.0,35.733,140.85,56.0,28.0
1983.0,99.0,35.733,140.85,56.0,28.0
1984.0,56.0,35.733,140.85,56.0,28.0
1985.0,89.0,35.733,140.85,56.0,28.0
1986.0,149.0,35.733,140.85,56.0,28.0
1987.0,119.0,35.733,140.85,56.0,28.0
1988.0,107.0,35.733,140.85,56.0,28.0
1989.0,107.0,35.733,140.85,56.0,28.0
1990.0,72.0,35.733,140.85,56.0,28.0
1991.0,129.0,35.733,140.85,56.0,28.0
1992.0,208.0,35.733,140.85,56.0,28.0
1993.0,83.0,35.733,140.85,56.0,28.0
1994.0,114.0,35.733,140.85,56.0,28.0
1995.0,228.0,35.733,140.85,56.0,28.0
1996.0,206.0,35.733,140.85,56.0,28.0
1997.0,92.0,35.733,140.85,56.0,28.0
1998.0,126.0,35.733,140.85,56.0,28.0
1999.0,92.0,35.733,140.85,56.0,28.0
2000.0,110.0,35.733,140.85,56.0,28.0
2004.0,192.5,35.733,140.85,56.0,28.0
2005.0,153.89999389648438,35.733,140.85,56.0,28.0
2006.0,153.89999389648438,35.733,140.85,56.0,28.0
2007.0,201.39999389648438,35.733,140.85,56.0,28.0
2008.0,103.0999984741211,35.733,140.85,56.0,28.0
2009.0,109.0,35.733,140.85,56.0,28.0
2010.0,72.9000015258789,35.733,140.85,56.0,28.0
2011.0,115.5999984741211,35.733,140.85,56.0,28.0
2012.0,90.4000015258789,35.733,140.85,56.0,28.0
2013.0,246.89999389648438,35.733,140.85,56.0,28.0
2014.0,166.60000610351562,35.733,140.85,56.0,28.0
2015.0,101.0999984741211,35.733,140.85,56.0,28.0
2016.0,109.0,35.733,140.85,56.0,28.0
2017.0,109.0,35.733,140.85,56.0,28.0
2018.0,61.0,35.733,140.85,56.0,28.0
2019.0,133.10000610351562,35.733,140.85,56.0,28.0
