,Maximum value,Latitude,Longitude,M,Z
1951.0,5.199999809265137,40.15,94.683,62.0,1140.0
1952.0,19.700000762939453,40.15,94.683,62.0,1140.0
1953.0,6.099999904632568,40.15,94.683,62.0,1140.0
1954.0,7.900000095367432,40.15,94.683,62.0,1140.0
1955.0,14.199999809265137,40.15,94.683,62.0,1140.0
1956.0,1.7000000476837158,40.15,94.683,62.0,1140.0
1957.0,4.099999904632568,40.15,94.683,62.0,1140.0
1958.0,14.100000381469727,40.15,94.683,62.0,1140.0
1959.0,9.100000381469727,40.15,94.683,62.0,1140.0
1960.0,2.9000000953674316,40.15,94.683,62.0,1140.0
1961.0,4.5,40.15,94.683,62.0,1140.0
1962.0,11.5,40.15,94.683,62.0,1140.0
1963.0,11.300000190734863,40.15,94.683,62.0,1140.0
1964.0,7.400000095367432,40.15,94.683,62.0,1140.0
1965.0,6.199999809265137,40.15,94.683,62.0,1140.0
1966.0,3.4000000953674316,40.15,94.683,62.0,1140.0
1967.0,9.199999809265137,40.15,94.683,62.0,1140.0
1968.0,5.900000095367432,40.15,94.683,62.0,1140.0
1969.0,9.800000190734863,40.15,94.683,62.0,1140.0
1970.0,8.899999618530273,40.15,94.683,62.0,1140.0
1971.0,27.100000381469727,40.15,94.683,62.0,1140.0
1972.0,14.300000190734863,40.15,94.683,62.0,1140.0
1973.0,10.699999809265137,40.15,94.683,62.0,1140.0
1974.0,5.800000190734863,40.15,94.683,62.0,1140.0
1975.0,9.5,40.15,94.683,62.0,1140.0
1976.0,19.700000762939453,40.15,94.683,62.0,1140.0
1977.0,15.100000381469727,40.15,94.683,62.0,1140.0
1978.0,9.600000381469727,40.15,94.683,62.0,1140.0
1979.0,20.299999237060547,40.15,94.683,62.0,1140.0
1980.0,5.5,40.15,94.683,62.0,1140.0
1981.0,13.899999618530273,40.15,94.683,62.0,1140.0
1982.0,10.899999618530273,40.15,94.683,62.0,1140.0
1983.0,5.099999904632568,40.15,94.683,62.0,1140.0
1984.0,13.899999618530273,40.15,94.683,62.0,1140.0
1985.0,5.300000190734863,40.15,94.683,62.0,1140.0
1986.0,3.299999952316284,40.15,94.683,62.0,1140.0
1987.0,11.100000381469727,40.15,94.683,62.0,1140.0
1988.0,12.199999809265137,40.15,94.683,62.0,1140.0
1989.0,6.400000095367432,40.15,94.683,62.0,1140.0
1990.0,12.800000190734863,40.15,94.683,62.0,1140.0
1991.0,3.9000000953674316,40.15,94.683,62.0,1140.0
1992.0,7.5,40.15,94.683,62.0,1140.0
1993.0,15.5,40.15,94.683,62.0,1140.0
1994.0,8.399999618530273,40.15,94.683,62.0,1140.0
1995.0,14.300000190734863,40.15,94.683,62.0,1140.0
1996.0,9.399999618530273,40.15,94.683,62.0,1140.0
1997.0,11.5,40.15,94.683,62.0,1140.0
1998.0,9.5,40.15,94.683,62.0,1140.0
1999.0,5.099999904632568,40.15,94.683,62.0,1140.0
2000.0,9.300000190734863,40.15,94.683,62.0,1140.0
2001.0,10.100000381469727,40.15,94.683,62.0,1140.0
2002.0,30.799999237060547,40.15,94.683,62.0,1140.0
2003.0,10.5,40.15,94.683,62.0,1140.0
2004.0,12.0,40.15,94.683,62.0,1140.0
2005.0,22.600000381469727,40.15,94.683,62.0,1140.0
2006.0,12.699999809265137,40.15,94.683,62.0,1140.0
2007.0,17.899999618530273,40.15,94.683,62.0,1140.0
2008.0,4.099999904632568,40.15,94.683,62.0,1140.0
2009.0,2.9000000953674316,40.15,94.683,62.0,1140.0
2010.0,9.0,40.15,94.683,62.0,1140.0
2011.0,13.399999618530273,40.15,94.683,62.0,1140.0
2012.0,15.399999618530273,40.15,94.683,62.0,1140.0
