,Maximum value,Latitude,Longitude,M,Z
1957.0,18.0,37.333,100.133,56.0,3302.0
1958.0,20.200000762939453,37.333,100.133,56.0,3302.0
1959.0,40.5,37.333,100.133,56.0,3302.0
1960.0,19.299999237060547,37.333,100.133,56.0,3302.0
1961.0,37.29999923706055,37.333,100.133,56.0,3302.0
1962.0,22.200000762939453,37.333,100.133,56.0,3302.0
1963.0,28.799999237060547,37.333,100.133,56.0,3302.0
1964.0,18.399999618530273,37.333,100.133,56.0,3302.0
1965.0,17.0,37.333,100.133,56.0,3302.0
1966.0,15.699999809265137,37.333,100.133,56.0,3302.0
1967.0,24.399999618530273,37.333,100.133,56.0,3302.0
1968.0,23.5,37.333,100.133,56.0,3302.0
1969.0,20.899999618530273,37.333,100.133,56.0,3302.0
1970.0,20.0,37.333,100.133,56.0,3302.0
1971.0,22.0,37.333,100.133,56.0,3302.0
1972.0,21.700000762939453,37.333,100.133,56.0,3302.0
1973.0,15.800000190734863,37.333,100.133,56.0,3302.0
1974.0,40.0,37.333,100.133,56.0,3302.0
1975.0,33.70000076293945,37.333,100.133,56.0,3302.0
1976.0,22.5,37.333,100.133,56.0,3302.0
1977.0,25.299999237060547,37.333,100.133,56.0,3302.0
1978.0,16.799999237060547,37.333,100.133,56.0,3302.0
1979.0,39.29999923706055,37.333,100.133,56.0,3302.0
1980.0,21.600000381469727,37.333,100.133,56.0,3302.0
1981.0,29.0,37.333,100.133,56.0,3302.0
1982.0,34.400001525878906,37.333,100.133,56.0,3302.0
1983.0,18.0,37.333,100.133,56.0,3302.0
1984.0,19.299999237060547,37.333,100.133,56.0,3302.0
1985.0,29.200000762939453,37.333,100.133,56.0,3302.0
1986.0,27.0,37.333,100.133,56.0,3302.0
1987.0,31.5,37.333,100.133,56.0,3302.0
1988.0,29.5,37.333,100.133,56.0,3302.0
1989.0,25.100000381469727,37.333,100.133,56.0,3302.0
1990.0,17.899999618530273,37.333,100.133,56.0,3302.0
1991.0,22.100000381469727,37.333,100.133,56.0,3302.0
1992.0,14.899999618530273,37.333,100.133,56.0,3302.0
1993.0,19.299999237060547,37.333,100.133,56.0,3302.0
1994.0,34.20000076293945,37.333,100.133,56.0,3302.0
1995.0,33.0,37.333,100.133,56.0,3302.0
1996.0,35.79999923706055,37.333,100.133,56.0,3302.0
1997.0,44.79999923706055,37.333,100.133,56.0,3302.0
1998.0,23.5,37.333,100.133,56.0,3302.0
1999.0,19.299999237060547,37.333,100.133,56.0,3302.0
2000.0,35.400001525878906,37.333,100.133,56.0,3302.0
2001.0,22.899999618530273,37.333,100.133,56.0,3302.0
2002.0,27.799999237060547,37.333,100.133,56.0,3302.0
2003.0,26.399999618530273,37.333,100.133,56.0,3302.0
2004.0,28.5,37.333,100.133,56.0,3302.0
2005.0,21.600000381469727,37.333,100.133,56.0,3302.0
2006.0,47.20000076293945,37.333,100.133,56.0,3302.0
2007.0,24.600000381469727,37.333,100.133,56.0,3302.0
2008.0,31.600000381469727,37.333,100.133,56.0,3302.0
2009.0,22.5,37.333,100.133,56.0,3302.0
2010.0,30.100000381469727,37.333,100.133,56.0,3302.0
2011.0,25.5,37.333,100.133,56.0,3302.0
2012.0,19.200000762939453,37.333,100.133,56.0,3302.0
