,Maximum value,Latitude,Longitude,M,Z
1961.0,225.0,26.2,127.683,56.0,53.0
1962.0,118.0,26.2,127.683,56.0,53.0
1963.0,84.0,26.2,127.683,56.0,53.0
1964.0,145.0,26.2,127.683,56.0,53.0
1965.0,211.0,26.2,127.683,56.0,53.0
1966.0,152.0,26.2,127.683,56.0,53.0
1967.0,194.0,26.2,127.683,56.0,53.0
1968.0,103.0,26.2,127.683,56.0,53.0
1969.0,265.0,26.2,127.683,56.0,53.0
1970.0,118.0,26.2,127.683,56.0,53.0
1971.0,263.0,26.2,127.683,56.0,53.0
1972.0,187.0,26.2,127.683,56.0,53.0
1973.0,200.0,26.2,127.683,56.0,53.0
1974.0,166.0,26.2,127.683,56.0,53.0
1975.0,160.0,26.2,127.683,56.0,53.0
1976.0,131.0,26.2,127.683,56.0,53.0
1977.0,138.0,26.2,127.683,56.0,53.0
1978.0,104.0,26.2,127.683,56.0,53.0
1979.0,134.0,26.2,127.683,56.0,53.0
1980.0,145.0,26.2,127.683,56.0,53.0
1981.0,150.0,26.2,127.683,56.0,53.0
1982.0,261.0,26.2,127.683,56.0,53.0
1983.0,166.0,26.2,127.683,56.0,53.0
1984.0,245.0,26.2,127.683,56.0,53.0
1985.0,225.0,26.2,127.683,56.0,53.0
1986.0,170.0,26.2,127.683,56.0,53.0
1987.0,195.0,26.2,127.683,56.0,53.0
1988.0,222.0,26.2,127.683,56.0,53.0
1989.0,119.0,26.2,127.683,56.0,53.0
1990.0,107.0,26.2,127.683,56.0,53.0
1991.0,173.0,26.2,127.683,56.0,53.0
1992.0,212.0,26.2,127.683,56.0,53.0
1993.0,137.0,26.2,127.683,56.0,53.0
1994.0,106.0,26.2,127.683,56.0,53.0
1995.0,107.0,26.2,127.683,56.0,53.0
1996.0,159.0,26.2,127.683,56.0,53.0
1997.0,218.0,26.2,127.683,56.0,53.0
1998.0,243.0,26.2,127.683,56.0,53.0
1999.0,412.0,26.2,127.683,56.0,53.0
2000.0,211.0,26.2,127.683,56.0,53.0
2004.0,212.60000610351562,26.2,127.683,56.0,53.0
2005.0,190.5,26.2,127.683,56.0,53.0
2006.0,98.0,26.2,127.683,56.0,53.0
2007.0,335.5,26.2,127.683,56.0,53.0
2008.0,138.89999389648438,26.2,127.683,56.0,53.0
2009.0,185.39999389648438,26.2,127.683,56.0,53.0
2010.0,133.10000610351562,26.2,127.683,56.0,53.0
2011.0,324.1000061035156,26.2,127.683,56.0,53.0
2012.0,267.5,26.2,127.683,56.0,53.0
2013.0,106.9000015258789,26.2,127.683,56.0,53.0
2014.0,358.8999938964844,26.2,127.683,56.0,53.0
2015.0,91.9000015258789,26.2,127.683,56.0,53.0
2016.0,124.0,26.2,127.683,56.0,53.0
2017.0,206.5,26.2,127.683,56.0,53.0
2018.0,158.0,26.2,127.683,56.0,53.0
2019.0,140.0,26.2,127.683,56.0,53.0
