,Maximum value,Latitude,Longitude,M,Z
1952.0,210.1999969482422,19.233,110.467,61.0,25.0
1953.0,356.3999938964844,19.233,110.467,61.0,25.0
1954.0,182.10000610351562,19.233,110.467,61.0,25.0
1955.0,104.69999694824219,19.233,110.467,61.0,25.0
1956.0,91.69999694824219,19.233,110.467,61.0,25.0
1957.0,245.6999969482422,19.233,110.467,61.0,25.0
1958.0,262.0,19.233,110.467,61.0,25.0
1959.0,148.10000610351562,19.233,110.467,61.0,25.0
1960.0,137.1999969482422,19.233,110.467,61.0,25.0
1961.0,173.5,19.233,110.467,61.0,25.0
1962.0,83.30000305175781,19.233,110.467,61.0,25.0
1963.0,243.89999389648438,19.233,110.467,61.0,25.0
1964.0,104.0999984741211,19.233,110.467,61.0,25.0
1965.0,186.5,19.233,110.467,61.0,25.0
1966.0,145.60000610351562,19.233,110.467,61.0,25.0
1967.0,154.1999969482422,19.233,110.467,61.0,25.0
1968.0,100.5999984741211,19.233,110.467,61.0,25.0
1969.0,57.099998474121094,19.233,110.467,61.0,25.0
1970.0,305.79998779296875,19.233,110.467,61.0,25.0
1971.0,155.1999969482422,19.233,110.467,61.0,25.0
1972.0,219.0,19.233,110.467,61.0,25.0
1973.0,180.89999389648438,19.233,110.467,61.0,25.0
1974.0,125.19999694824219,19.233,110.467,61.0,25.0
1975.0,79.4000015258789,19.233,110.467,61.0,25.0
1976.0,186.60000610351562,19.233,110.467,61.0,25.0
1977.0,110.0,19.233,110.467,61.0,25.0
1978.0,125.69999694824219,19.233,110.467,61.0,25.0
1979.0,307.0,19.233,110.467,61.0,25.0
1980.0,142.5,19.233,110.467,61.0,25.0
1981.0,186.60000610351562,19.233,110.467,61.0,25.0
1982.0,170.0,19.233,110.467,61.0,25.0
1983.0,155.60000610351562,19.233,110.467,61.0,25.0
1984.0,152.5,19.233,110.467,61.0,25.0
1985.0,174.3000030517578,19.233,110.467,61.0,25.0
1986.0,155.39999389648438,19.233,110.467,61.0,25.0
1987.0,167.5,19.233,110.467,61.0,25.0
1988.0,152.5,19.233,110.467,61.0,25.0
1989.0,253.10000610351562,19.233,110.467,61.0,25.0
1990.0,183.6999969482422,19.233,110.467,61.0,25.0
1991.0,120.4000015258789,19.233,110.467,61.0,25.0
1992.0,193.39999389648438,19.233,110.467,61.0,25.0
1993.0,213.0,19.233,110.467,61.0,25.0
1994.0,163.60000610351562,19.233,110.467,61.0,25.0
1995.0,113.69999694824219,19.233,110.467,61.0,25.0
1996.0,184.3000030517578,19.233,110.467,61.0,25.0
1997.0,147.1999969482422,19.233,110.467,61.0,25.0
1998.0,184.10000610351562,19.233,110.467,61.0,25.0
1999.0,174.8000030517578,19.233,110.467,61.0,25.0
2000.0,402.3999938964844,19.233,110.467,61.0,25.0
2001.0,215.6999969482422,19.233,110.467,61.0,25.0
2002.0,185.3000030517578,19.233,110.467,61.0,25.0
2003.0,143.60000610351562,19.233,110.467,61.0,25.0
2004.0,171.10000610351562,19.233,110.467,61.0,25.0
2005.0,285.79998779296875,19.233,110.467,61.0,25.0
2006.0,118.30000305175781,19.233,110.467,61.0,25.0
2007.0,243.1999969482422,19.233,110.467,61.0,25.0
2008.0,215.8000030517578,19.233,110.467,61.0,25.0
2009.0,176.1999969482422,19.233,110.467,61.0,25.0
2010.0,614.7000122070312,19.233,110.467,61.0,25.0
2011.0,218.0,19.233,110.467,61.0,25.0
2012.0,144.6999969482422,19.233,110.467,61.0,25.0
