,Maximum value,Latitude,Longitude,M,Z
1937.0,38.0,44.4,135.9,60.0,27.0
1939.0,154.89999389648438,44.4,135.9,60.0,27.0
1940.0,35.20000076293945,44.4,135.9,60.0,27.0
1941.0,62.900001525878906,44.4,135.9,60.0,27.0
1942.0,95.80000305175781,44.4,135.9,60.0,27.0
1943.0,88.19999694824219,44.4,135.9,60.0,27.0
1944.0,53.099998474121094,44.4,135.9,60.0,27.0
1945.0,50.5,44.4,135.9,60.0,27.0
1946.0,140.60000610351562,44.4,135.9,60.0,27.0
1947.0,80.19999694824219,44.4,135.9,60.0,27.0
1948.0,73.0999984741211,44.4,135.9,60.0,27.0
1949.0,78.69999694824219,44.4,135.9,60.0,27.0
1950.0,63.79999923706055,44.4,135.9,60.0,27.0
1951.0,119.0,44.4,135.9,60.0,27.0
1952.0,68.80000305175781,44.4,135.9,60.0,27.0
1953.0,86.9000015258789,44.4,135.9,60.0,27.0
1955.0,49.79999923706055,44.4,135.9,60.0,27.0
1956.0,85.0,44.4,135.9,60.0,27.0
1957.0,52.29999923706055,44.4,135.9,60.0,27.0
1958.0,115.80000305175781,44.4,135.9,60.0,27.0
1959.0,107.5,44.4,135.9,60.0,27.0
1960.0,45.79999923706055,44.4,135.9,60.0,27.0
1961.0,42.29999923706055,44.4,135.9,60.0,27.0
1962.0,84.19999694824219,44.4,135.9,60.0,27.0
1963.0,67.80000305175781,44.4,135.9,60.0,27.0
1964.0,34.79999923706055,44.4,135.9,60.0,27.0
1965.0,39.599998474121094,44.4,135.9,60.0,27.0
1966.0,77.69999694824219,44.4,135.9,60.0,27.0
1967.0,50.20000076293945,44.4,135.9,60.0,27.0
1968.0,172.3000030517578,44.4,135.9,60.0,27.0
1969.0,31.399999618530273,44.4,135.9,60.0,27.0
1970.0,54.29999923706055,44.4,135.9,60.0,27.0
1971.0,94.19999694824219,44.4,135.9,60.0,27.0
1972.0,174.5,44.4,135.9,60.0,27.0
1973.0,66.9000015258789,44.4,135.9,60.0,27.0
1974.0,84.30000305175781,44.4,135.9,60.0,27.0
1975.0,44.900001525878906,44.4,135.9,60.0,27.0
1976.0,46.599998474121094,44.4,135.9,60.0,27.0
1977.0,65.69999694824219,44.4,135.9,60.0,27.0
1978.0,48.099998474121094,44.4,135.9,60.0,27.0
1979.0,83.0999984741211,44.4,135.9,60.0,27.0
1980.0,143.5,44.4,135.9,60.0,27.0
1981.0,144.60000610351562,44.4,135.9,60.0,27.0
1982.0,111.80000305175781,44.4,135.9,60.0,27.0
1983.0,71.5999984741211,44.4,135.9,60.0,27.0
1984.0,113.30000305175781,44.4,135.9,60.0,27.0
1985.0,168.5,44.4,135.9,60.0,27.0
1987.0,70.0,44.4,135.9,60.0,27.0
1988.0,91.0999984741211,44.4,135.9,60.0,27.0
1989.0,92.5,44.4,135.9,60.0,27.0
1990.0,78.19999694824219,44.4,135.9,60.0,27.0
1991.0,112.4000015258789,44.4,135.9,60.0,27.0
1992.0,60.099998474121094,44.4,135.9,60.0,27.0
1993.0,85.0,44.4,135.9,60.0,27.0
1994.0,85.9000015258789,44.4,135.9,60.0,27.0
1995.0,59.29999923706055,44.4,135.9,60.0,27.0
1996.0,57.400001525878906,44.4,135.9,60.0,27.0
1997.0,71.4000015258789,44.4,135.9,60.0,27.0
1998.0,132.1999969482422,44.4,135.9,60.0,27.0
1999.0,58.5,44.4,135.9,60.0,27.0
