,Maximum value,Latitude,Longitude,M,Z
1954.0,38.5,59.77,148.63,58.0,19.0
1955.0,55.900001525878906,59.77,148.63,58.0,19.0
1957.0,24.200000762939453,59.77,148.63,58.0,19.0
1958.0,60.0,59.77,148.63,58.0,19.0
1959.0,63.900001525878906,59.77,148.63,58.0,19.0
1960.0,85.4000015258789,59.77,148.63,58.0,19.0
1961.0,39.5,59.77,148.63,58.0,19.0
1962.0,45.20000076293945,59.77,148.63,58.0,19.0
1963.0,39.5,59.77,148.63,58.0,19.0
1964.0,60.099998474121094,59.77,148.63,58.0,19.0
1966.0,64.30000305175781,59.77,148.63,58.0,19.0
1967.0,79.0999984741211,59.77,148.63,58.0,19.0
1968.0,54.099998474121094,59.77,148.63,58.0,19.0
1969.0,52.29999923706055,59.77,148.63,58.0,19.0
1970.0,56.900001525878906,59.77,148.63,58.0,19.0
1971.0,68.9000015258789,59.77,148.63,58.0,19.0
1972.0,44.20000076293945,59.77,148.63,58.0,19.0
1973.0,57.5,59.77,148.63,58.0,19.0
1974.0,41.79999923706055,59.77,148.63,58.0,19.0
1975.0,101.0999984741211,59.77,148.63,58.0,19.0
1976.0,34.599998474121094,59.77,148.63,58.0,19.0
1977.0,53.0,59.77,148.63,58.0,19.0
1978.0,52.70000076293945,59.77,148.63,58.0,19.0
1979.0,56.29999923706055,59.77,148.63,58.0,19.0
1980.0,46.29999923706055,59.77,148.63,58.0,19.0
1981.0,62.599998474121094,59.77,148.63,58.0,19.0
1982.0,79.30000305175781,59.77,148.63,58.0,19.0
1983.0,46.29999923706055,59.77,148.63,58.0,19.0
1984.0,73.80000305175781,59.77,148.63,58.0,19.0
1985.0,49.400001525878906,59.77,148.63,58.0,19.0
1986.0,67.9000015258789,59.77,148.63,58.0,19.0
1987.0,54.900001525878906,59.77,148.63,58.0,19.0
1988.0,41.900001525878906,59.77,148.63,58.0,19.0
1989.0,62.79999923706055,59.77,148.63,58.0,19.0
1990.0,67.4000015258789,59.77,148.63,58.0,19.0
1991.0,48.29999923706055,59.77,148.63,58.0,19.0
1992.0,52.29999923706055,59.77,148.63,58.0,19.0
1993.0,43.0,59.77,148.63,58.0,19.0
1994.0,44.70000076293945,59.77,148.63,58.0,19.0
1995.0,61.20000076293945,59.77,148.63,58.0,19.0
1996.0,54.099998474121094,59.77,148.63,58.0,19.0
1997.0,46.70000076293945,59.77,148.63,58.0,19.0
1998.0,49.20000076293945,59.77,148.63,58.0,19.0
1999.0,37.20000076293945,59.77,148.63,58.0,19.0
2000.0,60.29999923706055,59.77,148.63,58.0,19.0
2001.0,69.69999694824219,59.77,148.63,58.0,19.0
2002.0,38.5,59.77,148.63,58.0,19.0
2003.0,49.5,59.77,148.63,58.0,19.0
2004.0,73.5999984741211,59.77,148.63,58.0,19.0
2005.0,35.099998474121094,59.77,148.63,58.0,19.0
2006.0,62.099998474121094,59.77,148.63,58.0,19.0
2007.0,66.5,59.77,148.63,58.0,19.0
2008.0,63.099998474121094,59.77,148.63,58.0,19.0
2009.0,44.0,59.77,148.63,58.0,19.0
2010.0,66.5,59.77,148.63,58.0,19.0
2011.0,47.400001525878906,59.77,148.63,58.0,19.0
2012.0,62.29999923706055,59.77,148.63,58.0,19.0
2013.0,57.400001525878906,59.77,148.63,58.0,19.0
