,Maximum value,Latitude,Longitude,M,Z
1901.0,112.0,29.98,76.83,68.0,254.0
1902.0,49.29999923706055,29.98,76.83,68.0,254.0
1903.0,127.80000305175781,29.98,76.83,68.0,254.0
1904.0,117.5999984741211,29.98,76.83,68.0,254.0
1905.0,63.79999923706055,29.98,76.83,68.0,254.0
1906.0,105.19999694824219,29.98,76.83,68.0,254.0
1907.0,130.0,29.98,76.83,68.0,254.0
1908.0,61.70000076293945,29.98,76.83,68.0,254.0
1909.0,56.900001525878906,29.98,76.83,68.0,254.0
1910.0,180.60000610351562,29.98,76.83,68.0,254.0
1911.0,86.9000015258789,29.98,76.83,68.0,254.0
1912.0,101.5999984741211,29.98,76.83,68.0,254.0
1913.0,106.69999694824219,29.98,76.83,68.0,254.0
1914.0,158.8000030517578,29.98,76.83,68.0,254.0
1915.0,127.5,29.98,76.83,68.0,254.0
1916.0,146.10000610351562,29.98,76.83,68.0,254.0
1917.0,99.30000305175781,29.98,76.83,68.0,254.0
1918.0,54.599998474121094,29.98,76.83,68.0,254.0
1919.0,88.9000015258789,29.98,76.83,68.0,254.0
1920.0,40.599998474121094,29.98,76.83,68.0,254.0
1921.0,54.599998474121094,29.98,76.83,68.0,254.0
1922.0,62.20000076293945,29.98,76.83,68.0,254.0
1923.0,63.5,29.98,76.83,68.0,254.0
1924.0,158.8000030517578,29.98,76.83,68.0,254.0
1925.0,65.30000305175781,29.98,76.83,68.0,254.0
1926.0,63.0,29.98,76.83,68.0,254.0
1927.0,69.5999984741211,29.98,76.83,68.0,254.0
1928.0,108.0,29.98,76.83,68.0,254.0
1929.0,45.70000076293945,29.98,76.83,68.0,254.0
1930.0,52.099998474121094,29.98,76.83,68.0,254.0
1931.0,50.29999923706055,29.98,76.83,68.0,254.0
1932.0,84.0999984741211,29.98,76.83,68.0,254.0
1933.0,118.0999984741211,29.98,76.83,68.0,254.0
1934.0,111.5,29.98,76.83,68.0,254.0
1935.0,82.30000305175781,29.98,76.83,68.0,254.0
1936.0,95.5,29.98,76.83,68.0,254.0
1937.0,162.10000610351562,29.98,76.83,68.0,254.0
1938.0,54.900001525878906,29.98,76.83,68.0,254.0
1939.0,53.099998474121094,29.98,76.83,68.0,254.0
1940.0,82.80000305175781,29.98,76.83,68.0,254.0
1941.0,73.9000015258789,29.98,76.83,68.0,254.0
1942.0,88.9000015258789,29.98,76.83,68.0,254.0
1943.0,63.5,29.98,76.83,68.0,254.0
1944.0,53.79999923706055,29.98,76.83,68.0,254.0
1945.0,92.5,29.98,76.83,68.0,254.0
1946.0,76.19999694824219,29.98,76.83,68.0,254.0
1947.0,163.10000610351562,29.98,76.83,68.0,254.0
1948.0,47.5,29.98,76.83,68.0,254.0
1949.0,101.5999984741211,29.98,76.83,68.0,254.0
1950.0,86.5999984741211,29.98,76.83,68.0,254.0
1951.0,66.30000305175781,29.98,76.83,68.0,254.0
1952.0,137.1999969482422,29.98,76.83,68.0,254.0
1953.0,50.0,29.98,76.83,68.0,254.0
1954.0,42.70000076293945,29.98,76.83,68.0,254.0
1955.0,115.5999984741211,29.98,76.83,68.0,254.0
1956.0,75.19999694824219,29.98,76.83,68.0,254.0
1957.0,114.80000305175781,29.98,76.83,68.0,254.0
1958.0,100.30000305175781,29.98,76.83,68.0,254.0
1959.0,63.20000076293945,29.98,76.83,68.0,254.0
1960.0,135.10000610351562,29.98,76.83,68.0,254.0
1961.0,100.80000305175781,29.98,76.83,68.0,254.0
1962.0,195.3000030517578,29.98,76.83,68.0,254.0
1963.0,102.5,29.98,76.83,68.0,254.0
1964.0,88.19999694824219,29.98,76.83,68.0,254.0
1965.0,129.39999389648438,29.98,76.83,68.0,254.0
1968.0,65.19999694824219,29.98,76.83,68.0,254.0
1969.0,93.0,29.98,76.83,68.0,254.0
1970.0,81.0,29.98,76.83,68.0,254.0
