,Maximum value,Latitude,Longitude,M,Z
1944.0,66.80000305175781,-18.2292,127.6636,74.0,422.0
1945.0,42.400001525878906,-18.2292,127.6636,74.0,422.0
1946.0,49.0,-18.2292,127.6636,74.0,422.0
1947.0,57.20000076293945,-18.2292,127.6636,74.0,422.0
1948.0,36.599998474121094,-18.2292,127.6636,74.0,422.0
1949.0,80.5,-18.2292,127.6636,74.0,422.0
1950.0,60.5,-18.2292,127.6636,74.0,422.0
1951.0,47.0,-18.2292,127.6636,74.0,422.0
1952.0,33.0,-18.2292,127.6636,74.0,422.0
1953.0,54.400001525878906,-18.2292,127.6636,74.0,422.0
1954.0,48.29999923706055,-18.2292,127.6636,74.0,422.0
1955.0,32.79999923706055,-18.2292,127.6636,74.0,422.0
1956.0,88.0999984741211,-18.2292,127.6636,74.0,422.0
1957.0,46.5,-18.2292,127.6636,74.0,422.0
1958.0,49.0,-18.2292,127.6636,74.0,422.0
1959.0,202.1999969482422,-18.2292,127.6636,74.0,422.0
1960.0,119.5999984741211,-18.2292,127.6636,74.0,422.0
1961.0,32.79999923706055,-18.2292,127.6636,74.0,422.0
1962.0,53.099998474121094,-18.2292,127.6636,74.0,422.0
1963.0,69.5999984741211,-18.2292,127.6636,74.0,422.0
1964.0,27.399999618530273,-18.2292,127.6636,74.0,422.0
1965.0,34.5,-18.2292,127.6636,74.0,422.0
1966.0,167.10000610351562,-18.2292,127.6636,74.0,422.0
1967.0,72.9000015258789,-18.2292,127.6636,74.0,422.0
1968.0,44.70000076293945,-18.2292,127.6636,74.0,422.0
1969.0,141.6999969482422,-18.2292,127.6636,74.0,422.0
1970.0,31.5,-18.2292,127.6636,74.0,422.0
1971.0,80.0,-18.2292,127.6636,74.0,422.0
1972.0,44.20000076293945,-18.2292,127.6636,74.0,422.0
1973.0,97.0,-18.2292,127.6636,74.0,422.0
1974.0,41.400001525878906,-18.2292,127.6636,74.0,422.0
1975.0,123.80000305175781,-18.2292,127.6636,74.0,422.0
1976.0,58.79999923706055,-18.2292,127.6636,74.0,422.0
1977.0,78.4000015258789,-18.2292,127.6636,74.0,422.0
1978.0,45.0,-18.2292,127.6636,74.0,422.0
1979.0,60.599998474121094,-18.2292,127.6636,74.0,422.0
1980.0,106.5999984741211,-18.2292,127.6636,74.0,422.0
1981.0,78.4000015258789,-18.2292,127.6636,74.0,422.0
1982.0,100.0,-18.2292,127.6636,74.0,422.0
1983.0,90.80000305175781,-18.2292,127.6636,74.0,422.0
1984.0,103.4000015258789,-18.2292,127.6636,74.0,422.0
1985.0,30.200000762939453,-18.2292,127.6636,74.0,422.0
1986.0,125.80000305175781,-18.2292,127.6636,74.0,422.0
1987.0,93.0,-18.2292,127.6636,74.0,422.0
1988.0,65.5999984741211,-18.2292,127.6636,74.0,422.0
1989.0,26.600000381469727,-18.2292,127.6636,74.0,422.0
1990.0,77.80000305175781,-18.2292,127.6636,74.0,422.0
1991.0,125.80000305175781,-18.2292,127.6636,74.0,422.0
1992.0,40.400001525878906,-18.2292,127.6636,74.0,422.0
1993.0,122.4000015258789,-18.2292,127.6636,74.0,422.0
1994.0,61.20000076293945,-18.2292,127.6636,74.0,422.0
1995.0,74.4000015258789,-18.2292,127.6636,74.0,422.0
1996.0,120.0,-18.2292,127.6636,74.0,422.0
1997.0,83.80000305175781,-18.2292,127.6636,74.0,422.0
1998.0,57.79999923706055,-18.2292,127.6636,74.0,422.0
1999.0,64.80000305175781,-18.2292,127.6636,74.0,422.0
2000.0,94.4000015258789,-18.2292,127.6636,74.0,422.0
2001.0,103.0,-18.2292,127.6636,74.0,422.0
2002.0,69.19999694824219,-18.2292,127.6636,74.0,422.0
2003.0,74.4000015258789,-18.2292,127.6636,74.0,422.0
2004.0,66.0,-18.2292,127.6636,74.0,422.0
2005.0,55.599998474121094,-18.2292,127.6636,74.0,422.0
2006.0,67.0,-18.2292,127.6636,74.0,422.0
2007.0,65.5999984741211,-18.2292,127.6636,74.0,422.0
2008.0,44.400001525878906,-18.2292,127.6636,74.0,422.0
2009.0,42.20000076293945,-18.2292,127.6636,74.0,422.0
2010.0,100.0,-18.2292,127.6636,74.0,422.0
2011.0,141.1999969482422,-18.2292,127.6636,74.0,422.0
2012.0,34.20000076293945,-18.2292,127.6636,74.0,422.0
2013.0,84.4000015258789,-18.2292,127.6636,74.0,422.0
2014.0,93.5999984741211,-18.2292,127.6636,74.0,422.0
2015.0,84.0,-18.2292,127.6636,74.0,422.0
2017.0,73.4000015258789,-18.2292,127.6636,74.0,422.0
2019.0,31.799999237060547,-18.2292,127.6636,74.0,422.0
