,Maximum value,Latitude,Longitude,M,Z
1935.0,61.0,-22.6231,149.66,52.0,20.0
1936.0,76.19999694824219,-22.6231,149.66,52.0,20.0
1937.0,142.5,-22.6231,149.66,52.0,20.0
1938.0,70.0999984741211,-22.6231,149.66,52.0,20.0
1939.0,58.400001525878906,-22.6231,149.66,52.0,20.0
1940.0,97.0,-22.6231,149.66,52.0,20.0
1941.0,82.5999984741211,-22.6231,149.66,52.0,20.0
1942.0,60.20000076293945,-22.6231,149.66,52.0,20.0
1943.0,252.5,-22.6231,149.66,52.0,20.0
1944.0,179.10000610351562,-22.6231,149.66,52.0,20.0
1945.0,53.099998474121094,-22.6231,149.66,52.0,20.0
1946.0,128.5,-22.6231,149.66,52.0,20.0
1947.0,113.30000305175781,-22.6231,149.66,52.0,20.0
1948.0,60.20000076293945,-22.6231,149.66,52.0,20.0
1949.0,85.9000015258789,-22.6231,149.66,52.0,20.0
1950.0,93.5,-22.6231,149.66,52.0,20.0
1951.0,241.3000030517578,-22.6231,149.66,52.0,20.0
1952.0,78.5,-22.6231,149.66,52.0,20.0
1953.0,115.30000305175781,-22.6231,149.66,52.0,20.0
1954.0,191.8000030517578,-22.6231,149.66,52.0,20.0
1956.0,77.69999694824219,-22.6231,149.66,52.0,20.0
1957.0,63.20000076293945,-22.6231,149.66,52.0,20.0
1958.0,113.30000305175781,-22.6231,149.66,52.0,20.0
1960.0,94.69999694824219,-22.6231,149.66,52.0,20.0
1961.0,236.6999969482422,-22.6231,149.66,52.0,20.0
1963.0,94.5,-22.6231,149.66,52.0,20.0
1964.0,54.900001525878906,-22.6231,149.66,52.0,20.0
1965.0,74.9000015258789,-22.6231,149.66,52.0,20.0
1966.0,114.80000305175781,-22.6231,149.66,52.0,20.0
1967.0,91.19999694824219,-22.6231,149.66,52.0,20.0
1968.0,209.60000610351562,-22.6231,149.66,52.0,20.0
1969.0,63.5,-22.6231,149.66,52.0,20.0
1970.0,53.79999923706055,-22.6231,149.66,52.0,20.0
1971.0,243.8000030517578,-22.6231,149.66,52.0,20.0
1972.0,41.900001525878906,-22.6231,149.66,52.0,20.0
1973.0,100.30000305175781,-22.6231,149.66,52.0,20.0
1974.0,62.20000076293945,-22.6231,149.66,52.0,20.0
1975.0,134.0,-22.6231,149.66,52.0,20.0
1976.0,112.80000305175781,-22.6231,149.66,52.0,20.0
1977.0,91.0,-22.6231,149.66,52.0,20.0
1978.0,144.0,-22.6231,149.66,52.0,20.0
1979.0,46.0,-22.6231,149.66,52.0,20.0
1980.0,54.79999923706055,-22.6231,149.66,52.0,20.0
1981.0,89.80000305175781,-22.6231,149.66,52.0,20.0
1982.0,77.19999694824219,-22.6231,149.66,52.0,20.0
1983.0,143.0,-22.6231,149.66,52.0,20.0
1984.0,141.10000610351562,-22.6231,149.66,52.0,20.0
1985.0,53.20000076293945,-22.6231,149.66,52.0,20.0
1986.0,59.20000076293945,-22.6231,149.66,52.0,20.0
1987.0,111.80000305175781,-22.6231,149.66,52.0,20.0
1988.0,157.0,-22.6231,149.66,52.0,20.0
1989.0,98.4000015258789,-22.6231,149.66,52.0,20.0
