,Maximum value,Latitude,Longitude,M,Z
1920.0,23.100000381469727,-28.0097,118.5753,77.0,450.0
1921.0,26.899999618530273,-28.0097,118.5753,77.0,450.0
1922.0,24.399999618530273,-28.0097,118.5753,77.0,450.0
1923.0,49.5,-28.0097,118.5753,77.0,450.0
1924.0,22.899999618530273,-28.0097,118.5753,77.0,450.0
1925.0,38.099998474121094,-28.0097,118.5753,77.0,450.0
1926.0,81.30000305175781,-28.0097,118.5753,77.0,450.0
1927.0,35.599998474121094,-28.0097,118.5753,77.0,450.0
1928.0,27.899999618530273,-28.0097,118.5753,77.0,450.0
1929.0,87.0999984741211,-28.0097,118.5753,77.0,450.0
1930.0,24.100000381469727,-28.0097,118.5753,77.0,450.0
1931.0,45.70000076293945,-28.0097,118.5753,77.0,450.0
1932.0,45.5,-28.0097,118.5753,77.0,450.0
1933.0,37.29999923706055,-28.0097,118.5753,77.0,450.0
1934.0,19.100000381469727,-28.0097,118.5753,77.0,450.0
1936.0,18.299999237060547,-28.0097,118.5753,77.0,450.0
1937.0,48.79999923706055,-28.0097,118.5753,77.0,450.0
1938.0,41.900001525878906,-28.0097,118.5753,77.0,450.0
1939.0,31.200000762939453,-28.0097,118.5753,77.0,450.0
1940.0,33.0,-28.0097,118.5753,77.0,450.0
1941.0,39.400001525878906,-28.0097,118.5753,77.0,450.0
1942.0,100.5999984741211,-28.0097,118.5753,77.0,450.0
1943.0,24.100000381469727,-28.0097,118.5753,77.0,450.0
1944.0,30.5,-28.0097,118.5753,77.0,450.0
1945.0,25.399999618530273,-28.0097,118.5753,77.0,450.0
1946.0,12.399999618530273,-28.0097,118.5753,77.0,450.0
1947.0,53.599998474121094,-28.0097,118.5753,77.0,450.0
1948.0,94.69999694824219,-28.0097,118.5753,77.0,450.0
1949.0,35.099998474121094,-28.0097,118.5753,77.0,450.0
1952.0,41.70000076293945,-28.0097,118.5753,77.0,450.0
1953.0,21.600000381469727,-28.0097,118.5753,77.0,450.0
1954.0,27.200000762939453,-28.0097,118.5753,77.0,450.0
1955.0,63.5,-28.0097,118.5753,77.0,450.0
1956.0,19.100000381469727,-28.0097,118.5753,77.0,450.0
1957.0,28.399999618530273,-28.0097,118.5753,77.0,450.0
1958.0,24.100000381469727,-28.0097,118.5753,77.0,450.0
1959.0,26.200000762939453,-28.0097,118.5753,77.0,450.0
1960.0,71.5999984741211,-28.0097,118.5753,77.0,450.0
1961.0,10.899999618530273,-28.0097,118.5753,77.0,450.0
1962.0,21.799999237060547,-28.0097,118.5753,77.0,450.0
1963.0,34.29999923706055,-28.0097,118.5753,77.0,450.0
1964.0,23.600000381469727,-28.0097,118.5753,77.0,450.0
1965.0,22.100000381469727,-28.0097,118.5753,77.0,450.0
1966.0,25.700000762939453,-28.0097,118.5753,77.0,450.0
1967.0,39.099998474121094,-28.0097,118.5753,77.0,450.0
1968.0,45.70000076293945,-28.0097,118.5753,77.0,450.0
1969.0,41.900001525878906,-28.0097,118.5753,77.0,450.0
1970.0,41.900001525878906,-28.0097,118.5753,77.0,450.0
1972.0,28.399999618530273,-28.0097,118.5753,77.0,450.0
1974.0,44.0,-28.0097,118.5753,77.0,450.0
1975.0,48.0,-28.0097,118.5753,77.0,450.0
1976.0,15.199999809265137,-28.0097,118.5753,77.0,450.0
1977.0,16.799999237060547,-28.0097,118.5753,77.0,450.0
1978.0,34.0,-28.0097,118.5753,77.0,450.0
1979.0,38.400001525878906,-28.0097,118.5753,77.0,450.0
1980.0,68.0,-28.0097,118.5753,77.0,450.0
1981.0,14.600000381469727,-28.0097,118.5753,77.0,450.0
1982.0,28.200000762939453,-28.0097,118.5753,77.0,450.0
1983.0,37.20000076293945,-28.0097,118.5753,77.0,450.0
1984.0,43.0,-28.0097,118.5753,77.0,450.0
1985.0,20.200000762939453,-28.0097,118.5753,77.0,450.0
1986.0,18.600000381469727,-28.0097,118.5753,77.0,450.0
1987.0,36.79999923706055,-28.0097,118.5753,77.0,450.0
1988.0,23.200000762939453,-28.0097,118.5753,77.0,450.0
1989.0,33.599998474121094,-28.0097,118.5753,77.0,450.0
1990.0,32.599998474121094,-28.0097,118.5753,77.0,450.0
1991.0,12.600000381469727,-28.0097,118.5753,77.0,450.0
1995.0,92.80000305175781,-28.0097,118.5753,77.0,450.0
1996.0,25.200000762939453,-28.0097,118.5753,77.0,450.0
1997.0,16.799999237060547,-28.0097,118.5753,77.0,450.0
1998.0,63.0,-28.0097,118.5753,77.0,450.0
1999.0,65.0,-28.0097,118.5753,77.0,450.0
2000.0,62.0,-28.0097,118.5753,77.0,450.0
2001.0,45.0,-28.0097,118.5753,77.0,450.0
2002.0,18.0,-28.0097,118.5753,77.0,450.0
2003.0,23.399999618530273,-28.0097,118.5753,77.0,450.0
2004.0,23.200000762939453,-28.0097,118.5753,77.0,450.0
