,Maximum value,Latitude,Longitude,M,Z
1932.0,57.5,-4.5,-38.36,64.0,50.0
1933.0,49.0,-4.5,-38.36,64.0,50.0
1934.0,75.69999694824219,-4.5,-38.36,64.0,50.0
1935.0,58.0,-4.5,-38.36,64.0,50.0
1936.0,35.79999923706055,-4.5,-38.36,64.0,50.0
1937.0,38.70000076293945,-4.5,-38.36,64.0,50.0
1938.0,53.5,-4.5,-38.36,64.0,50.0
1939.0,65.69999694824219,-4.5,-38.36,64.0,50.0
1940.0,60.20000076293945,-4.5,-38.36,64.0,50.0
1941.0,41.20000076293945,-4.5,-38.36,64.0,50.0
1942.0,26.700000762939453,-4.5,-38.36,64.0,50.0
1943.0,71.30000305175781,-4.5,-38.36,64.0,50.0
1944.0,45.20000076293945,-4.5,-38.36,64.0,50.0
1945.0,76.0,-4.5,-38.36,64.0,50.0
1946.0,63.0,-4.5,-38.36,64.0,50.0
1947.0,120.0,-4.5,-38.36,64.0,50.0
1948.0,58.20000076293945,-4.5,-38.36,64.0,50.0
1949.0,79.0999984741211,-4.5,-38.36,64.0,50.0
1950.0,59.599998474121094,-4.5,-38.36,64.0,50.0
1951.0,45.5,-4.5,-38.36,64.0,50.0
1952.0,66.5,-4.5,-38.36,64.0,50.0
1953.0,21.0,-4.5,-38.36,64.0,50.0
1954.0,47.400001525878906,-4.5,-38.36,64.0,50.0
1955.0,100.80000305175781,-4.5,-38.36,64.0,50.0
1956.0,87.9000015258789,-4.5,-38.36,64.0,50.0
1957.0,63.29999923706055,-4.5,-38.36,64.0,50.0
1958.0,23.0,-4.5,-38.36,64.0,50.0
1959.0,64.5999984741211,-4.5,-38.36,64.0,50.0
1960.0,95.5,-4.5,-38.36,64.0,50.0
1961.0,66.4000015258789,-4.5,-38.36,64.0,50.0
1962.0,81.0999984741211,-4.5,-38.36,64.0,50.0
1963.0,72.4000015258789,-4.5,-38.36,64.0,50.0
1964.0,78.19999694824219,-4.5,-38.36,64.0,50.0
1965.0,35.20000076293945,-4.5,-38.36,64.0,50.0
1966.0,52.0,-4.5,-38.36,64.0,50.0
1967.0,70.4000015258789,-4.5,-38.36,64.0,50.0
1968.0,54.0,-4.5,-38.36,64.0,50.0
1969.0,65.0,-4.5,-38.36,64.0,50.0
1970.0,62.20000076293945,-4.5,-38.36,64.0,50.0
1971.0,65.0,-4.5,-38.36,64.0,50.0
1972.0,55.400001525878906,-4.5,-38.36,64.0,50.0
1973.0,46.20000076293945,-4.5,-38.36,64.0,50.0
1974.0,68.5999984741211,-4.5,-38.36,64.0,50.0
1975.0,56.29999923706055,-4.5,-38.36,64.0,50.0
1976.0,62.400001525878906,-4.5,-38.36,64.0,50.0
1977.0,88.0,-4.5,-38.36,64.0,50.0
1979.0,51.400001525878906,-4.5,-38.36,64.0,50.0
1980.0,52.400001525878906,-4.5,-38.36,64.0,50.0
1981.0,80.9000015258789,-4.5,-38.36,64.0,50.0
1982.0,61.400001525878906,-4.5,-38.36,64.0,50.0
1983.0,137.39999389648438,-4.5,-38.36,64.0,50.0
1984.0,109.9000015258789,-4.5,-38.36,64.0,50.0
1985.0,90.0,-4.5,-38.36,64.0,50.0
1986.0,69.80000305175781,-4.5,-38.36,64.0,50.0
1987.0,36.20000076293945,-4.5,-38.36,64.0,50.0
1988.0,110.19999694824219,-4.5,-38.36,64.0,50.0
1991.0,46.099998474121094,-4.5,-38.36,64.0,50.0
1992.0,97.0,-4.5,-38.36,64.0,50.0
1994.0,81.19999694824219,-4.5,-38.36,64.0,50.0
1995.0,44.20000076293945,-4.5,-38.36,64.0,50.0
1996.0,101.19999694824219,-4.5,-38.36,64.0,50.0
1997.0,74.5,-4.5,-38.36,64.0,50.0
1998.0,43.70000076293945,-4.5,-38.36,64.0,50.0
2000.0,55.0,-4.5,-38.36,64.0,50.0
