,Maximum value,Latitude,Longitude,M,Z
1943.0,41.599998474121094,30.367,-107.95,59.0,1487.0
1944.0,35.099998474121094,30.367,-107.95,59.0,1487.0
1945.0,35.0,30.367,-107.95,59.0,1487.0
1946.0,29.5,30.367,-107.95,59.0,1487.0
1947.0,23.600000381469727,30.367,-107.95,59.0,1487.0
1948.0,19.200000762939453,30.367,-107.95,59.0,1487.0
1949.0,38.70000076293945,30.367,-107.95,59.0,1487.0
1950.0,33.599998474121094,30.367,-107.95,59.0,1487.0
1951.0,20.299999237060547,30.367,-107.95,59.0,1487.0
1952.0,19.399999618530273,30.367,-107.95,59.0,1487.0
1953.0,23.799999237060547,30.367,-107.95,59.0,1487.0
1954.0,85.19999694824219,30.367,-107.95,59.0,1487.0
1956.0,43.5,30.367,-107.95,59.0,1487.0
1957.0,19.399999618530273,30.367,-107.95,59.0,1487.0
1958.0,34.79999923706055,30.367,-107.95,59.0,1487.0
1959.0,40.20000076293945,30.367,-107.95,59.0,1487.0
1960.0,22.0,30.367,-107.95,59.0,1487.0
1961.0,23.899999618530273,30.367,-107.95,59.0,1487.0
1962.0,35.400001525878906,30.367,-107.95,59.0,1487.0
1963.0,47.900001525878906,30.367,-107.95,59.0,1487.0
1964.0,35.79999923706055,30.367,-107.95,59.0,1487.0
1965.0,21.5,30.367,-107.95,59.0,1487.0
1966.0,58.0,30.367,-107.95,59.0,1487.0
1967.0,63.29999923706055,30.367,-107.95,59.0,1487.0
1968.0,21.200000762939453,30.367,-107.95,59.0,1487.0
1969.0,42.5,30.367,-107.95,59.0,1487.0
1970.0,40.5,30.367,-107.95,59.0,1487.0
1971.0,33.0,30.367,-107.95,59.0,1487.0
1972.0,34.29999923706055,30.367,-107.95,59.0,1487.0
1973.0,23.0,30.367,-107.95,59.0,1487.0
1974.0,42.5,30.367,-107.95,59.0,1487.0
1975.0,26.799999237060547,30.367,-107.95,59.0,1487.0
1976.0,80.0999984741211,30.367,-107.95,59.0,1487.0
1977.0,51.5,30.367,-107.95,59.0,1487.0
1978.0,14.5,30.367,-107.95,59.0,1487.0
1979.0,31.700000762939453,30.367,-107.95,59.0,1487.0
1980.0,17.700000762939453,30.367,-107.95,59.0,1487.0
1981.0,54.79999923706055,30.367,-107.95,59.0,1487.0
1982.0,25.600000381469727,30.367,-107.95,59.0,1487.0
1983.0,32.599998474121094,30.367,-107.95,59.0,1487.0
1984.0,33.20000076293945,30.367,-107.95,59.0,1487.0
1985.0,32.0,30.367,-107.95,59.0,1487.0
1986.0,45.599998474121094,30.367,-107.95,59.0,1487.0
1987.0,62.599998474121094,30.367,-107.95,59.0,1487.0
1988.0,46.400001525878906,30.367,-107.95,59.0,1487.0
1990.0,53.29999923706055,30.367,-107.95,59.0,1487.0
1991.0,40.599998474121094,30.367,-107.95,59.0,1487.0
1994.0,16.399999618530273,30.367,-107.95,59.0,1487.0
1995.0,30.899999618530273,30.367,-107.95,59.0,1487.0
1996.0,31.700000762939453,30.367,-107.95,59.0,1487.0
1997.0,48.29999923706055,30.367,-107.95,59.0,1487.0
1998.0,20.0,30.367,-107.95,59.0,1487.0
2006.0,38.400001525878906,30.367,-107.95,59.0,1487.0
2008.0,67.0999984741211,30.367,-107.95,59.0,1487.0
2013.0,32.79999923706055,30.367,-107.95,59.0,1487.0
2016.0,74.9000015258789,30.367,-107.95,59.0,1487.0
2017.0,45.0,30.367,-107.95,59.0,1487.0
2018.0,49.0,30.367,-107.95,59.0,1487.0
2019.0,62.70000076293945,30.367,-107.95,59.0,1487.0
