,Maximum value,Latitude,Longitude,M,Z
1901.0,38.79999923706055,47.5108,19.0206,115.0,153.0
1902.0,36.5,47.5108,19.0206,115.0,153.0
1903.0,25.5,47.5108,19.0206,115.0,153.0
1904.0,23.799999237060547,47.5108,19.0206,115.0,153.0
1905.0,34.29999923706055,47.5108,19.0206,115.0,153.0
1906.0,35.599998474121094,47.5108,19.0206,115.0,153.0
1907.0,42.900001525878906,47.5108,19.0206,115.0,153.0
1908.0,43.29999923706055,47.5108,19.0206,115.0,153.0
1909.0,29.299999237060547,47.5108,19.0206,115.0,153.0
1910.0,38.0,47.5108,19.0206,115.0,153.0
1911.0,48.70000076293945,47.5108,19.0206,115.0,153.0
1912.0,44.400001525878906,47.5108,19.0206,115.0,153.0
1913.0,30.399999618530273,47.5108,19.0206,115.0,153.0
1914.0,50.20000076293945,47.5108,19.0206,115.0,153.0
1915.0,62.099998474121094,47.5108,19.0206,115.0,153.0
1916.0,41.79999923706055,47.5108,19.0206,115.0,153.0
1917.0,20.5,47.5108,19.0206,115.0,153.0
1918.0,36.79999923706055,47.5108,19.0206,115.0,153.0
1919.0,29.399999618530273,47.5108,19.0206,115.0,153.0
1920.0,64.30000305175781,47.5108,19.0206,115.0,153.0
1921.0,33.599998474121094,47.5108,19.0206,115.0,153.0
1922.0,32.5,47.5108,19.0206,115.0,153.0
1923.0,38.599998474121094,47.5108,19.0206,115.0,153.0
1924.0,50.0,47.5108,19.0206,115.0,153.0
1925.0,41.29999923706055,47.5108,19.0206,115.0,153.0
1926.0,39.70000076293945,47.5108,19.0206,115.0,153.0
1927.0,26.799999237060547,47.5108,19.0206,115.0,153.0
1928.0,22.700000762939453,47.5108,19.0206,115.0,153.0
1929.0,61.599998474121094,47.5108,19.0206,115.0,153.0
1930.0,35.099998474121094,47.5108,19.0206,115.0,153.0
1931.0,43.20000076293945,47.5108,19.0206,115.0,153.0
1932.0,29.200000762939453,47.5108,19.0206,115.0,153.0
1933.0,35.099998474121094,47.5108,19.0206,115.0,153.0
1934.0,48.400001525878906,47.5108,19.0206,115.0,153.0
1935.0,37.29999923706055,47.5108,19.0206,115.0,153.0
1936.0,40.0,47.5108,19.0206,115.0,153.0
1937.0,93.9000015258789,47.5108,19.0206,115.0,153.0
