,Maximum value,Latitude,Longitude,M,Z
1896.0,72.0999984741211,60.6458,6.2233,122.0,323.0
1897.0,65.5999984741211,60.6458,6.2233,122.0,323.0
1898.0,71.80000305175781,60.6458,6.2233,122.0,323.0
1899.0,73.5999984741211,60.6458,6.2233,122.0,323.0
1900.0,43.099998474121094,60.6458,6.2233,122.0,323.0
1901.0,40.0,60.6458,6.2233,122.0,323.0
1902.0,60.5,60.6458,6.2233,122.0,323.0
1903.0,51.0,60.6458,6.2233,122.0,323.0
1904.0,37.29999923706055,60.6458,6.2233,122.0,323.0
1905.0,71.0999984741211,60.6458,6.2233,122.0,323.0
1906.0,73.5,60.6458,6.2233,122.0,323.0
1907.0,40.20000076293945,60.6458,6.2233,122.0,323.0
1908.0,71.30000305175781,60.6458,6.2233,122.0,323.0
1909.0,57.0,60.6458,6.2233,122.0,323.0
1910.0,68.4000015258789,60.6458,6.2233,122.0,323.0
1911.0,56.599998474121094,60.6458,6.2233,122.0,323.0
1912.0,50.5,60.6458,6.2233,122.0,323.0
1913.0,46.79999923706055,60.6458,6.2233,122.0,323.0
1914.0,60.20000076293945,60.6458,6.2233,122.0,323.0
1915.0,42.0,60.6458,6.2233,122.0,323.0
1916.0,70.5,60.6458,6.2233,122.0,323.0
1917.0,46.20000076293945,60.6458,6.2233,122.0,323.0
1918.0,47.20000076293945,60.6458,6.2233,122.0,323.0
1919.0,49.20000076293945,60.6458,6.2233,122.0,323.0
1920.0,74.5,60.6458,6.2233,122.0,323.0
1921.0,69.30000305175781,60.6458,6.2233,122.0,323.0
1922.0,48.20000076293945,60.6458,6.2233,122.0,323.0
1923.0,50.79999923706055,60.6458,6.2233,122.0,323.0
1924.0,57.5,60.6458,6.2233,122.0,323.0
1925.0,50.70000076293945,60.6458,6.2233,122.0,323.0
1926.0,54.29999923706055,60.6458,6.2233,122.0,323.0
1927.0,64.5,60.6458,6.2233,122.0,323.0
1928.0,77.80000305175781,60.6458,6.2233,122.0,323.0
1929.0,57.400001525878906,60.6458,6.2233,122.0,323.0
1930.0,44.29999923706055,60.6458,6.2233,122.0,323.0
1931.0,50.29999923706055,60.6458,6.2233,122.0,323.0
1932.0,50.20000076293945,60.6458,6.2233,122.0,323.0
1933.0,52.5,60.6458,6.2233,122.0,323.0
1934.0,79.80000305175781,60.6458,6.2233,122.0,323.0
1935.0,52.400001525878906,60.6458,6.2233,122.0,323.0
1936.0,61.0,60.6458,6.2233,122.0,323.0
1937.0,49.400001525878906,60.6458,6.2233,122.0,323.0
1938.0,50.70000076293945,60.6458,6.2233,122.0,323.0
1939.0,53.20000076293945,60.6458,6.2233,122.0,323.0
1940.0,104.30000305175781,60.6458,6.2233,122.0,323.0
1941.0,58.70000076293945,60.6458,6.2233,122.0,323.0
1942.0,46.599998474121094,60.6458,6.2233,122.0,323.0
1943.0,58.29999923706055,60.6458,6.2233,122.0,323.0
1944.0,61.599998474121094,60.6458,6.2233,122.0,323.0
1945.0,47.0,60.6458,6.2233,122.0,323.0
1946.0,46.20000076293945,60.6458,6.2233,122.0,323.0
1947.0,37.79999923706055,60.6458,6.2233,122.0,323.0
1948.0,49.29999923706055,60.6458,6.2233,122.0,323.0
1949.0,59.0,60.6458,6.2233,122.0,323.0
1950.0,73.19999694824219,60.6458,6.2233,122.0,323.0
1951.0,45.599998474121094,60.6458,6.2233,122.0,323.0
1952.0,40.099998474121094,60.6458,6.2233,122.0,323.0
1953.0,57.099998474121094,60.6458,6.2233,122.0,323.0
1954.0,62.20000076293945,60.6458,6.2233,122.0,323.0
1955.0,78.80000305175781,60.6458,6.2233,122.0,323.0
1956.0,51.79999923706055,60.6458,6.2233,122.0,323.0
1957.0,75.30000305175781,60.6458,6.2233,122.0,323.0
1958.0,69.5999984741211,60.6458,6.2233,122.0,323.0
1959.0,53.099998474121094,60.6458,6.2233,122.0,323.0
1960.0,40.29999923706055,60.6458,6.2233,122.0,323.0
1961.0,52.900001525878906,60.6458,6.2233,122.0,323.0
1962.0,63.79999923706055,60.6458,6.2233,122.0,323.0
1963.0,82.4000015258789,60.6458,6.2233,122.0,323.0
1964.0,59.099998474121094,60.6458,6.2233,122.0,323.0
1965.0,42.79999923706055,60.6458,6.2233,122.0,323.0
1966.0,60.599998474121094,60.6458,6.2233,122.0,323.0
1967.0,68.4000015258789,60.6458,6.2233,122.0,323.0
1968.0,40.20000076293945,60.6458,6.2233,122.0,323.0
1969.0,53.400001525878906,60.6458,6.2233,122.0,323.0
1970.0,52.900001525878906,60.6458,6.2233,122.0,323.0
1971.0,66.19999694824219,60.6458,6.2233,122.0,323.0
1972.0,48.79999923706055,60.6458,6.2233,122.0,323.0
1973.0,55.5,60.6458,6.2233,122.0,323.0
1974.0,41.20000076293945,60.6458,6.2233,122.0,323.0
1975.0,69.19999694824219,60.6458,6.2233,122.0,323.0
1976.0,74.9000015258789,60.6458,6.2233,122.0,323.0
1977.0,40.29999923706055,60.6458,6.2233,122.0,323.0
1978.0,53.79999923706055,60.6458,6.2233,122.0,323.0
1979.0,56.5,60.6458,6.2233,122.0,323.0
1980.0,59.599998474121094,60.6458,6.2233,122.0,323.0
1981.0,46.79999923706055,60.6458,6.2233,122.0,323.0
1982.0,53.900001525878906,60.6458,6.2233,122.0,323.0
1983.0,83.80000305175781,60.6458,6.2233,122.0,323.0
1984.0,52.29999923706055,60.6458,6.2233,122.0,323.0
1985.0,45.20000076293945,60.6458,6.2233,122.0,323.0
1986.0,55.599998474121094,60.6458,6.2233,122.0,323.0
1987.0,37.20000076293945,60.6458,6.2233,122.0,323.0
1988.0,50.29999923706055,60.6458,6.2233,122.0,323.0
