,Maximum value,Latitude,Longitude,M,Z
1961.0,48.5,55.9667,-3.21,57.0,26.0
1962.0,35.29999923706055,55.9667,-3.21,57.0,26.0
1963.0,24.899999618530273,55.9667,-3.21,57.0,26.0
1964.0,22.899999618530273,55.9667,-3.21,57.0,26.0
1965.0,30.200000762939453,55.9667,-3.21,57.0,26.0
1966.0,45.20000076293945,55.9667,-3.21,57.0,26.0
1967.0,19.299999237060547,55.9667,-3.21,57.0,26.0
1968.0,33.79999923706055,55.9667,-3.21,57.0,26.0
1969.0,18.0,55.9667,-3.21,57.0,26.0
1970.0,25.700000762939453,55.9667,-3.21,57.0,26.0
1971.0,23.600000381469727,55.9667,-3.21,57.0,26.0
1972.0,19.600000381469727,55.9667,-3.21,57.0,26.0
1973.0,23.100000381469727,55.9667,-3.21,57.0,26.0
1974.0,21.0,55.9667,-3.21,57.0,26.0
1975.0,50.79999923706055,55.9667,-3.21,57.0,26.0
1976.0,32.400001525878906,55.9667,-3.21,57.0,26.0
1977.0,48.0,55.9667,-3.21,57.0,26.0
1978.0,23.899999618530273,55.9667,-3.21,57.0,26.0
1979.0,29.100000381469727,55.9667,-3.21,57.0,26.0
1980.0,31.799999237060547,55.9667,-3.21,57.0,26.0
1981.0,44.79999923706055,55.9667,-3.21,57.0,26.0
1982.0,38.20000076293945,55.9667,-3.21,57.0,26.0
1983.0,37.79999923706055,55.9667,-3.21,57.0,26.0
1984.0,36.20000076293945,55.9667,-3.21,57.0,26.0
1985.0,82.0999984741211,55.9667,-3.21,57.0,26.0
1986.0,41.29999923706055,55.9667,-3.21,57.0,26.0
1987.0,23.399999618530273,55.9667,-3.21,57.0,26.0
1988.0,31.0,55.9667,-3.21,57.0,26.0
1989.0,27.700000762939453,55.9667,-3.21,57.0,26.0
1990.0,61.0,55.9667,-3.21,57.0,26.0
1991.0,19.799999237060547,55.9667,-3.21,57.0,26.0
1992.0,45.099998474121094,55.9667,-3.21,57.0,26.0
1993.0,31.299999237060547,55.9667,-3.21,57.0,26.0
1994.0,29.899999618530273,55.9667,-3.21,57.0,26.0
1995.0,55.70000076293945,55.9667,-3.21,57.0,26.0
1996.0,23.0,55.9667,-3.21,57.0,26.0
1997.0,47.20000076293945,55.9667,-3.21,57.0,26.0
1998.0,32.099998474121094,55.9667,-3.21,57.0,26.0
1999.0,26.299999237060547,55.9667,-3.21,57.0,26.0
2000.0,40.20000076293945,55.9667,-3.21,57.0,26.0
2001.0,31.100000381469727,55.9667,-3.21,57.0,26.0
2002.0,30.299999237060547,55.9667,-3.21,57.0,26.0
2003.0,30.200000762939453,55.9667,-3.21,57.0,26.0
2004.0,43.0,55.9667,-3.21,57.0,26.0
2005.0,59.0,55.9667,-3.21,57.0,26.0
2006.0,26.299999237060547,55.9667,-3.21,57.0,26.0
2007.0,33.20000076293945,55.9667,-3.21,57.0,26.0
2008.0,63.599998474121094,55.9667,-3.21,57.0,26.0
2009.0,29.0,55.9667,-3.21,57.0,26.0
2010.0,26.100000381469727,55.9667,-3.21,57.0,26.0
2011.0,47.20000076293945,55.9667,-3.21,57.0,26.0
2012.0,42.79999923706055,55.9667,-3.21,57.0,26.0
2013.0,24.0,55.9667,-3.21,57.0,26.0
2014.0,43.20000076293945,55.9667,-3.21,57.0,26.0
2015.0,27.399999618530273,55.9667,-3.21,57.0,26.0
2016.0,20.200000762939453,55.9667,-3.21,57.0,26.0
2017.0,60.0,55.9667,-3.21,57.0,26.0
