,Maximum value,Latitude,Longitude,M,Z
1936.0,55.0,52.4656,9.6794,81.0,55.0
1937.0,53.70000076293945,52.4656,9.6794,81.0,55.0
1938.0,36.900001525878906,52.4656,9.6794,81.0,55.0
1939.0,68.9000015258789,52.4656,9.6794,81.0,55.0
1940.0,31.0,52.4656,9.6794,81.0,55.0
1943.0,21.0,52.4656,9.6794,81.0,55.0
1944.0,34.0,52.4656,9.6794,81.0,55.0
1946.0,36.599998474121094,52.4656,9.6794,81.0,55.0
1947.0,38.099998474121094,52.4656,9.6794,81.0,55.0
1948.0,29.799999237060547,52.4656,9.6794,81.0,55.0
1949.0,33.599998474121094,52.4656,9.6794,81.0,55.0
1950.0,45.0,52.4656,9.6794,81.0,55.0
1951.0,29.0,52.4656,9.6794,81.0,55.0
1952.0,34.099998474121094,52.4656,9.6794,81.0,55.0
1953.0,35.70000076293945,52.4656,9.6794,81.0,55.0
1954.0,64.0,52.4656,9.6794,81.0,55.0
1955.0,25.799999237060547,52.4656,9.6794,81.0,55.0
1956.0,58.70000076293945,52.4656,9.6794,81.0,55.0
1957.0,31.899999618530273,52.4656,9.6794,81.0,55.0
1958.0,38.0,52.4656,9.6794,81.0,55.0
1959.0,15.399999618530273,52.4656,9.6794,81.0,55.0
1960.0,40.900001525878906,52.4656,9.6794,81.0,55.0
1961.0,22.399999618530273,52.4656,9.6794,81.0,55.0
1962.0,28.200000762939453,52.4656,9.6794,81.0,55.0
1963.0,23.899999618530273,52.4656,9.6794,81.0,55.0
1964.0,22.899999618530273,52.4656,9.6794,81.0,55.0
1965.0,27.100000381469727,52.4656,9.6794,81.0,55.0
1966.0,29.100000381469727,52.4656,9.6794,81.0,55.0
1967.0,37.400001525878906,52.4656,9.6794,81.0,55.0
1968.0,23.0,52.4656,9.6794,81.0,55.0
1969.0,52.5,52.4656,9.6794,81.0,55.0
1970.0,31.600000381469727,52.4656,9.6794,81.0,55.0
1971.0,25.200000762939453,52.4656,9.6794,81.0,55.0
1972.0,40.5,52.4656,9.6794,81.0,55.0
1973.0,21.5,52.4656,9.6794,81.0,55.0
1974.0,30.700000762939453,52.4656,9.6794,81.0,55.0
1975.0,21.700000762939453,52.4656,9.6794,81.0,55.0
1976.0,28.5,52.4656,9.6794,81.0,55.0
1977.0,21.5,52.4656,9.6794,81.0,55.0
1978.0,28.100000381469727,52.4656,9.6794,81.0,55.0
1979.0,25.899999618530273,52.4656,9.6794,81.0,55.0
1980.0,40.29999923706055,52.4656,9.6794,81.0,55.0
1981.0,47.0,52.4656,9.6794,81.0,55.0
1982.0,26.700000762939453,52.4656,9.6794,81.0,55.0
1983.0,26.0,52.4656,9.6794,81.0,55.0
1984.0,48.70000076293945,52.4656,9.6794,81.0,55.0
1985.0,25.899999618530273,52.4656,9.6794,81.0,55.0
1986.0,33.099998474121094,52.4656,9.6794,81.0,55.0
1987.0,43.0,52.4656,9.6794,81.0,55.0
1988.0,16.0,52.4656,9.6794,81.0,55.0
1989.0,33.400001525878906,52.4656,9.6794,81.0,55.0
1990.0,30.700000762939453,52.4656,9.6794,81.0,55.0
1991.0,22.200000762939453,52.4656,9.6794,81.0,55.0
1992.0,26.100000381469727,52.4656,9.6794,81.0,55.0
1993.0,35.0,52.4656,9.6794,81.0,55.0
1994.0,26.799999237060547,52.4656,9.6794,81.0,55.0
1995.0,16.299999237060547,52.4656,9.6794,81.0,55.0
1996.0,35.599998474121094,52.4656,9.6794,81.0,55.0
1997.0,24.700000762939453,52.4656,9.6794,81.0,55.0
1998.0,30.399999618530273,52.4656,9.6794,81.0,55.0
1999.0,24.600000381469727,52.4656,9.6794,81.0,55.0
2000.0,21.700000762939453,52.4656,9.6794,81.0,55.0
2001.0,20.600000381469727,52.4656,9.6794,81.0,55.0
2002.0,76.0999984741211,52.4656,9.6794,81.0,55.0
2003.0,42.599998474121094,52.4656,9.6794,81.0,55.0
2004.0,29.399999618530273,52.4656,9.6794,81.0,55.0
2005.0,26.600000381469727,52.4656,9.6794,81.0,55.0
2006.0,36.0,52.4656,9.6794,81.0,55.0
2007.0,36.5,52.4656,9.6794,81.0,55.0
2008.0,28.200000762939453,52.4656,9.6794,81.0,55.0
2009.0,37.900001525878906,52.4656,9.6794,81.0,55.0
2010.0,78.80000305175781,52.4656,9.6794,81.0,55.0
2011.0,38.0,52.4656,9.6794,81.0,55.0
2012.0,27.700000762939453,52.4656,9.6794,81.0,55.0
2013.0,39.099998474121094,52.4656,9.6794,81.0,55.0
2014.0,37.599998474121094,52.4656,9.6794,81.0,55.0
2015.0,38.5,52.4656,9.6794,81.0,55.0
2016.0,29.299999237060547,52.4656,9.6794,81.0,55.0
2017.0,46.900001525878906,52.4656,9.6794,81.0,55.0
2018.0,37.400001525878906,52.4656,9.6794,81.0,55.0
2019.0,41.599998474121094,52.4656,9.6794,81.0,55.0
