,Maximum value,Latitude,Longitude,M,Z
1920.0,38.400001525878906,40.4117,-3.6781,94.0,667.0
1923.0,26.5,40.4117,-3.6781,94.0,667.0
1924.0,28.200000762939453,40.4117,-3.6781,94.0,667.0
1925.0,44.70000076293945,40.4117,-3.6781,94.0,667.0
1926.0,21.5,40.4117,-3.6781,94.0,667.0
1927.0,30.100000381469727,40.4117,-3.6781,94.0,667.0
1929.0,21.600000381469727,40.4117,-3.6781,94.0,667.0
1930.0,28.399999618530273,40.4117,-3.6781,94.0,667.0
1931.0,55.79999923706055,40.4117,-3.6781,94.0,667.0
1932.0,16.799999237060547,40.4117,-3.6781,94.0,667.0
1933.0,23.399999618530273,40.4117,-3.6781,94.0,667.0
1934.0,52.79999923706055,40.4117,-3.6781,94.0,667.0
1935.0,31.899999618530273,40.4117,-3.6781,94.0,667.0
1936.0,26.5,40.4117,-3.6781,94.0,667.0
1940.0,33.900001525878906,40.4117,-3.6781,94.0,667.0
1941.0,28.5,40.4117,-3.6781,94.0,667.0
1942.0,37.599998474121094,40.4117,-3.6781,94.0,667.0
1943.0,46.0,40.4117,-3.6781,94.0,667.0
1944.0,52.400001525878906,40.4117,-3.6781,94.0,667.0
1945.0,28.0,40.4117,-3.6781,94.0,667.0
1946.0,21.600000381469727,40.4117,-3.6781,94.0,667.0
1947.0,53.20000076293945,40.4117,-3.6781,94.0,667.0
1948.0,33.099998474121094,40.4117,-3.6781,94.0,667.0
1949.0,38.0,40.4117,-3.6781,94.0,667.0
1950.0,31.200000762939453,40.4117,-3.6781,94.0,667.0
1951.0,37.0,40.4117,-3.6781,94.0,667.0
1952.0,25.100000381469727,40.4117,-3.6781,94.0,667.0
1953.0,33.900001525878906,40.4117,-3.6781,94.0,667.0
1954.0,44.20000076293945,40.4117,-3.6781,94.0,667.0
1955.0,30.399999618530273,40.4117,-3.6781,94.0,667.0
1956.0,42.20000076293945,40.4117,-3.6781,94.0,667.0
1957.0,63.5,40.4117,-3.6781,94.0,667.0
1958.0,38.20000076293945,40.4117,-3.6781,94.0,667.0
1959.0,45.5,40.4117,-3.6781,94.0,667.0
1960.0,29.299999237060547,40.4117,-3.6781,94.0,667.0
1961.0,32.599998474121094,40.4117,-3.6781,94.0,667.0
1962.0,27.0,40.4117,-3.6781,94.0,667.0
1963.0,59.79999923706055,40.4117,-3.6781,94.0,667.0
1964.0,22.600000381469727,40.4117,-3.6781,94.0,667.0
1965.0,40.400001525878906,40.4117,-3.6781,94.0,667.0
1966.0,34.400001525878906,40.4117,-3.6781,94.0,667.0
1967.0,20.0,40.4117,-3.6781,94.0,667.0
1968.0,24.5,40.4117,-3.6781,94.0,667.0
1969.0,28.899999618530273,40.4117,-3.6781,94.0,667.0
1970.0,25.299999237060547,40.4117,-3.6781,94.0,667.0
1971.0,41.5,40.4117,-3.6781,94.0,667.0
1972.0,87.0,40.4117,-3.6781,94.0,667.0
