,Maximum value,Latitude,Longitude,M,Z
1882.0,24.100000381469727,44.62,33.53,96.0,7.0
1883.0,47.900001525878906,44.62,33.53,96.0,7.0
1884.0,43.29999923706055,44.62,33.53,96.0,7.0
1885.0,55.0,44.62,33.53,96.0,7.0
1886.0,30.100000381469727,44.62,33.53,96.0,7.0
1887.0,30.700000762939453,44.62,33.53,96.0,7.0
1888.0,56.20000076293945,44.62,33.53,96.0,7.0
1890.0,21.200000762939453,44.62,33.53,96.0,7.0
1891.0,30.700000762939453,44.62,33.53,96.0,7.0
1892.0,16.0,44.62,33.53,96.0,7.0
1894.0,26.5,44.62,33.53,96.0,7.0
1895.0,26.200000762939453,44.62,33.53,96.0,7.0
1896.0,30.799999237060547,44.62,33.53,96.0,7.0
1897.0,37.0,44.62,33.53,96.0,7.0
1898.0,25.0,44.62,33.53,96.0,7.0
1899.0,39.20000076293945,44.62,33.53,96.0,7.0
1900.0,23.0,44.62,33.53,96.0,7.0
1904.0,46.0,44.62,33.53,96.0,7.0
1905.0,30.0,44.62,33.53,96.0,7.0
1906.0,23.0,44.62,33.53,96.0,7.0
1907.0,39.0,44.62,33.53,96.0,7.0
1908.0,14.0,44.62,33.53,96.0,7.0
1909.0,39.79999923706055,44.62,33.53,96.0,7.0
1910.0,49.400001525878906,44.62,33.53,96.0,7.0
1911.0,37.0,44.62,33.53,96.0,7.0
1912.0,51.20000076293945,44.62,33.53,96.0,7.0
1913.0,21.899999618530273,44.62,33.53,96.0,7.0
1914.0,52.900001525878906,44.62,33.53,96.0,7.0
1915.0,29.899999618530273,44.62,33.53,96.0,7.0
1916.0,31.5,44.62,33.53,96.0,7.0
1917.0,33.099998474121094,44.62,33.53,96.0,7.0
1918.0,22.200000762939453,44.62,33.53,96.0,7.0
1919.0,40.0,44.62,33.53,96.0,7.0
1920.0,30.299999237060547,44.62,33.53,96.0,7.0
1921.0,50.0,44.62,33.53,96.0,7.0
1922.0,52.0,44.62,33.53,96.0,7.0
1923.0,27.600000381469727,44.62,33.53,96.0,7.0
1924.0,24.600000381469727,44.62,33.53,96.0,7.0
1925.0,28.799999237060547,44.62,33.53,96.0,7.0
1926.0,39.29999923706055,44.62,33.53,96.0,7.0
1927.0,25.0,44.62,33.53,96.0,7.0
1928.0,58.70000076293945,44.62,33.53,96.0,7.0
1929.0,22.0,44.62,33.53,96.0,7.0
1930.0,29.700000762939453,44.62,33.53,96.0,7.0
1931.0,49.400001525878906,44.62,33.53,96.0,7.0
1932.0,40.099998474121094,44.62,33.53,96.0,7.0
1933.0,35.5,44.62,33.53,96.0,7.0
1934.0,33.0,44.62,33.53,96.0,7.0
1936.0,14.5,44.62,33.53,96.0,7.0
1937.0,23.799999237060547,44.62,33.53,96.0,7.0
1938.0,29.399999618530273,44.62,33.53,96.0,7.0
1939.0,25.100000381469727,44.62,33.53,96.0,7.0
1940.0,33.70000076293945,44.62,33.53,96.0,7.0
1945.0,18.399999618530273,44.62,33.53,96.0,7.0
1946.0,24.0,44.62,33.53,96.0,7.0
1947.0,25.299999237060547,44.62,33.53,96.0,7.0
1948.0,17.299999237060547,44.62,33.53,96.0,7.0
1949.0,24.200000762939453,44.62,33.53,96.0,7.0
1950.0,28.600000381469727,44.62,33.53,96.0,7.0
1951.0,27.0,44.62,33.53,96.0,7.0
1952.0,19.799999237060547,44.62,33.53,96.0,7.0
1953.0,28.0,44.62,33.53,96.0,7.0
1954.0,27.200000762939453,44.62,33.53,96.0,7.0
1955.0,40.400001525878906,44.62,33.53,96.0,7.0
1956.0,40.900001525878906,44.62,33.53,96.0,7.0
1957.0,16.0,44.62,33.53,96.0,7.0
1958.0,15.100000381469727,44.62,33.53,96.0,7.0
1959.0,24.799999237060547,44.62,33.53,96.0,7.0
1960.0,37.099998474121094,44.62,33.53,96.0,7.0
1961.0,28.299999237060547,44.62,33.53,96.0,7.0
1962.0,49.099998474121094,44.62,33.53,96.0,7.0
1963.0,28.100000381469727,44.62,33.53,96.0,7.0
1964.0,31.799999237060547,44.62,33.53,96.0,7.0
1966.0,22.399999618530273,44.62,33.53,96.0,7.0
1967.0,21.899999618530273,44.62,33.53,96.0,7.0
1968.0,74.5999984741211,44.62,33.53,96.0,7.0
1969.0,37.20000076293945,44.62,33.53,96.0,7.0
1970.0,43.70000076293945,44.62,33.53,96.0,7.0
1971.0,19.799999237060547,44.62,33.53,96.0,7.0
1972.0,31.0,44.62,33.53,96.0,7.0
1973.0,30.299999237060547,44.62,33.53,96.0,7.0
1974.0,32.79999923706055,44.62,33.53,96.0,7.0
1975.0,30.100000381469727,44.62,33.53,96.0,7.0
1977.0,19.299999237060547,44.62,33.53,96.0,7.0
1979.0,52.5,44.62,33.53,96.0,7.0
1980.0,28.600000381469727,44.62,33.53,96.0,7.0
1981.0,40.599998474121094,44.62,33.53,96.0,7.0
1982.0,29.700000762939453,44.62,33.53,96.0,7.0
1983.0,48.400001525878906,44.62,33.53,96.0,7.0
1984.0,38.5,44.62,33.53,96.0,7.0
1985.0,53.099998474121094,44.62,33.53,96.0,7.0
1986.0,22.299999237060547,44.62,33.53,96.0,7.0
1987.0,31.600000381469727,44.62,33.53,96.0,7.0
1988.0,43.5,44.62,33.53,96.0,7.0
1989.0,39.900001525878906,44.62,33.53,96.0,7.0
1990.0,34.70000076293945,44.62,33.53,96.0,7.0
