,Maximum value,Latitude,Longitude,M,Z
1936.0,14.399999618530273,70.97,94.5,71.0,37.0
1937.0,44.79999923706055,70.97,94.5,71.0,37.0
1938.0,13.0,70.97,94.5,71.0,37.0
1939.0,43.0,70.97,94.5,71.0,37.0
1940.0,18.5,70.97,94.5,71.0,37.0
1942.0,19.299999237060547,70.97,94.5,71.0,37.0
1943.0,25.100000381469727,70.97,94.5,71.0,37.0
1944.0,20.899999618530273,70.97,94.5,71.0,37.0
1945.0,23.600000381469727,70.97,94.5,71.0,37.0
1950.0,26.600000381469727,70.97,94.5,71.0,37.0
1951.0,18.299999237060547,70.97,94.5,71.0,37.0
1952.0,18.200000762939453,70.97,94.5,71.0,37.0
1953.0,9.899999618530273,70.97,94.5,71.0,37.0
1954.0,9.399999618530273,70.97,94.5,71.0,37.0
1955.0,14.300000190734863,70.97,94.5,71.0,37.0
1957.0,7.699999809265137,70.97,94.5,71.0,37.0
1958.0,22.799999237060547,70.97,94.5,71.0,37.0
1959.0,13.600000381469727,70.97,94.5,71.0,37.0
1960.0,28.600000381469727,70.97,94.5,71.0,37.0
1961.0,19.0,70.97,94.5,71.0,37.0
1962.0,33.099998474121094,70.97,94.5,71.0,37.0
1963.0,14.399999618530273,70.97,94.5,71.0,37.0
1964.0,19.700000762939453,70.97,94.5,71.0,37.0
1965.0,13.899999618530273,70.97,94.5,71.0,37.0
1966.0,23.200000762939453,70.97,94.5,71.0,37.0
1967.0,14.5,70.97,94.5,71.0,37.0
1968.0,13.199999809265137,70.97,94.5,71.0,37.0
1969.0,17.299999237060547,70.97,94.5,71.0,37.0
1970.0,29.600000381469727,70.97,94.5,71.0,37.0
1971.0,31.100000381469727,70.97,94.5,71.0,37.0
1972.0,9.699999809265137,70.97,94.5,71.0,37.0
1973.0,32.0,70.97,94.5,71.0,37.0
1975.0,12.800000190734863,70.97,94.5,71.0,37.0
1976.0,10.300000190734863,70.97,94.5,71.0,37.0
1977.0,14.699999809265137,70.97,94.5,71.0,37.0
1978.0,10.800000190734863,70.97,94.5,71.0,37.0
1979.0,8.800000190734863,70.97,94.5,71.0,37.0
1980.0,36.599998474121094,70.97,94.5,71.0,37.0
1981.0,24.799999237060547,70.97,94.5,71.0,37.0
1982.0,10.300000190734863,70.97,94.5,71.0,37.0
1983.0,21.100000381469727,70.97,94.5,71.0,37.0
1984.0,15.0,70.97,94.5,71.0,37.0
1985.0,20.5,70.97,94.5,71.0,37.0
1986.0,23.100000381469727,70.97,94.5,71.0,37.0
1987.0,17.600000381469727,70.97,94.5,71.0,37.0
1988.0,45.70000076293945,70.97,94.5,71.0,37.0
1989.0,24.200000762939453,70.97,94.5,71.0,37.0
1990.0,16.0,70.97,94.5,71.0,37.0
1991.0,32.0,70.97,94.5,71.0,37.0
1992.0,15.100000381469727,70.97,94.5,71.0,37.0
1993.0,16.200000762939453,70.97,94.5,71.0,37.0
1994.0,17.299999237060547,70.97,94.5,71.0,37.0
1995.0,17.799999237060547,70.97,94.5,71.0,37.0
1996.0,24.899999618530273,70.97,94.5,71.0,37.0
1997.0,17.399999618530273,70.97,94.5,71.0,37.0
1998.0,40.599998474121094,70.97,94.5,71.0,37.0
1999.0,25.200000762939453,70.97,94.5,71.0,37.0
2000.0,19.0,70.97,94.5,71.0,37.0
2001.0,20.700000762939453,70.97,94.5,71.0,37.0
2002.0,40.400001525878906,70.97,94.5,71.0,37.0
2003.0,19.5,70.97,94.5,71.0,37.0
2004.0,33.29999923706055,70.97,94.5,71.0,37.0
2005.0,24.700000762939453,70.97,94.5,71.0,37.0
2006.0,20.399999618530273,70.97,94.5,71.0,37.0
2007.0,26.299999237060547,70.97,94.5,71.0,37.0
2008.0,11.199999809265137,70.97,94.5,71.0,37.0
2009.0,18.299999237060547,70.97,94.5,71.0,37.0
2010.0,16.399999618530273,70.97,94.5,71.0,37.0
2011.0,15.100000381469727,70.97,94.5,71.0,37.0
2012.0,13.199999809265137,70.97,94.5,71.0,37.0
2013.0,17.399999618530273,70.97,94.5,71.0,37.0
