,Maximum value,Latitude,Longitude,M,Z
1960.0,86.0999984741211,6.7182,-1.5994,59.0,269.0
1961.0,48.0,6.7182,-1.5994,59.0,269.0
1962.0,97.0,6.7182,-1.5994,59.0,269.0
1963.0,64.0,6.7182,-1.5994,59.0,269.0
1964.0,75.19999694824219,6.7182,-1.5994,59.0,269.0
1965.0,72.4000015258789,6.7182,-1.5994,59.0,269.0
1966.0,167.89999389648438,6.7182,-1.5994,59.0,269.0
1967.0,82.30000305175781,6.7182,-1.5994,59.0,269.0
1968.0,105.4000015258789,6.7182,-1.5994,59.0,269.0
1969.0,67.0999984741211,6.7182,-1.5994,59.0,269.0
1970.0,91.4000015258789,6.7182,-1.5994,59.0,269.0
1971.0,103.4000015258789,6.7182,-1.5994,59.0,269.0
1972.0,91.4000015258789,6.7182,-1.5994,59.0,269.0
1973.0,71.5999984741211,6.7182,-1.5994,59.0,269.0
1974.0,71.9000015258789,6.7182,-1.5994,59.0,269.0
1975.0,86.5999984741211,6.7182,-1.5994,59.0,269.0
1976.0,74.9000015258789,6.7182,-1.5994,59.0,269.0
1977.0,72.4000015258789,6.7182,-1.5994,59.0,269.0
1978.0,85.30000305175781,6.7182,-1.5994,59.0,269.0
1979.0,123.19999694824219,6.7182,-1.5994,59.0,269.0
1980.0,55.400001525878906,6.7182,-1.5994,59.0,269.0
1981.0,88.4000015258789,6.7182,-1.5994,59.0,269.0
1982.0,116.30000305175781,6.7182,-1.5994,59.0,269.0
1983.0,84.0,6.7182,-1.5994,59.0,269.0
1984.0,103.5999984741211,6.7182,-1.5994,59.0,269.0
1985.0,93.5,6.7182,-1.5994,59.0,269.0
1986.0,145.8000030517578,6.7182,-1.5994,59.0,269.0
1987.0,76.4000015258789,6.7182,-1.5994,59.0,269.0
1988.0,105.5999984741211,6.7182,-1.5994,59.0,269.0
1989.0,66.19999694824219,6.7182,-1.5994,59.0,269.0
1990.0,69.0,6.7182,-1.5994,59.0,269.0
1991.0,81.9000015258789,6.7182,-1.5994,59.0,269.0
1992.0,111.69999694824219,6.7182,-1.5994,59.0,269.0
1993.0,108.30000305175781,6.7182,-1.5994,59.0,269.0
1994.0,48.20000076293945,6.7182,-1.5994,59.0,269.0
1995.0,64.0,6.7182,-1.5994,59.0,269.0
1996.0,90.0,6.7182,-1.5994,59.0,269.0
1997.0,125.19999694824219,6.7182,-1.5994,59.0,269.0
1998.0,93.19999694824219,6.7182,-1.5994,59.0,269.0
1999.0,60.5,6.7182,-1.5994,59.0,269.0
2000.0,73.80000305175781,6.7182,-1.5994,59.0,269.0
2001.0,67.4000015258789,6.7182,-1.5994,59.0,269.0
2002.0,111.5,6.7182,-1.5994,59.0,269.0
2003.0,70.30000305175781,6.7182,-1.5994,59.0,269.0
2004.0,88.0,6.7182,-1.5994,59.0,269.0
2005.0,96.0999984741211,6.7182,-1.5994,59.0,269.0
2006.0,69.69999694824219,6.7182,-1.5994,59.0,269.0
2007.0,76.5,6.7182,-1.5994,59.0,269.0
2008.0,75.0,6.7182,-1.5994,59.0,269.0
2009.0,90.30000305175781,6.7182,-1.5994,59.0,269.0
2010.0,83.5999984741211,6.7182,-1.5994,59.0,269.0
2011.0,75.5,6.7182,-1.5994,59.0,269.0
2012.0,89.5999984741211,6.7182,-1.5994,59.0,269.0
2013.0,65.80000305175781,6.7182,-1.5994,59.0,269.0
2014.0,97.4000015258789,6.7182,-1.5994,59.0,269.0
2015.0,106.9000015258789,6.7182,-1.5994,59.0,269.0
2016.0,77.4000015258789,6.7182,-1.5994,59.0,269.0
2017.0,83.80000305175781,6.7182,-1.5994,59.0,269.0
2018.0,114.5999984741211,6.7182,-1.5994,59.0,269.0
