,Maximum value,Latitude,Longitude,M,Z
1960.0,89.19999694824219,9.55,-0.853,59.0,168.0
1961.0,77.0,9.55,-0.853,59.0,168.0
1962.0,50.29999923706055,9.55,-0.853,59.0,168.0
1963.0,79.30000305175781,9.55,-0.853,59.0,168.0
1964.0,56.900001525878906,9.55,-0.853,59.0,168.0
1965.0,103.5999984741211,9.55,-0.853,59.0,168.0
1966.0,55.599998474121094,9.55,-0.853,59.0,168.0
1967.0,75.4000015258789,9.55,-0.853,59.0,168.0
1968.0,75.4000015258789,9.55,-0.853,59.0,168.0
1969.0,73.19999694824219,9.55,-0.853,59.0,168.0
1970.0,94.19999694824219,9.55,-0.853,59.0,168.0
1971.0,75.19999694824219,9.55,-0.853,59.0,168.0
1972.0,55.400001525878906,9.55,-0.853,59.0,168.0
1973.0,50.0,9.55,-0.853,59.0,168.0
1974.0,80.80000305175781,9.55,-0.853,59.0,168.0
1975.0,78.19999694824219,9.55,-0.853,59.0,168.0
1976.0,57.099998474121094,9.55,-0.853,59.0,168.0
1977.0,100.0999984741211,9.55,-0.853,59.0,168.0
1978.0,101.5999984741211,9.55,-0.853,59.0,168.0
1979.0,106.5999984741211,9.55,-0.853,59.0,168.0
1980.0,64.4000015258789,9.55,-0.853,59.0,168.0
1981.0,86.19999694824219,9.55,-0.853,59.0,168.0
1982.0,80.4000015258789,9.55,-0.853,59.0,168.0
1983.0,62.0,9.55,-0.853,59.0,168.0
1984.0,56.5,9.55,-0.853,59.0,168.0
1985.0,95.19999694824219,9.55,-0.853,59.0,168.0
1986.0,103.69999694824219,9.55,-0.853,59.0,168.0
1987.0,70.80000305175781,9.55,-0.853,59.0,168.0
1988.0,122.0999984741211,9.55,-0.853,59.0,168.0
1989.0,139.8000030517578,9.55,-0.853,59.0,168.0
1990.0,90.80000305175781,9.55,-0.853,59.0,168.0
1991.0,132.60000610351562,9.55,-0.853,59.0,168.0
1992.0,45.79999923706055,9.55,-0.853,59.0,168.0
1993.0,91.0999984741211,9.55,-0.853,59.0,168.0
1994.0,74.19999694824219,9.55,-0.853,59.0,168.0
1995.0,71.30000305175781,9.55,-0.853,59.0,168.0
1996.0,73.19999694824219,9.55,-0.853,59.0,168.0
1997.0,143.0,9.55,-0.853,59.0,168.0
1998.0,70.69999694824219,9.55,-0.853,59.0,168.0
1999.0,97.19999694824219,9.55,-0.853,59.0,168.0
2000.0,67.4000015258789,9.55,-0.853,59.0,168.0
2001.0,64.0999984741211,9.55,-0.853,59.0,168.0
2002.0,71.69999694824219,9.55,-0.853,59.0,168.0
2003.0,91.4000015258789,9.55,-0.853,59.0,168.0
2004.0,55.099998474121094,9.55,-0.853,59.0,168.0
2005.0,70.80000305175781,9.55,-0.853,59.0,168.0
2006.0,103.5999984741211,9.55,-0.853,59.0,168.0
2007.0,59.0,9.55,-0.853,59.0,168.0
2008.0,92.5999984741211,9.55,-0.853,59.0,168.0
2009.0,62.0,9.55,-0.853,59.0,168.0
2010.0,89.0999984741211,9.55,-0.853,59.0,168.0
2011.0,120.30000305175781,9.55,-0.853,59.0,168.0
2012.0,77.69999694824219,9.55,-0.853,59.0,168.0
2013.0,59.79999923706055,9.55,-0.853,59.0,168.0
2014.0,81.69999694824219,9.55,-0.853,59.0,168.0
2015.0,61.0,9.55,-0.853,59.0,168.0
2016.0,70.19999694824219,9.55,-0.853,59.0,168.0
2017.0,58.0,9.55,-0.853,59.0,168.0
2018.0,106.69999694824219,9.55,-0.853,59.0,168.0
