,Maximum value,Latitude,Longitude,M,Z
1961.0,94.69999694824219,5.6027,-0.1679,58.0,63.0
1962.0,117.30000305175781,5.6027,-0.1679,58.0,63.0
1963.0,96.5,5.6027,-0.1679,58.0,63.0
1964.0,65.30000305175781,5.6027,-0.1679,58.0,63.0
1965.0,93.5,5.6027,-0.1679,58.0,63.0
1966.0,51.79999923706055,5.6027,-0.1679,58.0,63.0
1967.0,63.29999923706055,5.6027,-0.1679,58.0,63.0
1968.0,148.3000030517578,5.6027,-0.1679,58.0,63.0
1969.0,69.9000015258789,5.6027,-0.1679,58.0,63.0
1970.0,82.80000305175781,5.6027,-0.1679,58.0,63.0
1971.0,66.0,5.6027,-0.1679,58.0,63.0
1972.0,95.5,5.6027,-0.1679,58.0,63.0
1973.0,175.3000030517578,5.6027,-0.1679,58.0,63.0
1974.0,86.9000015258789,5.6027,-0.1679,58.0,63.0
1975.0,93.0,5.6027,-0.1679,58.0,63.0
1976.0,75.4000015258789,5.6027,-0.1679,58.0,63.0
1977.0,71.5999984741211,5.6027,-0.1679,58.0,63.0
1978.0,77.5,5.6027,-0.1679,58.0,63.0
1979.0,107.69999694824219,5.6027,-0.1679,58.0,63.0
1980.0,85.30000305175781,5.6027,-0.1679,58.0,63.0
1981.0,60.79999923706055,5.6027,-0.1679,58.0,63.0
1982.0,82.30000305175781,5.6027,-0.1679,58.0,63.0
1983.0,46.29999923706055,5.6027,-0.1679,58.0,63.0
1984.0,57.099998474121094,5.6027,-0.1679,58.0,63.0
1985.0,69.5,5.6027,-0.1679,58.0,63.0
1986.0,69.30000305175781,5.6027,-0.1679,58.0,63.0
1987.0,84.5999984741211,5.6027,-0.1679,58.0,63.0
1988.0,157.89999389648438,5.6027,-0.1679,58.0,63.0
1989.0,62.70000076293945,5.6027,-0.1679,58.0,63.0
1990.0,53.0,5.6027,-0.1679,58.0,63.0
1991.0,157.1999969482422,5.6027,-0.1679,58.0,63.0
1992.0,79.30000305175781,5.6027,-0.1679,58.0,63.0
1993.0,51.0,5.6027,-0.1679,58.0,63.0
1994.0,63.400001525878906,5.6027,-0.1679,58.0,63.0
1995.0,243.89999389648438,5.6027,-0.1679,58.0,63.0
1996.0,75.30000305175781,5.6027,-0.1679,58.0,63.0
1997.0,124.0999984741211,5.6027,-0.1679,58.0,63.0
1998.0,150.6999969482422,5.6027,-0.1679,58.0,63.0
1999.0,92.80000305175781,5.6027,-0.1679,58.0,63.0
2000.0,57.0,5.6027,-0.1679,58.0,63.0
2001.0,81.0999984741211,5.6027,-0.1679,58.0,63.0
2002.0,123.30000305175781,5.6027,-0.1679,58.0,63.0
2003.0,119.80000305175781,5.6027,-0.1679,58.0,63.0
2004.0,97.5999984741211,5.6027,-0.1679,58.0,63.0
2005.0,72.0,5.6027,-0.1679,58.0,63.0
2006.0,67.30000305175781,5.6027,-0.1679,58.0,63.0
2007.0,68.30000305175781,5.6027,-0.1679,58.0,63.0
2008.0,151.0,5.6027,-0.1679,58.0,63.0
2009.0,70.80000305175781,5.6027,-0.1679,58.0,63.0
2010.0,122.0,5.6027,-0.1679,58.0,63.0
2011.0,97.69999694824219,5.6027,-0.1679,58.0,63.0
2012.0,47.900001525878906,5.6027,-0.1679,58.0,63.0
2013.0,61.0,5.6027,-0.1679,58.0,63.0
2014.0,99.5,5.6027,-0.1679,58.0,63.0
2015.0,212.8000030517578,5.6027,-0.1679,58.0,63.0
2016.0,182.5,5.6027,-0.1679,58.0,63.0
2017.0,80.0999984741211,5.6027,-0.1679,58.0,63.0
2018.0,92.5999984741211,5.6027,-0.1679,58.0,63.0
