,Maximum value,Latitude,Longitude,M,Z
1960.0,77.69999694824219,10.783,-0.8,56.0,213.3
1961.0,52.79999923706055,10.783,-0.8,56.0,213.3
1962.0,59.900001525878906,10.783,-0.8,56.0,213.3
1963.0,110.5,10.783,-0.8,56.0,213.3
1964.0,57.70000076293945,10.783,-0.8,56.0,213.3
1965.0,83.0999984741211,10.783,-0.8,56.0,213.3
1966.0,67.5999984741211,10.783,-0.8,56.0,213.3
1967.0,56.400001525878906,10.783,-0.8,56.0,213.3
1968.0,115.30000305175781,10.783,-0.8,56.0,213.3
1969.0,133.89999389648438,10.783,-0.8,56.0,213.3
1970.0,72.9000015258789,10.783,-0.8,56.0,213.3
1971.0,65.30000305175781,10.783,-0.8,56.0,213.3
1972.0,45.0,10.783,-0.8,56.0,213.3
1973.0,64.80000305175781,10.783,-0.8,56.0,213.3
1974.0,77.0,10.783,-0.8,56.0,213.3
1975.0,79.0,10.783,-0.8,56.0,213.3
1976.0,85.9000015258789,10.783,-0.8,56.0,213.3
1977.0,37.900001525878906,10.783,-0.8,56.0,213.3
1978.0,79.80000305175781,10.783,-0.8,56.0,213.3
1979.0,49.5,10.783,-0.8,56.0,213.3
1980.0,41.900001525878906,10.783,-0.8,56.0,213.3
1981.0,75.9000015258789,10.783,-0.8,56.0,213.3
1982.0,108.69999694824219,10.783,-0.8,56.0,213.3
1983.0,103.0999984741211,10.783,-0.8,56.0,213.3
1984.0,58.400001525878906,10.783,-0.8,56.0,213.3
1986.0,63.29999923706055,10.783,-0.8,56.0,213.3
1987.0,66.0,10.783,-0.8,56.0,213.3
1988.0,66.0,10.783,-0.8,56.0,213.3
1989.0,96.0,10.783,-0.8,56.0,213.3
1990.0,60.400001525878906,10.783,-0.8,56.0,213.3
1991.0,73.5,10.783,-0.8,56.0,213.3
1992.0,60.20000076293945,10.783,-0.8,56.0,213.3
1993.0,60.5,10.783,-0.8,56.0,213.3
1994.0,77.5,10.783,-0.8,56.0,213.3
1995.0,68.80000305175781,10.783,-0.8,56.0,213.3
1996.0,110.5,10.783,-0.8,56.0,213.3
1997.0,49.79999923706055,10.783,-0.8,56.0,213.3
1998.0,79.19999694824219,10.783,-0.8,56.0,213.3
1999.0,61.599998474121094,10.783,-0.8,56.0,213.3
2000.0,62.599998474121094,10.783,-0.8,56.0,213.3
2001.0,119.30000305175781,10.783,-0.8,56.0,213.3
2002.0,57.79999923706055,10.783,-0.8,56.0,213.3
2003.0,73.9000015258789,10.783,-0.8,56.0,213.3
2004.0,54.20000076293945,10.783,-0.8,56.0,213.3
2005.0,71.19999694824219,10.783,-0.8,56.0,213.3
2006.0,46.5,10.783,-0.8,56.0,213.3
2007.0,85.69999694824219,10.783,-0.8,56.0,213.3
2008.0,50.29999923706055,10.783,-0.8,56.0,213.3
2009.0,61.20000076293945,10.783,-0.8,56.0,213.3
2010.0,58.400001525878906,10.783,-0.8,56.0,213.3
2011.0,62.20000076293945,10.783,-0.8,56.0,213.3
2012.0,146.8000030517578,10.783,-0.8,56.0,213.3
2013.0,57.70000076293945,10.783,-0.8,56.0,213.3
2014.0,57.900001525878906,10.783,-0.8,56.0,213.3
2015.0,56.599998474121094,10.783,-0.8,56.0,213.3
2016.0,133.1999969482422,10.783,-0.8,56.0,213.3
