,Maximum value,Latitude,Longitude,M,Z
1901.0,79.19999694824219,25.62,85.17,67.0,53.0
1902.0,201.39999389648438,25.62,85.17,67.0,53.0
1903.0,68.5999984741211,25.62,85.17,67.0,53.0
1904.0,122.9000015258789,25.62,85.17,67.0,53.0
1905.0,123.4000015258789,25.62,85.17,67.0,53.0
1906.0,128.8000030517578,25.62,85.17,67.0,53.0
1907.0,149.39999389648438,25.62,85.17,67.0,53.0
1908.0,160.5,25.62,85.17,67.0,53.0
1909.0,103.4000015258789,25.62,85.17,67.0,53.0
1910.0,131.8000030517578,25.62,85.17,67.0,53.0
1911.0,89.9000015258789,25.62,85.17,67.0,53.0
1912.0,78.19999694824219,25.62,85.17,67.0,53.0
1913.0,136.39999389648438,25.62,85.17,67.0,53.0
1914.0,165.39999389648438,25.62,85.17,67.0,53.0
1915.0,266.20001220703125,25.62,85.17,67.0,53.0
1916.0,187.1999969482422,25.62,85.17,67.0,53.0
1917.0,164.60000610351562,25.62,85.17,67.0,53.0
1918.0,366.0,25.62,85.17,67.0,53.0
1919.0,89.9000015258789,25.62,85.17,67.0,53.0
1920.0,102.5999984741211,25.62,85.17,67.0,53.0
1921.0,87.4000015258789,25.62,85.17,67.0,53.0
1922.0,99.80000305175781,25.62,85.17,67.0,53.0
1923.0,54.400001525878906,25.62,85.17,67.0,53.0
1924.0,115.30000305175781,25.62,85.17,67.0,53.0
1925.0,42.20000076293945,25.62,85.17,67.0,53.0
1926.0,109.69999694824219,25.62,85.17,67.0,53.0
1927.0,124.5,25.62,85.17,67.0,53.0
1928.0,85.9000015258789,25.62,85.17,67.0,53.0
1929.0,113.0,25.62,85.17,67.0,53.0
1930.0,82.5999984741211,25.62,85.17,67.0,53.0
1931.0,97.5,25.62,85.17,67.0,53.0
1932.0,163.3000030517578,25.62,85.17,67.0,53.0
1933.0,83.80000305175781,25.62,85.17,67.0,53.0
1934.0,70.5999984741211,25.62,85.17,67.0,53.0
1935.0,138.39999389648438,25.62,85.17,67.0,53.0
1936.0,160.5,25.62,85.17,67.0,53.0
1937.0,116.0999984741211,25.62,85.17,67.0,53.0
1938.0,90.9000015258789,25.62,85.17,67.0,53.0
1939.0,85.0999984741211,25.62,85.17,67.0,53.0
1940.0,151.60000610351562,25.62,85.17,67.0,53.0
1941.0,97.30000305175781,25.62,85.17,67.0,53.0
1942.0,218.39999389648438,25.62,85.17,67.0,53.0
1943.0,51.79999923706055,25.62,85.17,67.0,53.0
1944.0,73.19999694824219,25.62,85.17,67.0,53.0
1945.0,132.60000610351562,25.62,85.17,67.0,53.0
1946.0,85.30000305175781,25.62,85.17,67.0,53.0
1947.0,101.0999984741211,25.62,85.17,67.0,53.0
1948.0,160.0,25.62,85.17,67.0,53.0
1949.0,134.60000610351562,25.62,85.17,67.0,53.0
1950.0,93.19999694824219,25.62,85.17,67.0,53.0
1951.0,84.80000305175781,25.62,85.17,67.0,53.0
1952.0,140.1999969482422,25.62,85.17,67.0,53.0
1953.0,98.5999984741211,25.62,85.17,67.0,53.0
1954.0,78.0,25.62,85.17,67.0,53.0
1955.0,127.80000305175781,25.62,85.17,67.0,53.0
1956.0,72.0999984741211,25.62,85.17,67.0,53.0
1957.0,133.89999389648438,25.62,85.17,67.0,53.0
1958.0,140.0,25.62,85.17,67.0,53.0
1959.0,136.8000030517578,25.62,85.17,67.0,53.0
1960.0,162.0,25.62,85.17,67.0,53.0
1961.0,58.0,25.62,85.17,67.0,53.0
1962.0,69.19999694824219,25.62,85.17,67.0,53.0
1963.0,110.4000015258789,25.62,85.17,67.0,53.0
1964.0,137.39999389648438,25.62,85.17,67.0,53.0
1965.0,144.0,25.62,85.17,67.0,53.0
1966.0,69.19999694824219,25.62,85.17,67.0,53.0
1967.0,355.79998779296875,25.62,85.17,67.0,53.0
