"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max","Area"
1937,23.7000007629395,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1938,30,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1939,35.9000015258789,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1940,21.6000003814697,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1941,17.7999992370605,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1942,39.4000015258789,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1945,29.2000007629395,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1946,29.2999992370605,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1947,20.3999996185303,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1948,13.6999998092651,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1949,25.5,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1950,11.5,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1951,26.5,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1952,32.2000007629395,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1953,35.5,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1954,36.5999984741211,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1955,18.6000003814697,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1956,62,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1957,21.6000003814697,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1958,33.7000007629395,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1959,28.2999992370605,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1960,22.2999992370605,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1961,30.7000007629395,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1962,42,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1963,45.7999992370605,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1964,21.6000003814697,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1965,21.7000007629395,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1967,28.7999992370605,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1968,36.5,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1969,23.7000007629395,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1970,41.2000007629395,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1971,15.6999998092651,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1972,22.7000007629395,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1973,35,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1974,22.7999992370605,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1975,43.2000007629395,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1977,39.2999992370605,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1978,33,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1979,26.1000003814697,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1980,32.9000015258789,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1981,40.0999984741211,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1982,37.2000007629395,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1983,34.4000015258789,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1984,51.5999984741211,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1985,23.6000003814697,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1986,20.3999996185303,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1987,31.2000007629395,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1988,44,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1989,35,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1990,26.3999996185303,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1991,28,39.467,48.55,51,3,30.3901961831486,77.0579118620849,62,614.700012207031,"Asia"
1936,13.3000001907349,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1937,27.5,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1938,25.6000003814697,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1939,38.2000007629395,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1940,21,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1941,28.5,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1942,36.7999992370605,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1943,37.2999992370605,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1944,25,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1945,25.3999996185303,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1946,18.2999992370605,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1947,22.5,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1948,28,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1949,18.2000007629395,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1950,35.5,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1951,17,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1952,22,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1953,17.6000003814697,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1954,23.7999992370605,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1955,27,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1956,47.9000015258789,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1957,33.2999992370605,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1958,40.7000007629395,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1959,71.9000015258789,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1960,30.3999996185303,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1961,20.7000007629395,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1962,46.7000007629395,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1963,20.2999992370605,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1964,25.5,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1965,21.1000003814697,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1966,55,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1967,61.2999992370605,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1968,17.8999996185303,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1969,25.3999996185303,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1970,17.5,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1971,32.5,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1972,34.9000015258789,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1973,27.3999996185303,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1974,25.2999992370605,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1975,12.8000001907349,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1976,25.3999996185303,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1978,35.7000007629395,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1979,22.7999992370605,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1980,31.6000003814697,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1981,36.5,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1982,20.7000007629395,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1983,25.2000007629395,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1984,39.7000007629395,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1985,23.2000007629395,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1986,26.6000003814697,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1988,65.6999969482422,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1989,25.2000007629395,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1990,38.5999984741211,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1991,24.2000007629395,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1992,28.6000003814697,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1994,25.7000007629395,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1995,26.2999992370605,58.767,56.2,57,123,29.8017544328121,77.0579118620849,71.9000015258789,614.700012207031,"Asia"
1951,82.3000030517578,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1952,86.8000030517578,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1953,91.5,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1954,176.800003051758,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1955,51.5,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1956,79.5,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1957,159,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1958,113.300003051758,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1959,48.4000015258789,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1960,63.7000007629395,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1961,41,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1962,72.0999984741211,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1963,82.4000015258789,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1964,94.3000030517578,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1965,143.600006103516,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1966,155.100006103516,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1967,135.100006103516,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1968,102.099998474121,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1969,127.099998474121,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1970,102.599998474121,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1971,73.6999969482422,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1972,42.4000015258789,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1973,132.699996948242,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1974,47.2999992370605,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1975,129.5,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1976,51.5,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1977,121.699996948242,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1978,50.5,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1979,101.099998474121,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1980,148.899993896484,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1981,135.5,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1982,82.0999984741211,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1983,107.300003051758,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1984,76,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1985,60.4000015258789,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1986,81.9000015258789,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1987,100,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1988,110.800003051758,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1989,68.5,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1990,121,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1991,49.2000007629395,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1992,79.8000030517578,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1993,124.300003051758,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1994,105,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1995,90.8000030517578,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1996,79.4000015258789,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1997,68.9000015258789,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1998,114.300003051758,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1999,251.100006103516,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
2000,93.8000030517578,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
2001,68.9000015258789,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
2002,132.5,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
2003,76.5,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
2004,87.1999969482422,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
2005,90.8000030517578,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
2006,97.9000015258789,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
2007,67.5999984741211,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
2008,164.399993896484,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
2009,98.6999969482422,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
2010,113.599998474121,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
2011,65.8000030517578,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
2012,79.5999984741211,29.05,111.683,62,35,97.5983877489644,77.0579118620849,251.100006103516,614.700012207031,"Asia"
1961,82,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1962,102,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1963,188,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1964,88,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1965,78,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1966,110,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1967,177,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
