"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max","Area"
1944,66.8000030517578,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1945,42.4000015258789,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1946,49,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1947,57.2000007629395,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1948,36.5999984741211,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1949,80.5,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1950,60.5,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1951,47,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1952,33,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1953,54.4000015258789,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1954,48.2999992370605,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1955,32.7999992370605,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1956,88.0999984741211,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1957,46.5,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1958,49,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1959,202.199996948242,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1960,119.599998474121,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1961,32.7999992370605,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
1962,53.0999984741211,-18.2292,127.6636,74,422,72.8594597996892,66.3826407243687,202.199996948242,303.5,"Australia"
