,Maximum value,Latitude,Longitude,M,Z
1882.0,24.0,40.4,49.8,104.0,47.0
1883.0,27.700000762939453,40.4,49.8,104.0,47.0
1884.0,23.799999237060547,40.4,49.8,104.0,47.0
1885.0,18.299999237060547,40.4,49.8,104.0,47.0
1886.0,41.599998474121094,40.4,49.8,104.0,47.0
1887.0,11.600000381469727,40.4,49.8,104.0,47.0
1888.0,18.700000762939453,40.4,49.8,104.0,47.0
1889.0,18.799999237060547,40.4,49.8,104.0,47.0
1890.0,27.100000381469727,40.4,49.8,104.0,47.0
1891.0,22.700000762939453,40.4,49.8,104.0,47.0
1892.0,16.799999237060547,40.4,49.8,104.0,47.0
1893.0,25.100000381469727,40.4,49.8,104.0,47.0
1894.0,78.0,40.4,49.8,104.0,47.0
1895.0,14.699999809265137,40.4,49.8,104.0,47.0
1896.0,15.5,40.4,49.8,104.0,47.0
1897.0,26.700000762939453,40.4,49.8,104.0,47.0
1898.0,18.700000762939453,40.4,49.8,104.0,47.0
1899.0,85.0,40.4,49.8,104.0,47.0
1900.0,14.699999809265137,40.4,49.8,104.0,47.0
1901.0,28.299999237060547,40.4,49.8,104.0,47.0
1902.0,16.700000762939453,40.4,49.8,104.0,47.0
1903.0,17.200000762939453,40.4,49.8,104.0,47.0
1904.0,11.5,40.4,49.8,104.0,47.0
1905.0,23.700000762939453,40.4,49.8,104.0,47.0
1906.0,25.799999237060547,40.4,49.8,104.0,47.0
1908.0,25.5,40.4,49.8,104.0,47.0
1909.0,24.100000381469727,40.4,49.8,104.0,47.0
1910.0,17.5,40.4,49.8,104.0,47.0
1911.0,35.400001525878906,40.4,49.8,104.0,47.0
1912.0,20.200000762939453,40.4,49.8,104.0,47.0
1913.0,40.099998474121094,40.4,49.8,104.0,47.0
1914.0,37.0,40.4,49.8,104.0,47.0
1915.0,17.700000762939453,40.4,49.8,104.0,47.0
1916.0,15.5,40.4,49.8,104.0,47.0
1917.0,15.100000381469727,40.4,49.8,104.0,47.0
1922.0,28.399999618530273,40.4,49.8,104.0,47.0
1923.0,15.100000381469727,40.4,49.8,104.0,47.0
1924.0,33.70000076293945,40.4,49.8,104.0,47.0
1925.0,9.800000190734863,40.4,49.8,104.0,47.0
1926.0,23.600000381469727,40.4,49.8,104.0,47.0
1928.0,31.799999237060547,40.4,49.8,104.0,47.0
1929.0,14.100000381469727,40.4,49.8,104.0,47.0
1930.0,21.899999618530273,40.4,49.8,104.0,47.0
1931.0,19.200000762939453,40.4,49.8,104.0,47.0
1932.0,41.400001525878906,40.4,49.8,104.0,47.0
1933.0,15.300000190734863,40.4,49.8,104.0,47.0
1934.0,18.600000381469727,40.4,49.8,104.0,47.0
1935.0,16.299999237060547,40.4,49.8,104.0,47.0
1936.0,24.299999237060547,40.4,49.8,104.0,47.0
1937.0,65.4000015258789,40.4,49.8,104.0,47.0
1938.0,14.399999618530273,40.4,49.8,104.0,47.0
1939.0,15.899999618530273,40.4,49.8,104.0,47.0
1940.0,14.600000381469727,40.4,49.8,104.0,47.0
1941.0,32.70000076293945,40.4,49.8,104.0,47.0
1942.0,18.899999618530273,40.4,49.8,104.0,47.0
1943.0,19.899999618530273,40.4,49.8,104.0,47.0
1944.0,43.70000076293945,40.4,49.8,104.0,47.0
1945.0,33.70000076293945,40.4,49.8,104.0,47.0
1946.0,65.19999694824219,40.4,49.8,104.0,47.0
1947.0,19.100000381469727,40.4,49.8,104.0,47.0
1948.0,33.5,40.4,49.8,104.0,47.0
1949.0,41.0,40.4,49.8,104.0,47.0
1950.0,28.100000381469727,40.4,49.8,104.0,47.0
1951.0,21.0,40.4,49.8,104.0,47.0
1952.0,14.0,40.4,49.8,104.0,47.0
1953.0,17.0,40.4,49.8,104.0,47.0
1954.0,23.100000381469727,40.4,49.8,104.0,47.0
1955.0,29.5,40.4,49.8,104.0,47.0
1956.0,23.100000381469727,40.4,49.8,104.0,47.0
1957.0,45.900001525878906,40.4,49.8,104.0,47.0
1958.0,21.0,40.4,49.8,104.0,47.0
