,Maximum value,Latitude,Longitude,M,Z
1937.0,23.700000762939453,39.467,48.55,51.0,3.0
1938.0,30.0,39.467,48.55,51.0,3.0
1939.0,35.900001525878906,39.467,48.55,51.0,3.0
1940.0,21.600000381469727,39.467,48.55,51.0,3.0
1941.0,17.799999237060547,39.467,48.55,51.0,3.0
1942.0,39.400001525878906,39.467,48.55,51.0,3.0
1945.0,29.200000762939453,39.467,48.55,51.0,3.0
1946.0,29.299999237060547,39.467,48.55,51.0,3.0
1947.0,20.399999618530273,39.467,48.55,51.0,3.0
1948.0,13.699999809265137,39.467,48.55,51.0,3.0
1949.0,25.5,39.467,48.55,51.0,3.0
1950.0,11.5,39.467,48.55,51.0,3.0
1951.0,26.5,39.467,48.55,51.0,3.0
1952.0,32.20000076293945,39.467,48.55,51.0,3.0
1953.0,35.5,39.467,48.55,51.0,3.0
1954.0,36.599998474121094,39.467,48.55,51.0,3.0
1955.0,18.600000381469727,39.467,48.55,51.0,3.0
1956.0,62.0,39.467,48.55,51.0,3.0
1957.0,21.600000381469727,39.467,48.55,51.0,3.0
1958.0,33.70000076293945,39.467,48.55,51.0,3.0
1959.0,28.299999237060547,39.467,48.55,51.0,3.0
1960.0,22.299999237060547,39.467,48.55,51.0,3.0
1961.0,30.700000762939453,39.467,48.55,51.0,3.0
1962.0,42.0,39.467,48.55,51.0,3.0
1963.0,45.79999923706055,39.467,48.55,51.0,3.0
1964.0,21.600000381469727,39.467,48.55,51.0,3.0
1965.0,21.700000762939453,39.467,48.55,51.0,3.0
1967.0,28.799999237060547,39.467,48.55,51.0,3.0
1968.0,36.5,39.467,48.55,51.0,3.0
1969.0,23.700000762939453,39.467,48.55,51.0,3.0
1970.0,41.20000076293945,39.467,48.55,51.0,3.0
1971.0,15.699999809265137,39.467,48.55,51.0,3.0
1972.0,22.700000762939453,39.467,48.55,51.0,3.0
1973.0,35.0,39.467,48.55,51.0,3.0
1974.0,22.799999237060547,39.467,48.55,51.0,3.0
1975.0,43.20000076293945,39.467,48.55,51.0,3.0
1977.0,39.29999923706055,39.467,48.55,51.0,3.0
1978.0,33.0,39.467,48.55,51.0,3.0
1979.0,26.100000381469727,39.467,48.55,51.0,3.0
1980.0,32.900001525878906,39.467,48.55,51.0,3.0
1981.0,40.099998474121094,39.467,48.55,51.0,3.0
1982.0,37.20000076293945,39.467,48.55,51.0,3.0
1983.0,34.400001525878906,39.467,48.55,51.0,3.0
1984.0,51.599998474121094,39.467,48.55,51.0,3.0
1985.0,23.600000381469727,39.467,48.55,51.0,3.0
1986.0,20.399999618530273,39.467,48.55,51.0,3.0
1987.0,31.200000762939453,39.467,48.55,51.0,3.0
1988.0,44.0,39.467,48.55,51.0,3.0
1989.0,35.0,39.467,48.55,51.0,3.0
1990.0,26.399999618530273,39.467,48.55,51.0,3.0
1991.0,28.0,39.467,48.55,51.0,3.0
