,Maximum value,Latitude,Longitude,M,Z
1951.0,74.4000015258789,39.2331,9.05,64.0,21.0
1952.0,26.399999618530273,39.2331,9.05,64.0,21.0
1953.0,47.400001525878906,39.2331,9.05,64.0,21.0
1954.0,17.200000762939453,39.2331,9.05,64.0,21.0
1955.0,33.599998474121094,39.2331,9.05,64.0,21.0
1956.0,47.70000076293945,39.2331,9.05,64.0,21.0
1957.0,47.20000076293945,39.2331,9.05,64.0,21.0
1958.0,33.400001525878906,39.2331,9.05,64.0,21.0
1959.0,61.79999923706055,39.2331,9.05,64.0,21.0
1960.0,32.0,39.2331,9.05,64.0,21.0
1961.0,70.19999694824219,39.2331,9.05,64.0,21.0
1962.0,27.399999618530273,39.2331,9.05,64.0,21.0
1963.0,37.599998474121094,39.2331,9.05,64.0,21.0
1964.0,102.4000015258789,39.2331,9.05,64.0,21.0
1965.0,52.70000076293945,39.2331,9.05,64.0,21.0
1966.0,33.79999923706055,39.2331,9.05,64.0,21.0
1967.0,32.599998474121094,39.2331,9.05,64.0,21.0
1968.0,65.4000015258789,39.2331,9.05,64.0,21.0
1969.0,32.20000076293945,39.2331,9.05,64.0,21.0
1970.0,15.399999618530273,39.2331,9.05,64.0,21.0
1971.0,78.4000015258789,39.2331,9.05,64.0,21.0
1972.0,51.0,39.2331,9.05,64.0,21.0
1973.0,36.0,39.2331,9.05,64.0,21.0
1974.0,109.5999984741211,39.2331,9.05,64.0,21.0
1975.0,56.79999923706055,39.2331,9.05,64.0,21.0
1976.0,62.0,39.2331,9.05,64.0,21.0
1977.0,41.0,39.2331,9.05,64.0,21.0
1978.0,34.099998474121094,39.2331,9.05,64.0,21.0
1979.0,50.400001525878906,39.2331,9.05,64.0,21.0
1980.0,27.0,39.2331,9.05,64.0,21.0
1981.0,16.799999237060547,39.2331,9.05,64.0,21.0
1982.0,80.5999984741211,39.2331,9.05,64.0,21.0
1983.0,31.200000762939453,39.2331,9.05,64.0,21.0
1984.0,23.799999237060547,39.2331,9.05,64.0,21.0
1985.0,79.19999694824219,39.2331,9.05,64.0,21.0
1986.0,20.399999618530273,39.2331,9.05,64.0,21.0
1987.0,79.4000015258789,39.2331,9.05,64.0,21.0
1988.0,41.20000076293945,39.2331,9.05,64.0,21.0
1989.0,22.0,39.2331,9.05,64.0,21.0
1990.0,32.20000076293945,39.2331,9.05,64.0,21.0
1991.0,40.599998474121094,39.2331,9.05,64.0,21.0
1992.0,33.20000076293945,39.2331,9.05,64.0,21.0
1993.0,101.4000015258789,39.2331,9.05,64.0,21.0
1994.0,21.0,39.2331,9.05,64.0,21.0
1995.0,24.200000762939453,39.2331,9.05,64.0,21.0
1996.0,49.599998474121094,39.2331,9.05,64.0,21.0
1997.0,57.599998474121094,39.2331,9.05,64.0,21.0
1998.0,19.799999237060547,39.2331,9.05,64.0,21.0
1999.0,32.400001525878906,39.2331,9.05,64.0,21.0
2000.0,33.79999923706055,39.2331,9.05,64.0,21.0
2001.0,13.600000381469727,39.2331,9.05,64.0,21.0
2002.0,25.399999618530273,39.2331,9.05,64.0,21.0
2003.0,34.599998474121094,39.2331,9.05,64.0,21.0
2004.0,34.79999923706055,39.2331,9.05,64.0,21.0
2005.0,40.599998474121094,39.2331,9.05,64.0,21.0
2006.0,41.79999923706055,39.2331,9.05,64.0,21.0
2007.0,26.0,39.2331,9.05,64.0,21.0
2008.0,29.600000381469727,39.2331,9.05,64.0,21.0
2009.0,52.79999923706055,39.2331,9.05,64.0,21.0
2010.0,47.0,39.2331,9.05,64.0,21.0
2011.0,35.099998474121094,39.2331,9.05,64.0,21.0
2012.0,34.79999923706055,39.2331,9.05,64.0,21.0
2018.0,88.9000015258789,39.2331,9.05,64.0,21.0
2019.0,36.099998474121094,39.2331,9.05,64.0,21.0
