"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max","Area"
1901,38.7999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1902,36.5,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1903,25.5,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1904,23.7999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1905,34.2999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1906,35.5999984741211,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1907,42.9000015258789,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1908,43.2999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1909,29.2999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1910,38,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1911,48.7000007629395,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1912,44.4000015258789,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1913,30.3999996185303,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1914,50.2000007629395,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1915,62.0999984741211,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1916,41.7999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1917,20.5,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1918,36.7999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1919,29.3999996185303,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1920,64.3000030517578,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1921,33.5999984741211,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1922,32.5,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1923,38.5999984741211,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1924,50,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1925,41.2999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1926,39.7000007629395,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1927,26.7999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1928,22.7000007629395,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1929,61.5999984741211,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1930,35.0999984741211,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1931,43.2000007629395,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1932,29.2000007629395,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1933,35.0999984741211,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1934,48.4000015258789,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1935,37.2999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1936,40,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1937,93.9000015258789,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1938,22.2999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1939,31.8999996185303,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1940,46,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1941,37,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1942,42.9000015258789,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1943,39.4000015258789,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1944,33,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1945,38.7000007629395,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1946,29.8999996185303,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1947,26.3999996185303,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1948,23.3999996185303,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1949,35.5,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1950,33.7999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1951,30.7000007629395,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1952,44.7999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1953,37.5,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1954,78,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1955,71,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1956,31.3999996185303,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1957,40.5,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1958,33.5,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1959,37.5999984741211,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1960,36.5,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1961,27.2999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1962,41.9000015258789,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1963,60.9000015258789,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1964,35.9000015258789,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1965,35.9000015258789,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1966,34.5,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1967,42.2000007629395,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1968,28.8999996185303,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1969,28.2999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1970,40.2999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1971,32.2999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1972,37.2999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1973,27.8999996185303,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1974,42.5999984741211,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1975,51.4000015258789,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1976,30.3999996185303,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1977,24.5,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1978,61.5,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1979,22.3999996185303,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1980,34.5999984741211,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1981,34.7999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1982,28.8999996185303,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1983,56.7000007629395,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1984,40.0999984741211,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
1985,33.7999992370605,47.5108,19.0206,115,153,39.6000000165856,38.7122881910895,115.400001525879,115.400001525879,"Europe"
