"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max"
1961,94.6999969482422,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1962,117.300003051758,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1963,96.5,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1964,65.3000030517578,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1965,93.5,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1966,51.7999992370605,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1967,63.2999992370605,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1968,148.300003051758,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1969,69.9000015258789,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1970,82.8000030517578,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1971,66,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1972,95.5,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1973,175.300003051758,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1974,86.9000015258789,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1975,93,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1976,75.4000015258789,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1977,71.5999984741211,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1978,77.5,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1979,107.699996948242,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1980,85.3000030517578,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
