,Maximum value,Latitude,Longitude,M,Z
1951.0,16.799999237060547,49.25,119.7,62.0,650.0
1952.0,48.0,49.25,119.7,62.0,650.0
1953.0,36.599998474121094,49.25,119.7,62.0,650.0
1954.0,42.400001525878906,49.25,119.7,62.0,650.0
1955.0,26.899999618530273,49.25,119.7,62.0,650.0
1956.0,25.899999618530273,49.25,119.7,62.0,650.0
1957.0,29.600000381469727,49.25,119.7,62.0,650.0
1958.0,34.29999923706055,49.25,119.7,62.0,650.0
1959.0,18.100000381469727,49.25,119.7,62.0,650.0
1960.0,24.700000762939453,49.25,119.7,62.0,650.0
1961.0,49.400001525878906,49.25,119.7,62.0,650.0
1962.0,39.900001525878906,49.25,119.7,62.0,650.0
1963.0,22.899999618530273,49.25,119.7,62.0,650.0
1964.0,32.20000076293945,49.25,119.7,62.0,650.0
1965.0,41.400001525878906,49.25,119.7,62.0,650.0
1966.0,28.700000762939453,49.25,119.7,62.0,650.0
1967.0,43.599998474121094,49.25,119.7,62.0,650.0
1968.0,39.099998474121094,49.25,119.7,62.0,650.0
1969.0,34.20000076293945,49.25,119.7,62.0,650.0
1970.0,30.700000762939453,49.25,119.7,62.0,650.0
1971.0,39.400001525878906,49.25,119.7,62.0,650.0
1972.0,44.70000076293945,49.25,119.7,62.0,650.0
1973.0,37.900001525878906,49.25,119.7,62.0,650.0
1974.0,29.799999237060547,49.25,119.7,62.0,650.0
1975.0,23.0,49.25,119.7,62.0,650.0
1976.0,57.400001525878906,49.25,119.7,62.0,650.0
1977.0,38.0,49.25,119.7,62.0,650.0
1978.0,37.5,49.25,119.7,62.0,650.0
1979.0,46.0,49.25,119.7,62.0,650.0
1980.0,32.29999923706055,49.25,119.7,62.0,650.0
1981.0,28.299999237060547,49.25,119.7,62.0,650.0
1982.0,63.400001525878906,49.25,119.7,62.0,650.0
1983.0,26.899999618530273,49.25,119.7,62.0,650.0
1984.0,60.79999923706055,49.25,119.7,62.0,650.0
1985.0,34.70000076293945,49.25,119.7,62.0,650.0
1986.0,19.399999618530273,49.25,119.7,62.0,650.0
1987.0,30.100000381469727,49.25,119.7,62.0,650.0
1988.0,52.5,49.25,119.7,62.0,650.0
1989.0,40.099998474121094,49.25,119.7,62.0,650.0
1990.0,37.70000076293945,49.25,119.7,62.0,650.0
1991.0,24.200000762939453,49.25,119.7,62.0,650.0
1992.0,27.299999237060547,49.25,119.7,62.0,650.0
1993.0,28.5,49.25,119.7,62.0,650.0
1994.0,33.20000076293945,49.25,119.7,62.0,650.0
1995.0,21.299999237060547,49.25,119.7,62.0,650.0
1996.0,46.70000076293945,49.25,119.7,62.0,650.0
1997.0,31.299999237060547,49.25,119.7,62.0,650.0
1998.0,40.400001525878906,49.25,119.7,62.0,650.0
1999.0,20.799999237060547,49.25,119.7,62.0,650.0
2000.0,54.29999923706055,49.25,119.7,62.0,650.0
2001.0,29.700000762939453,49.25,119.7,62.0,650.0
2002.0,19.200000762939453,49.25,119.7,62.0,650.0
2003.0,30.0,49.25,119.7,62.0,650.0
2004.0,85.5,49.25,119.7,62.0,650.0
2005.0,29.200000762939453,49.25,119.7,62.0,650.0
2006.0,23.0,49.25,119.7,62.0,650.0
2007.0,26.600000381469727,49.25,119.7,62.0,650.0
2008.0,43.400001525878906,49.25,119.7,62.0,650.0
2009.0,49.400001525878906,49.25,119.7,62.0,650.0
2010.0,30.299999237060547,49.25,119.7,62.0,650.0
2011.0,37.29999923706055,49.25,119.7,62.0,650.0
2012.0,51.20000076293945,49.25,119.7,62.0,650.0
