"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max"
1901,121.900001525879,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1902,105.400001525879,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1903,135.100006103516,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1904,138.199996948242,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1905,75.9000015258789,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1906,124.5,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1907,59.9000015258789,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1908,156.199996948242,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1909,139.199996948242,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1910,72.4000015258789,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1911,99.0999984741211,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1912,61,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1913,102.400001525879,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1914,96.5,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1915,250.199996948242,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1916,91.4000015258789,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1917,80,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1918,99.5999984741211,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1919,102.900001525879,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1920,66,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1921,97.8000030517578,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1922,118.099998474121,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1923,123.199996948242,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1924,100.300003051758,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1925,157,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1926,85.0999984741211,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1927,89.4000015258789,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1928,61.5,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1929,105.400001525879,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1930,93.1999969482422,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1931,104.599998474121,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1932,52.0999984741211,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1933,74.4000015258789,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1934,91.6999969482422,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1935,40.9000015258789,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1936,96.3000030517578,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1937,112,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1938,113.800003051758,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1939,109,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1940,104.599998474121,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1941,121.400001525879,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1942,101.599998474121,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1943,86.0999984741211,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1944,62.5,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1945,55.9000015258789,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1946,109.5,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1947,311.700012207031,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1948,93.1999969482422,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1949,124,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1950,65,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1951,120.400001525879,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1952,130.300003051758,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1953,175.800003051758,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1954,56.9000015258789,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1955,93,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1956,73.4000015258789,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1957,122.199996948242,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1958,128.399993896484,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1959,90.5999984741211,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1961,103,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1962,95.5999984741211,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1963,98.1999969482422,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1964,111,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1965,153.399993896484,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1966,105,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1967,164.800003051758,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1968,71.8000030517578,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1969,102.800003051758,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1970,140.600006103516,26.867,80.933,69,111,106.902898816095,111.07582448603,311.700012207031,366
1901,79.1999969482422,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1902,201.399993896484,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1903,68.5999984741211,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1904,122.900001525879,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1905,123.400001525879,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1906,128.800003051758,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1907,149.399993896484,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1908,160.5,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1909,103.400001525879,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1910,131.800003051758,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1911,89.9000015258789,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1912,78.1999969482422,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1913,136.399993896484,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1914,165.399993896484,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1915,266.200012207031,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1916,187.199996948242,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1917,164.600006103516,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1918,366,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1919,89.9000015258789,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1920,102.599998474121,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1921,87.4000015258789,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1922,99.8000030517578,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1923,54.4000015258789,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1924,115.300003051758,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1925,42.2000007629395,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1926,109.699996948242,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1927,124.5,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1928,85.9000015258789,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1929,113,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1930,82.5999984741211,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1931,97.5,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1932,163.300003051758,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1933,83.8000030517578,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1934,70.5999984741211,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1935,138.399993896484,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1936,160.5,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1937,116.099998474121,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1938,90.9000015258789,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1939,85.0999984741211,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1940,151.600006103516,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1941,97.3000030517578,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1942,218.399993896484,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1943,51.7999992370605,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1944,73.1999969482422,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1945,132.600006103516,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1946,85.3000030517578,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1947,101.099998474121,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1948,160,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1949,134.600006103516,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1950,93.1999969482422,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1951,84.8000030517578,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1952,140.199996948242,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
