,Maximum value,Latitude,Longitude,M,Z
1959.0,33.900001525878906,67.5697,30.45,52.0,246.0
1961.0,33.599998474121094,67.5697,30.45,52.0,246.0
1962.0,12.899999618530273,67.5697,30.45,52.0,246.0
1963.0,44.099998474121094,67.5697,30.45,52.0,246.0
1964.0,45.0,67.5697,30.45,52.0,246.0
1965.0,29.200000762939453,67.5697,30.45,52.0,246.0
1966.0,26.5,67.5697,30.45,52.0,246.0
1967.0,15.5,67.5697,30.45,52.0,246.0
1968.0,24.399999618530273,67.5697,30.45,52.0,246.0
1969.0,31.5,67.5697,30.45,52.0,246.0
1970.0,32.400001525878906,67.5697,30.45,52.0,246.0
1971.0,56.5,67.5697,30.45,52.0,246.0
1972.0,43.79999923706055,67.5697,30.45,52.0,246.0
1973.0,42.400001525878906,67.5697,30.45,52.0,246.0
1974.0,23.600000381469727,67.5697,30.45,52.0,246.0
1975.0,16.700000762939453,67.5697,30.45,52.0,246.0
1976.0,35.5,67.5697,30.45,52.0,246.0
1978.0,27.899999618530273,67.5697,30.45,52.0,246.0
1979.0,26.600000381469727,67.5697,30.45,52.0,246.0
1980.0,48.5,67.5697,30.45,52.0,246.0
1981.0,34.29999923706055,67.5697,30.45,52.0,246.0
1982.0,19.700000762939453,67.5697,30.45,52.0,246.0
1983.0,37.20000076293945,67.5697,30.45,52.0,246.0
1984.0,48.5,67.5697,30.45,52.0,246.0
1985.0,17.399999618530273,67.5697,30.45,52.0,246.0
1986.0,31.200000762939453,67.5697,30.45,52.0,246.0
1987.0,30.899999618530273,67.5697,30.45,52.0,246.0
1988.0,22.299999237060547,67.5697,30.45,52.0,246.0
1989.0,53.79999923706055,67.5697,30.45,52.0,246.0
1990.0,30.799999237060547,67.5697,30.45,52.0,246.0
1992.0,25.700000762939453,67.5697,30.45,52.0,246.0
1993.0,16.299999237060547,67.5697,30.45,52.0,246.0
1994.0,18.700000762939453,67.5697,30.45,52.0,246.0
1995.0,31.399999618530273,67.5697,30.45,52.0,246.0
1996.0,26.5,67.5697,30.45,52.0,246.0
1997.0,25.899999618530273,67.5697,30.45,52.0,246.0
1998.0,19.700000762939453,67.5697,30.45,52.0,246.0
1999.0,54.400001525878906,67.5697,30.45,52.0,246.0
2000.0,41.400001525878906,67.5697,30.45,52.0,246.0
2001.0,23.299999237060547,67.5697,30.45,52.0,246.0
2002.0,29.700000762939453,67.5697,30.45,52.0,246.0
2003.0,20.799999237060547,67.5697,30.45,52.0,246.0
2004.0,39.29999923706055,67.5697,30.45,52.0,246.0
2005.0,24.799999237060547,67.5697,30.45,52.0,246.0
2006.0,17.0,67.5697,30.45,52.0,246.0
2007.0,53.0,67.5697,30.45,52.0,246.0
2008.0,53.79999923706055,67.5697,30.45,52.0,246.0
2009.0,26.899999618530273,67.5697,30.45,52.0,246.0
2010.0,44.0,67.5697,30.45,52.0,246.0
2011.0,46.5,67.5697,30.45,52.0,246.0
2012.0,31.100000381469727,67.5697,30.45,52.0,246.0
2013.0,26.0,67.5697,30.45,52.0,246.0
