,Maximum value,Latitude,Longitude,M,Z
1901.0,121.9000015258789,26.867,80.933,69.0,111.0
1902.0,105.4000015258789,26.867,80.933,69.0,111.0
1903.0,135.10000610351562,26.867,80.933,69.0,111.0
1904.0,138.1999969482422,26.867,80.933,69.0,111.0
1905.0,75.9000015258789,26.867,80.933,69.0,111.0
1906.0,124.5,26.867,80.933,69.0,111.0
1907.0,59.900001525878906,26.867,80.933,69.0,111.0
1908.0,156.1999969482422,26.867,80.933,69.0,111.0
1909.0,139.1999969482422,26.867,80.933,69.0,111.0
1910.0,72.4000015258789,26.867,80.933,69.0,111.0
1911.0,99.0999984741211,26.867,80.933,69.0,111.0
1912.0,61.0,26.867,80.933,69.0,111.0
1913.0,102.4000015258789,26.867,80.933,69.0,111.0
1914.0,96.5,26.867,80.933,69.0,111.0
1915.0,250.1999969482422,26.867,80.933,69.0,111.0
1916.0,91.4000015258789,26.867,80.933,69.0,111.0
1917.0,80.0,26.867,80.933,69.0,111.0
1918.0,99.5999984741211,26.867,80.933,69.0,111.0
1919.0,102.9000015258789,26.867,80.933,69.0,111.0
1920.0,66.0,26.867,80.933,69.0,111.0
1921.0,97.80000305175781,26.867,80.933,69.0,111.0
1922.0,118.0999984741211,26.867,80.933,69.0,111.0
1923.0,123.19999694824219,26.867,80.933,69.0,111.0
1924.0,100.30000305175781,26.867,80.933,69.0,111.0
1925.0,157.0,26.867,80.933,69.0,111.0
1926.0,85.0999984741211,26.867,80.933,69.0,111.0
1927.0,89.4000015258789,26.867,80.933,69.0,111.0
1928.0,61.5,26.867,80.933,69.0,111.0
1929.0,105.4000015258789,26.867,80.933,69.0,111.0
1930.0,93.19999694824219,26.867,80.933,69.0,111.0
1931.0,104.5999984741211,26.867,80.933,69.0,111.0
1932.0,52.099998474121094,26.867,80.933,69.0,111.0
1933.0,74.4000015258789,26.867,80.933,69.0,111.0
1934.0,91.69999694824219,26.867,80.933,69.0,111.0
1935.0,40.900001525878906,26.867,80.933,69.0,111.0
1936.0,96.30000305175781,26.867,80.933,69.0,111.0
1937.0,112.0,26.867,80.933,69.0,111.0
1938.0,113.80000305175781,26.867,80.933,69.0,111.0
1939.0,109.0,26.867,80.933,69.0,111.0
1940.0,104.5999984741211,26.867,80.933,69.0,111.0
1941.0,121.4000015258789,26.867,80.933,69.0,111.0
1942.0,101.5999984741211,26.867,80.933,69.0,111.0
1943.0,86.0999984741211,26.867,80.933,69.0,111.0
1944.0,62.5,26.867,80.933,69.0,111.0
1945.0,55.900001525878906,26.867,80.933,69.0,111.0
1946.0,109.5,26.867,80.933,69.0,111.0
1947.0,311.70001220703125,26.867,80.933,69.0,111.0
1948.0,93.19999694824219,26.867,80.933,69.0,111.0
1949.0,124.0,26.867,80.933,69.0,111.0
1950.0,65.0,26.867,80.933,69.0,111.0
1951.0,120.4000015258789,26.867,80.933,69.0,111.0
1952.0,130.3000030517578,26.867,80.933,69.0,111.0
1953.0,175.8000030517578,26.867,80.933,69.0,111.0
1954.0,56.900001525878906,26.867,80.933,69.0,111.0
1955.0,93.0,26.867,80.933,69.0,111.0
1956.0,73.4000015258789,26.867,80.933,69.0,111.0
1957.0,122.19999694824219,26.867,80.933,69.0,111.0
1958.0,128.39999389648438,26.867,80.933,69.0,111.0
1959.0,90.5999984741211,26.867,80.933,69.0,111.0
1961.0,103.0,26.867,80.933,69.0,111.0
1962.0,95.5999984741211,26.867,80.933,69.0,111.0
1963.0,98.19999694824219,26.867,80.933,69.0,111.0
1964.0,111.0,26.867,80.933,69.0,111.0
1965.0,153.39999389648438,26.867,80.933,69.0,111.0
1966.0,105.0,26.867,80.933,69.0,111.0
1967.0,164.8000030517578,26.867,80.933,69.0,111.0
1968.0,71.80000305175781,26.867,80.933,69.0,111.0
1969.0,102.80000305175781,26.867,80.933,69.0,111.0
1970.0,140.60000610351562,26.867,80.933,69.0,111.0
