"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max","Area"
1951,74.4000015258789,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1952,26.3999996185303,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1953,47.4000015258789,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1954,17.2000007629395,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1955,33.5999984741211,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1956,47.7000007629395,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1957,47.2000007629395,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1958,33.4000015258789,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1959,61.7999992370605,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1960,32,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1961,70.1999969482422,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1962,27.3999996185303,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1963,37.5999984741211,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1964,102.400001525879,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1965,52.7000007629395,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1966,33.7999992370605,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1967,32.5999984741211,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1968,65.4000015258789,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1969,32.2000007629395,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1970,15.3999996185303,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1971,78.4000015258789,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1972,51,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1973,36,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1974,109.599998474121,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1975,56.7999992370605,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1976,62,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1977,41,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1978,34.0999984741211,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1979,50.4000015258789,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1980,27,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1981,16.7999992370605,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1982,80.5999984741211,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1983,31.2000007629395,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1984,23.7999992370605,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1985,79.1999969482422,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1986,20.3999996185303,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1987,79.4000015258789,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1988,41.2000007629395,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1989,22,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1990,32.2000007629395,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1991,40.5999984741211,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1992,33.2000007629395,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1993,101.400001525879,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1994,21,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1995,24.2000007629395,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1996,49.5999984741211,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1997,57.5999984741211,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1998,19.7999992370605,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1999,32.4000015258789,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2000,33.7999992370605,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2001,13.6000003814697,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2002,25.3999996185303,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2003,34.5999984741211,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2004,34.7999992370605,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2005,40.5999984741211,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2006,41.7999992370605,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2007,26,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2008,29.6000003814697,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2009,52.7999992370605,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2010,47,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2011,35.0999984741211,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2012,34.7999992370605,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2018,88.9000015258789,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
2019,36.0999984741211,39.2331,9.05,64,21,44.0406248271465,48.3039568482543,109.599998474121,116.5,"Mediterranean area"
1879,56,36.63,4.2,53,942,65.2773585049611,48.3039568482543,113,116.5,"Mediterranean area"
1880,44,36.63,4.2,53,942,65.2773585049611,48.3039568482543,113,116.5,"Mediterranean area"
1881,41,36.63,4.2,53,942,65.2773585049611,48.3039568482543,113,116.5,"Mediterranean area"
1882,60.5999984741211,36.63,4.2,53,942,65.2773585049611,48.3039568482543,113,116.5,"Mediterranean area"
1883,52.7999992370605,36.63,4.2,53,942,65.2773585049611,48.3039568482543,113,116.5,"Mediterranean area"
1884,62.4000015258789,36.63,4.2,53,942,65.2773585049611,48.3039568482543,113,116.5,"Mediterranean area"
1885,38.2000007629395,36.63,4.2,53,942,65.2773585049611,48.3039568482543,113,116.5,"Mediterranean area"
