,Maximum value,Latitude,Longitude,M,Z
1856.0,73.19999694824219,-37.8075,144.97,155.0,31.2
1857.0,56.599998474121094,-37.8075,144.97,155.0,31.2
1858.0,44.5,-37.8075,144.97,155.0,31.2
1859.0,30.0,-37.8075,144.97,155.0,31.2
1860.0,58.70000076293945,-37.8075,144.97,155.0,31.2
1861.0,69.0999984741211,-37.8075,144.97,155.0,31.2
1862.0,37.599998474121094,-37.8075,144.97,155.0,31.2
1863.0,46.5,-37.8075,144.97,155.0,31.2
1864.0,36.29999923706055,-37.8075,144.97,155.0,31.2
1865.0,18.5,-37.8075,144.97,155.0,31.2
1866.0,34.5,-37.8075,144.97,155.0,31.2
1867.0,38.599998474121094,-37.8075,144.97,155.0,31.2
1868.0,31.799999237060547,-37.8075,144.97,155.0,31.2
1869.0,59.900001525878906,-37.8075,144.97,155.0,31.2
1870.0,43.70000076293945,-37.8075,144.97,155.0,31.2
1871.0,34.0,-37.8075,144.97,155.0,31.2
1872.0,41.900001525878906,-37.8075,144.97,155.0,31.2
1873.0,32.29999923706055,-37.8075,144.97,155.0,31.2
1874.0,29.200000762939453,-37.8075,144.97,155.0,31.2
1875.0,41.099998474121094,-37.8075,144.97,155.0,31.2
1876.0,50.0,-37.8075,144.97,155.0,31.2
1877.0,50.5,-37.8075,144.97,155.0,31.2
1878.0,73.4000015258789,-37.8075,144.97,155.0,31.2
1879.0,22.600000381469727,-37.8075,144.97,155.0,31.2
1880.0,45.20000076293945,-37.8075,144.97,155.0,31.2
1881.0,54.400001525878906,-37.8075,144.97,155.0,31.2
1882.0,56.900001525878906,-37.8075,144.97,155.0,31.2
1883.0,48.0,-37.8075,144.97,155.0,31.2
1884.0,51.79999923706055,-37.8075,144.97,155.0,31.2
1885.0,37.099998474121094,-37.8075,144.97,155.0,31.2
1886.0,51.29999923706055,-37.8075,144.97,155.0,31.2
1887.0,57.400001525878906,-37.8075,144.97,155.0,31.2
1888.0,34.0,-37.8075,144.97,155.0,31.2
1889.0,70.0999984741211,-37.8075,144.97,155.0,31.2
1890.0,43.400001525878906,-37.8075,144.97,155.0,31.2
1891.0,74.4000015258789,-37.8075,144.97,155.0,31.2
1892.0,39.900001525878906,-37.8075,144.97,155.0,31.2
1893.0,38.099998474121094,-37.8075,144.97,155.0,31.2
1894.0,24.399999618530273,-37.8075,144.97,155.0,31.2
1895.0,43.70000076293945,-37.8075,144.97,155.0,31.2
1896.0,37.29999923706055,-37.8075,144.97,155.0,31.2
1897.0,75.4000015258789,-37.8075,144.97,155.0,31.2
1898.0,21.299999237060547,-37.8075,144.97,155.0,31.2
1899.0,36.29999923706055,-37.8075,144.97,155.0,31.2
