"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max"
1937,23.7000007629395,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1938,30,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1939,35.9000015258789,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1940,21.6000003814697,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1941,17.7999992370605,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1942,39.4000015258789,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1945,29.2000007629395,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1946,29.2999992370605,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1947,20.3999996185303,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1948,13.6999998092651,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1949,25.5,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1950,11.5,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1951,26.5,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1952,32.2000007629395,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1953,35.5,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1954,36.5999984741211,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1955,18.6000003814697,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1956,62,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1957,21.6000003814697,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1958,33.7000007629395,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1959,28.2999992370605,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1960,22.2999992370605,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1961,30.7000007629395,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1962,42,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1963,45.7999992370605,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1964,21.6000003814697,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1965,21.7000007629395,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1967,28.7999992370605,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1968,36.5,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1969,23.7000007629395,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1970,41.2000007629395,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1971,15.6999998092651,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1972,22.7000007629395,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1973,35,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1974,22.7999992370605,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1975,43.2000007629395,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1977,39.2999992370605,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1978,33,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1979,26.1000003814697,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1980,32.9000015258789,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1981,40.0999984741211,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1982,37.2000007629395,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1983,34.4000015258789,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1984,51.5999984741211,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1985,23.6000003814697,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1986,20.3999996185303,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1987,31.2000007629395,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1988,44,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1989,35,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1990,26.3999996185303,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
1991,28,39.467,48.55,51,3,30.3901961831486,45.886037812143,62,116.5
