"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Area","Singular_max","Overall_max"
1900,51.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1901,37.2999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1902,83.8000030517578,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1903,43.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1904,96.3000030517578,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1905,61.2000007629395,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1906,63.5,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1907,67.0999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1908,101.599998474121,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1909,99.0999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1910,74.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1911,64.8000030517578,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1912,40.0999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1913,54.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1914,120.699996948242,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1915,53.7999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1916,71.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1917,66,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1918,57.2000007629395,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1919,46,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1920,165.600006103516,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1921,58.4000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1922,59.4000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1923,67.0999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1924,68.8000030517578,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1925,58.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1926,47.5,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1927,88.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
