,Maximum value,Latitude,Longitude,M,Z
1939.0,58.0,-22.42,-49.13,54.0,530.0
1940.0,80.4000015258789,-22.42,-49.13,54.0,530.0
1941.0,116.5999984741211,-22.42,-49.13,54.0,530.0
1942.0,71.0,-22.42,-49.13,54.0,530.0
1943.0,80.0,-22.42,-49.13,54.0,530.0
1944.0,64.0,-22.42,-49.13,54.0,530.0
1945.0,98.0,-22.42,-49.13,54.0,530.0
1946.0,83.0,-22.42,-49.13,54.0,530.0
1947.0,80.0,-22.42,-49.13,54.0,530.0
1949.0,70.5999984741211,-22.42,-49.13,54.0,530.0
1950.0,121.0999984741211,-22.42,-49.13,54.0,530.0
1951.0,56.5,-22.42,-49.13,54.0,530.0
1952.0,64.5999984741211,-22.42,-49.13,54.0,530.0
1953.0,96.5,-22.42,-49.13,54.0,530.0
1954.0,94.5,-22.42,-49.13,54.0,530.0
1955.0,60.29999923706055,-22.42,-49.13,54.0,530.0
1956.0,57.5,-22.42,-49.13,54.0,530.0
1957.0,53.29999923706055,-22.42,-49.13,54.0,530.0
1958.0,66.30000305175781,-22.42,-49.13,54.0,530.0
1959.0,60.5,-22.42,-49.13,54.0,530.0
1960.0,55.20000076293945,-22.42,-49.13,54.0,530.0
1961.0,60.29999923706055,-22.42,-49.13,54.0,530.0
1962.0,58.29999923706055,-22.42,-49.13,54.0,530.0
1963.0,70.0,-22.42,-49.13,54.0,530.0
1964.0,56.0,-22.42,-49.13,54.0,530.0
1965.0,87.0999984741211,-22.42,-49.13,54.0,530.0
1966.0,223.0,-22.42,-49.13,54.0,530.0
1967.0,61.5,-22.42,-49.13,54.0,530.0
1968.0,61.0,-22.42,-49.13,54.0,530.0
1969.0,80.30000305175781,-22.42,-49.13,54.0,530.0
1970.0,73.5999984741211,-22.42,-49.13,54.0,530.0
1971.0,58.70000076293945,-22.42,-49.13,54.0,530.0
1972.0,121.5,-22.42,-49.13,54.0,530.0
1973.0,85.19999694824219,-22.42,-49.13,54.0,530.0
1974.0,148.5,-22.42,-49.13,54.0,530.0
1976.0,70.9000015258789,-22.42,-49.13,54.0,530.0
1977.0,106.4000015258789,-22.42,-49.13,54.0,530.0
1978.0,97.4000015258789,-22.42,-49.13,54.0,530.0
1979.0,77.80000305175781,-22.42,-49.13,54.0,530.0
1980.0,70.5999984741211,-22.42,-49.13,54.0,530.0
1981.0,70.69999694824219,-22.42,-49.13,54.0,530.0
1982.0,61.099998474121094,-22.42,-49.13,54.0,530.0
1983.0,99.5,-22.42,-49.13,54.0,530.0
1984.0,75.19999694824219,-22.42,-49.13,54.0,530.0
1985.0,82.5999984741211,-22.42,-49.13,54.0,530.0
1986.0,105.80000305175781,-22.42,-49.13,54.0,530.0
1987.0,82.5999984741211,-22.42,-49.13,54.0,530.0
1988.0,49.70000076293945,-22.42,-49.13,54.0,530.0
1989.0,94.30000305175781,-22.42,-49.13,54.0,530.0
1990.0,96.80000305175781,-22.42,-49.13,54.0,530.0
1991.0,68.4000015258789,-22.42,-49.13,54.0,530.0
1992.0,98.5999984741211,-22.42,-49.13,54.0,530.0
1993.0,81.19999694824219,-22.42,-49.13,54.0,530.0
1995.0,98.80000305175781,-22.42,-49.13,54.0,530.0
