"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max","Area"
1911,62.2000007629395,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1912,28.2000007629395,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1913,36.2999992370605,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1914,80,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1915,55.4000015258789,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1916,31.7999992370605,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1917,53.5999984741211,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1918,58.2000007629395,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1919,35.7999992370605,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1920,83.5999984741211,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1921,48.7999992370605,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1922,32.2999992370605,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1923,108,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1924,58.4000015258789,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1925,53.2999992370605,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1926,64,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1927,35.5999984741211,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1928,35.5999984741211,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1929,34.2999992370605,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1931,80.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1932,38.0999984741211,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1933,43.2000007629395,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1934,47.7999992370605,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1935,33,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1936,43.2000007629395,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1937,45.7000007629395,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1938,43.2000007629395,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1939,48.7999992370605,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1940,60.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1941,43.2000007629395,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1942,56.5999984741211,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1943,53.0999984741211,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1944,104.900001525879,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1945,43.9000015258789,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1946,79.1999969482422,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1947,38.5999984741211,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1948,63.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1949,45,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1950,50.7999992370605,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1951,47.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1952,81,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1953,57.7000007629395,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1954,32.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1955,53.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1956,102.199996948242,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1957,48,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1958,61.0999984741211,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1959,99.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1960,58,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1961,34,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1962,51.7000007629395,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1963,52,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1964,90.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1965,53,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1966,43,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1967,127,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1968,39.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1969,45,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1970,41.2999992370605,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1971,33,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1972,55,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1973,68,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1974,54.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1975,59,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1976,102,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1977,45.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1978,55,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1979,34,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1980,31,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1981,58,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1982,49.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1983,57,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1984,46.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1985,35.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1986,55,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
