"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max"
1933,60,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1935,74.5,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1936,48.5,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1937,82.5,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1938,77.6999969482422,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1940,90.5999984741211,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1941,42.7000007629395,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1942,44.7999992370605,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1943,84,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1944,52,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1945,41.9000015258789,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1946,56,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1948,68.5999984741211,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1949,97.0999984741211,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1950,71.1999969482422,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1951,43.5,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1952,85.5,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1953,28.8999996185303,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1954,52.5,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1955,57.7999992370605,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1956,37.5,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1957,66.4000015258789,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1959,120.099998474121,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1960,79.3000030517578,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1961,80.0999984741211,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1962,61.5,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1963,89.0999984741211,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1964,80.1999969482422,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1965,40.2000007629395,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1966,50.4000015258789,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1967,72.5,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
