,Maximum value,Latitude,Longitude,M,Z
1942.0,100.80000305175781,47.6167,-52.75,69.0,141.0
1943.0,50.79999923706055,47.6167,-52.75,69.0,141.0
1944.0,87.0999984741211,47.6167,-52.75,69.0,141.0
1945.0,75.19999694824219,47.6167,-52.75,69.0,141.0
1946.0,121.19999694824219,47.6167,-52.75,69.0,141.0
1947.0,44.70000076293945,47.6167,-52.75,69.0,141.0
1948.0,60.70000076293945,47.6167,-52.75,69.0,141.0
1949.0,56.099998474121094,47.6167,-52.75,69.0,141.0
1950.0,68.30000305175781,47.6167,-52.75,69.0,141.0
1951.0,91.69999694824219,47.6167,-52.75,69.0,141.0
1952.0,66.0,47.6167,-52.75,69.0,141.0
1953.0,92.5,47.6167,-52.75,69.0,141.0
1954.0,62.0,47.6167,-52.75,69.0,141.0
1955.0,64.0,47.6167,-52.75,69.0,141.0
1956.0,64.0,47.6167,-52.75,69.0,141.0
1957.0,45.0,47.6167,-52.75,69.0,141.0
1958.0,61.5,47.6167,-52.75,69.0,141.0
1959.0,58.70000076293945,47.6167,-52.75,69.0,141.0
1960.0,64.30000305175781,47.6167,-52.75,69.0,141.0
1961.0,51.099998474121094,47.6167,-52.75,69.0,141.0
1962.0,53.29999923706055,47.6167,-52.75,69.0,141.0
1963.0,56.400001525878906,47.6167,-52.75,69.0,141.0
1964.0,76.5,47.6167,-52.75,69.0,141.0
1965.0,41.400001525878906,47.6167,-52.75,69.0,141.0
1966.0,65.5,47.6167,-52.75,69.0,141.0
1967.0,48.5,47.6167,-52.75,69.0,141.0
1968.0,55.400001525878906,47.6167,-52.75,69.0,141.0
1969.0,46.5,47.6167,-52.75,69.0,141.0
1970.0,73.4000015258789,47.6167,-52.75,69.0,141.0
1971.0,60.20000076293945,47.6167,-52.75,69.0,141.0
1972.0,70.0999984741211,47.6167,-52.75,69.0,141.0
1973.0,68.30000305175781,47.6167,-52.75,69.0,141.0
1974.0,62.70000076293945,47.6167,-52.75,69.0,141.0
1975.0,80.5,47.6167,-52.75,69.0,141.0
1976.0,51.29999923706055,47.6167,-52.75,69.0,141.0
1977.0,42.400001525878906,47.6167,-52.75,69.0,141.0
1978.0,43.0,47.6167,-52.75,69.0,141.0
1979.0,47.599998474121094,47.6167,-52.75,69.0,141.0
1980.0,63.0,47.6167,-52.75,69.0,141.0
1981.0,82.5999984741211,47.6167,-52.75,69.0,141.0
1982.0,84.0,47.6167,-52.75,69.0,141.0
1983.0,52.79999923706055,47.6167,-52.75,69.0,141.0
1984.0,74.9000015258789,47.6167,-52.75,69.0,141.0
1985.0,52.20000076293945,47.6167,-52.75,69.0,141.0
1986.0,70.5999984741211,47.6167,-52.75,69.0,141.0
1987.0,46.79999923706055,47.6167,-52.75,69.0,141.0
1988.0,47.79999923706055,47.6167,-52.75,69.0,141.0
1989.0,52.0,47.6167,-52.75,69.0,141.0
1990.0,60.599998474121094,47.6167,-52.75,69.0,141.0
1991.0,51.79999923706055,47.6167,-52.75,69.0,141.0
1992.0,48.20000076293945,47.6167,-52.75,69.0,141.0
1994.0,69.5,47.6167,-52.75,69.0,141.0
1995.0,58.70000076293945,47.6167,-52.75,69.0,141.0
1996.0,47.70000076293945,47.6167,-52.75,69.0,141.0
1997.0,66.80000305175781,47.6167,-52.75,69.0,141.0
1998.0,83.0999984741211,47.6167,-52.75,69.0,141.0
1999.0,72.9000015258789,47.6167,-52.75,69.0,141.0
2000.0,72.0,47.6167,-52.75,69.0,141.0
2001.0,99.4000015258789,47.6167,-52.75,69.0,141.0
2002.0,71.80000305175781,47.6167,-52.75,69.0,141.0
2003.0,45.20000076293945,47.6167,-52.75,69.0,141.0
2004.0,64.30000305175781,47.6167,-52.75,69.0,141.0
2005.0,73.4000015258789,47.6167,-52.75,69.0,141.0
2006.0,54.0,47.6167,-52.75,69.0,141.0
2007.0,77.80000305175781,47.6167,-52.75,69.0,141.0
2008.0,97.19999694824219,47.6167,-52.75,69.0,141.0
2009.0,53.20000076293945,47.6167,-52.75,69.0,141.0
2010.0,73.0,47.6167,-52.75,69.0,141.0
2011.0,64.4000015258789,47.6167,-52.75,69.0,141.0
