,Maximum value,Latitude,Longitude,M,Z
1905.0,163.3000030517578,42.45,-71.0833,67.0,52.1
1907.0,83.80000305175781,42.45,-71.0833,67.0,52.1
1908.0,53.599998474121094,42.45,-71.0833,67.0,52.1
1909.0,88.9000015258789,42.45,-71.0833,67.0,52.1
1910.0,44.20000076293945,42.45,-71.0833,67.0,52.1
1911.0,91.69999694824219,42.45,-71.0833,67.0,52.1
1912.0,49.0,42.45,-71.0833,67.0,52.1
1913.0,43.400001525878906,42.45,-71.0833,67.0,52.1
1916.0,42.900001525878906,42.45,-71.0833,67.0,52.1
1917.0,62.20000076293945,42.45,-71.0833,67.0,52.1
1918.0,63.79999923706055,42.45,-71.0833,67.0,52.1
1919.0,48.0,42.45,-71.0833,67.0,52.1
1920.0,62.5,42.45,-71.0833,67.0,52.1
1921.0,53.29999923706055,42.45,-71.0833,67.0,52.1
1922.0,78.19999694824219,42.45,-71.0833,67.0,52.1
1923.0,59.70000076293945,42.45,-71.0833,67.0,52.1
1924.0,110.69999694824219,42.45,-71.0833,67.0,52.1
1925.0,45.0,42.45,-71.0833,67.0,52.1
1926.0,60.5,42.45,-71.0833,67.0,52.1
1927.0,47.0,42.45,-71.0833,67.0,52.1
1928.0,61.0,42.45,-71.0833,67.0,52.1
1929.0,73.19999694824219,42.45,-71.0833,67.0,52.1
1931.0,99.0999984741211,42.45,-71.0833,67.0,52.1
1932.0,106.19999694824219,42.45,-71.0833,67.0,52.1
1933.0,76.19999694824219,42.45,-71.0833,67.0,52.1
1934.0,64.30000305175781,42.45,-71.0833,67.0,52.1
1935.0,75.69999694824219,42.45,-71.0833,67.0,52.1
1936.0,75.19999694824219,42.45,-71.0833,67.0,52.1
1937.0,84.30000305175781,42.45,-71.0833,67.0,52.1
1938.0,86.5999984741211,42.45,-71.0833,67.0,52.1
1939.0,63.79999923706055,42.45,-71.0833,67.0,52.1
1940.0,62.20000076293945,42.45,-71.0833,67.0,52.1
1941.0,63.5,42.45,-71.0833,67.0,52.1
1942.0,51.29999923706055,42.45,-71.0833,67.0,52.1
1943.0,57.900001525878906,42.45,-71.0833,67.0,52.1
1944.0,93.69999694824219,42.45,-71.0833,67.0,52.1
1945.0,82.5999984741211,42.45,-71.0833,67.0,52.1
1946.0,69.0999984741211,42.45,-71.0833,67.0,52.1
1947.0,103.9000015258789,42.45,-71.0833,67.0,52.1
1948.0,49.5,42.45,-71.0833,67.0,52.1
1949.0,100.0999984741211,42.45,-71.0833,67.0,52.1
1950.0,96.5,42.45,-71.0833,67.0,52.1
1951.0,58.900001525878906,42.45,-71.0833,67.0,52.1
1952.0,44.5,42.45,-71.0833,67.0,52.1
1953.0,72.9000015258789,42.45,-71.0833,67.0,52.1
1954.0,188.0,42.45,-71.0833,67.0,52.1
1955.0,252.0,42.45,-71.0833,67.0,52.1
1956.0,54.599998474121094,42.45,-71.0833,67.0,52.1
1957.0,53.599998474121094,42.45,-71.0833,67.0,52.1
1958.0,74.4000015258789,42.45,-71.0833,67.0,52.1
1959.0,54.900001525878906,42.45,-71.0833,67.0,52.1
1960.0,64.80000305175781,42.45,-71.0833,67.0,52.1
1961.0,64.0,42.45,-71.0833,67.0,52.1
1962.0,173.1999969482422,42.45,-71.0833,67.0,52.1
1963.0,75.69999694824219,42.45,-71.0833,67.0,52.1
1964.0,52.79999923706055,42.45,-71.0833,67.0,52.1
1965.0,62.70000076293945,42.45,-71.0833,67.0,52.1
1966.0,57.70000076293945,42.45,-71.0833,67.0,52.1
1967.0,88.9000015258789,42.45,-71.0833,67.0,52.1
1968.0,55.900001525878906,42.45,-71.0833,67.0,52.1
1969.0,102.4000015258789,42.45,-71.0833,67.0,52.1
1970.0,54.599998474121094,42.45,-71.0833,67.0,52.1
1971.0,53.29999923706055,42.45,-71.0833,67.0,52.1
1972.0,90.19999694824219,42.45,-71.0833,67.0,52.1
1974.0,53.599998474121094,42.45,-71.0833,67.0,52.1
1975.0,53.29999923706055,42.45,-71.0833,67.0,52.1
1976.0,54.599998474121094,42.45,-71.0833,67.0,52.1
