,Maximum value,Latitude,Longitude,M,Z
1924.0,35.79999923706055,48.5492,7.6403,91.0,150.0
1925.0,41.900001525878906,48.5492,7.6403,91.0,150.0
1926.0,40.79999923706055,48.5492,7.6403,91.0,150.0
1927.0,58.400001525878906,48.5492,7.6403,91.0,150.0
1928.0,27.799999237060547,48.5492,7.6403,91.0,150.0
1929.0,31.200000762939453,48.5492,7.6403,91.0,150.0
1930.0,32.70000076293945,48.5492,7.6403,91.0,150.0
1931.0,33.900001525878906,48.5492,7.6403,91.0,150.0
1932.0,43.0,48.5492,7.6403,91.0,150.0
1933.0,15.899999618530273,48.5492,7.6403,91.0,150.0
1934.0,25.600000381469727,48.5492,7.6403,91.0,150.0
1935.0,65.5999984741211,48.5492,7.6403,91.0,150.0
1936.0,48.29999923706055,48.5492,7.6403,91.0,150.0
1937.0,34.0,48.5492,7.6403,91.0,150.0
1938.0,40.0,48.5492,7.6403,91.0,150.0
1942.0,39.900001525878906,48.5492,7.6403,91.0,150.0
1943.0,22.799999237060547,48.5492,7.6403,91.0,150.0
1946.0,32.5,48.5492,7.6403,91.0,150.0
1947.0,22.600000381469727,48.5492,7.6403,91.0,150.0
1948.0,46.099998474121094,48.5492,7.6403,91.0,150.0
1949.0,19.0,48.5492,7.6403,91.0,150.0
1950.0,27.899999618530273,48.5492,7.6403,91.0,150.0
1951.0,26.100000381469727,48.5492,7.6403,91.0,150.0
1952.0,26.200000762939453,48.5492,7.6403,91.0,150.0
1953.0,53.29999923706055,48.5492,7.6403,91.0,150.0
1954.0,26.600000381469727,48.5492,7.6403,91.0,150.0
1955.0,36.20000076293945,48.5492,7.6403,91.0,150.0
1956.0,44.20000076293945,48.5492,7.6403,91.0,150.0
1957.0,15.600000381469727,48.5492,7.6403,91.0,150.0
1958.0,36.0,48.5492,7.6403,91.0,150.0
1959.0,29.100000381469727,48.5492,7.6403,91.0,150.0
1960.0,27.200000762939453,48.5492,7.6403,91.0,150.0
1961.0,25.5,48.5492,7.6403,91.0,150.0
1962.0,19.100000381469727,48.5492,7.6403,91.0,150.0
1963.0,22.600000381469727,48.5492,7.6403,91.0,150.0
1964.0,19.700000762939453,48.5492,7.6403,91.0,150.0
1965.0,23.299999237060547,48.5492,7.6403,91.0,150.0
1966.0,26.0,48.5492,7.6403,91.0,150.0
1967.0,25.5,48.5492,7.6403,91.0,150.0
1968.0,36.70000076293945,48.5492,7.6403,91.0,150.0
1969.0,27.200000762939453,48.5492,7.6403,91.0,150.0
1970.0,34.70000076293945,48.5492,7.6403,91.0,150.0
1971.0,28.600000381469727,48.5492,7.6403,91.0,150.0
1972.0,30.700000762939453,48.5492,7.6403,91.0,150.0
1973.0,26.700000762939453,48.5492,7.6403,91.0,150.0
1974.0,24.399999618530273,48.5492,7.6403,91.0,150.0
1975.0,55.70000076293945,48.5492,7.6403,91.0,150.0
1976.0,26.299999237060547,48.5492,7.6403,91.0,150.0
1977.0,21.600000381469727,48.5492,7.6403,91.0,150.0
1978.0,62.900001525878906,48.5492,7.6403,91.0,150.0
1979.0,32.29999923706055,48.5492,7.6403,91.0,150.0
1980.0,48.400001525878906,48.5492,7.6403,91.0,150.0
1981.0,42.20000076293945,48.5492,7.6403,91.0,150.0
1982.0,37.79999923706055,48.5492,7.6403,91.0,150.0
1983.0,39.5,48.5492,7.6403,91.0,150.0
1984.0,38.70000076293945,48.5492,7.6403,91.0,150.0
1985.0,30.399999618530273,48.5492,7.6403,91.0,150.0
1986.0,56.599998474121094,48.5492,7.6403,91.0,150.0
1987.0,35.20000076293945,48.5492,7.6403,91.0,150.0
1988.0,31.399999618530273,48.5492,7.6403,91.0,150.0
1989.0,33.400001525878906,48.5492,7.6403,91.0,150.0
1990.0,53.599998474121094,48.5492,7.6403,91.0,150.0
1991.0,39.599998474121094,48.5492,7.6403,91.0,150.0
1992.0,23.600000381469727,48.5492,7.6403,91.0,150.0
1993.0,22.200000762939453,48.5492,7.6403,91.0,150.0
1994.0,42.20000076293945,48.5492,7.6403,91.0,150.0
1995.0,33.20000076293945,48.5492,7.6403,91.0,150.0
1996.0,37.20000076293945,48.5492,7.6403,91.0,150.0
1997.0,27.200000762939453,48.5492,7.6403,91.0,150.0
1998.0,20.600000381469727,48.5492,7.6403,91.0,150.0
1999.0,27.399999618530273,48.5492,7.6403,91.0,150.0
2000.0,32.0,48.5492,7.6403,91.0,150.0
2001.0,25.0,48.5492,7.6403,91.0,150.0
2002.0,40.599998474121094,48.5492,7.6403,91.0,150.0
2003.0,34.79999923706055,48.5492,7.6403,91.0,150.0
2004.0,38.599998474121094,48.5492,7.6403,91.0,150.0
2005.0,22.600000381469727,48.5492,7.6403,91.0,150.0
2006.0,44.599998474121094,48.5492,7.6403,91.0,150.0
2007.0,30.200000762939453,48.5492,7.6403,91.0,150.0
2008.0,24.600000381469727,48.5492,7.6403,91.0,150.0
2009.0,27.799999237060547,48.5492,7.6403,91.0,150.0
2010.0,28.5,48.5492,7.6403,91.0,150.0
2011.0,34.5,48.5492,7.6403,91.0,150.0
2012.0,20.700000762939453,48.5492,7.6403,91.0,150.0
2013.0,25.399999618530273,48.5492,7.6403,91.0,150.0
2014.0,66.30000305175781,48.5492,7.6403,91.0,150.0
2015.0,40.400001525878906,48.5492,7.6403,91.0,150.0
2016.0,36.099998474121094,48.5492,7.6403,91.0,150.0
2017.0,27.700000762939453,48.5492,7.6403,91.0,150.0
2018.0,52.29999923706055,48.5492,7.6403,91.0,150.0
2019.0,43.900001525878906,48.5492,7.6403,91.0,150.0
