,Maximum value,Latitude,Longitude,M,Z
1901.0,65.80000305175781,10.53,79.65,69.0,11.0
1902.0,93.0,10.53,79.65,69.0,11.0
1903.0,256.5,10.53,79.65,69.0,11.0
1904.0,73.19999694824219,10.53,79.65,69.0,11.0
1905.0,75.4000015258789,10.53,79.65,69.0,11.0
1906.0,222.3000030517578,10.53,79.65,69.0,11.0
1907.0,82.5999984741211,10.53,79.65,69.0,11.0
1908.0,103.0999984741211,10.53,79.65,69.0,11.0
1909.0,53.29999923706055,10.53,79.65,69.0,11.0
1910.0,74.4000015258789,10.53,79.65,69.0,11.0
1911.0,127.0,10.53,79.65,69.0,11.0
1912.0,152.39999389648438,10.53,79.65,69.0,11.0
1913.0,146.10000610351562,10.53,79.65,69.0,11.0
1914.0,93.5,10.53,79.65,69.0,11.0
1915.0,98.0,10.53,79.65,69.0,11.0
1916.0,97.0,10.53,79.65,69.0,11.0
1917.0,73.19999694824219,10.53,79.65,69.0,11.0
1918.0,276.8999938964844,10.53,79.65,69.0,11.0
1919.0,115.0999984741211,10.53,79.65,69.0,11.0
1920.0,123.4000015258789,10.53,79.65,69.0,11.0
1921.0,95.30000305175781,10.53,79.65,69.0,11.0
1922.0,48.79999923706055,10.53,79.65,69.0,11.0
1923.0,134.10000610351562,10.53,79.65,69.0,11.0
1924.0,66.5,10.53,79.65,69.0,11.0
1925.0,79.5,10.53,79.65,69.0,11.0
1926.0,98.5999984741211,10.53,79.65,69.0,11.0
1927.0,84.80000305175781,10.53,79.65,69.0,11.0
1928.0,108.0,10.53,79.65,69.0,11.0
1929.0,94.0,10.53,79.65,69.0,11.0
1930.0,179.10000610351562,10.53,79.65,69.0,11.0
1931.0,194.60000610351562,10.53,79.65,69.0,11.0
1932.0,224.8000030517578,10.53,79.65,69.0,11.0
1933.0,78.19999694824219,10.53,79.65,69.0,11.0
1934.0,122.9000015258789,10.53,79.65,69.0,11.0
1935.0,155.6999969482422,10.53,79.65,69.0,11.0
1936.0,88.9000015258789,10.53,79.65,69.0,11.0
1937.0,88.9000015258789,10.53,79.65,69.0,11.0
1938.0,130.0,10.53,79.65,69.0,11.0
1939.0,178.8000030517578,10.53,79.65,69.0,11.0
1940.0,118.9000015258789,10.53,79.65,69.0,11.0
1941.0,138.6999969482422,10.53,79.65,69.0,11.0
1942.0,88.0999984741211,10.53,79.65,69.0,11.0
1943.0,93.0,10.53,79.65,69.0,11.0
1944.0,78.69999694824219,10.53,79.65,69.0,11.0
1945.0,147.8000030517578,10.53,79.65,69.0,11.0
1946.0,100.30000305175781,10.53,79.65,69.0,11.0
1947.0,65.30000305175781,10.53,79.65,69.0,11.0
1948.0,94.5,10.53,79.65,69.0,11.0
1949.0,77.0,10.53,79.65,69.0,11.0
1950.0,133.10000610351562,10.53,79.65,69.0,11.0
1951.0,65.80000305175781,10.53,79.65,69.0,11.0
1952.0,103.4000015258789,10.53,79.65,69.0,11.0
1953.0,150.10000610351562,10.53,79.65,69.0,11.0
1954.0,363.70001220703125,10.53,79.65,69.0,11.0
1955.0,186.89999389648438,10.53,79.65,69.0,11.0
1956.0,112.0,10.53,79.65,69.0,11.0
1957.0,114.30000305175781,10.53,79.65,69.0,11.0
1958.0,132.1999969482422,10.53,79.65,69.0,11.0
1959.0,180.0,10.53,79.65,69.0,11.0
1960.0,93.30000305175781,10.53,79.65,69.0,11.0
1961.0,78.0999984741211,10.53,79.65,69.0,11.0
1963.0,192.60000610351562,10.53,79.65,69.0,11.0
1964.0,130.0,10.53,79.65,69.0,11.0
1965.0,78.0,10.53,79.65,69.0,11.0
1966.0,99.0,10.53,79.65,69.0,11.0
1967.0,178.0,10.53,79.65,69.0,11.0
1968.0,72.0,10.53,79.65,69.0,11.0
1969.0,134.0,10.53,79.65,69.0,11.0
1970.0,184.0,10.53,79.65,69.0,11.0
