,Maximum value,Latitude,Longitude,M,Z
1917.0,34.0,34.6667,33.0497,97.0,5.0
1918.0,39.400001525878906,34.6667,33.0497,97.0,5.0
1919.0,44.5,34.6667,33.0497,97.0,5.0
1920.0,69.30000305175781,34.6667,33.0497,97.0,5.0
1921.0,104.0,34.6667,33.0497,97.0,5.0
1922.0,51.099998474121094,34.6667,33.0497,97.0,5.0
1923.0,40.599998474121094,34.6667,33.0497,97.0,5.0
1924.0,29.200000762939453,34.6667,33.0497,97.0,5.0
1925.0,61.0,34.6667,33.0497,97.0,5.0
1926.0,56.599998474121094,34.6667,33.0497,97.0,5.0
1927.0,40.599998474121094,34.6667,33.0497,97.0,5.0
1928.0,27.399999618530273,34.6667,33.0497,97.0,5.0
1929.0,45.70000076293945,34.6667,33.0497,97.0,5.0
1930.0,58.400001525878906,34.6667,33.0497,97.0,5.0
1931.0,40.599998474121094,34.6667,33.0497,97.0,5.0
1932.0,41.400001525878906,34.6667,33.0497,97.0,5.0
1933.0,14.199999809265137,34.6667,33.0497,97.0,5.0
1934.0,57.900001525878906,34.6667,33.0497,97.0,5.0
1935.0,44.20000076293945,34.6667,33.0497,97.0,5.0
1936.0,60.20000076293945,34.6667,33.0497,97.0,5.0
1937.0,38.599998474121094,34.6667,33.0497,97.0,5.0
1938.0,44.5,34.6667,33.0497,97.0,5.0
1939.0,43.20000076293945,34.6667,33.0497,97.0,5.0
1940.0,30.5,34.6667,33.0497,97.0,5.0
1941.0,21.799999237060547,34.6667,33.0497,97.0,5.0
1942.0,43.20000076293945,34.6667,33.0497,97.0,5.0
1943.0,59.70000076293945,34.6667,33.0497,97.0,5.0
1944.0,61.0,34.6667,33.0497,97.0,5.0
1945.0,95.30000305175781,34.6667,33.0497,97.0,5.0
1946.0,34.29999923706055,34.6667,33.0497,97.0,5.0
1947.0,50.79999923706055,34.6667,33.0497,97.0,5.0
1948.0,26.399999618530273,34.6667,33.0497,97.0,5.0
1949.0,54.599998474121094,34.6667,33.0497,97.0,5.0
1950.0,23.100000381469727,34.6667,33.0497,97.0,5.0
1951.0,28.200000762939453,34.6667,33.0497,97.0,5.0
1952.0,53.79999923706055,34.6667,33.0497,97.0,5.0
1953.0,43.70000076293945,34.6667,33.0497,97.0,5.0
1954.0,29.200000762939453,34.6667,33.0497,97.0,5.0
1955.0,49.79999923706055,34.6667,33.0497,97.0,5.0
1956.0,75.69999694824219,34.6667,33.0497,97.0,5.0
1957.0,52.29999923706055,34.6667,33.0497,97.0,5.0
1958.0,34.5,34.6667,33.0497,97.0,5.0
1959.0,24.399999618530273,34.6667,33.0497,97.0,5.0
1960.0,25.399999618530273,34.6667,33.0497,97.0,5.0
1961.0,33.5,34.6667,33.0497,97.0,5.0
1962.0,33.79999923706055,34.6667,33.0497,97.0,5.0
1963.0,31.5,34.6667,33.0497,97.0,5.0
1964.0,49.29999923706055,34.6667,33.0497,97.0,5.0
1965.0,35.79999923706055,34.6667,33.0497,97.0,5.0
1966.0,67.80000305175781,34.6667,33.0497,97.0,5.0
1967.0,58.20000076293945,34.6667,33.0497,97.0,5.0
1968.0,44.900001525878906,34.6667,33.0497,97.0,5.0
1969.0,72.80000305175781,34.6667,33.0497,97.0,5.0
1970.0,55.29999923706055,34.6667,33.0497,97.0,5.0
1971.0,40.70000076293945,34.6667,33.0497,97.0,5.0
1972.0,27.799999237060547,34.6667,33.0497,97.0,5.0
1973.0,36.599998474121094,34.6667,33.0497,97.0,5.0
1974.0,28.0,34.6667,33.0497,97.0,5.0
1975.0,50.20000076293945,34.6667,33.0497,97.0,5.0
1976.0,50.599998474121094,34.6667,33.0497,97.0,5.0
1977.0,53.900001525878906,34.6667,33.0497,97.0,5.0
1978.0,30.399999618530273,34.6667,33.0497,97.0,5.0
1979.0,28.200000762939453,34.6667,33.0497,97.0,5.0
1980.0,32.20000076293945,34.6667,33.0497,97.0,5.0
1981.0,33.20000076293945,34.6667,33.0497,97.0,5.0
1982.0,28.5,34.6667,33.0497,97.0,5.0
1983.0,27.5,34.6667,33.0497,97.0,5.0
1984.0,39.599998474121094,34.6667,33.0497,97.0,5.0
1985.0,43.0,34.6667,33.0497,97.0,5.0
1986.0,33.0,34.6667,33.0497,97.0,5.0
1987.0,49.0,34.6667,33.0497,97.0,5.0
1988.0,39.900001525878906,34.6667,33.0497,97.0,5.0
1989.0,43.0,34.6667,33.0497,97.0,5.0
1990.0,65.0,34.6667,33.0497,97.0,5.0
1991.0,42.79999923706055,34.6667,33.0497,97.0,5.0
1992.0,51.20000076293945,34.6667,33.0497,97.0,5.0
1993.0,56.0,34.6667,33.0497,97.0,5.0
1994.0,56.0,34.6667,33.0497,97.0,5.0
1995.0,29.600000381469727,34.6667,33.0497,97.0,5.0
1996.0,68.0999984741211,34.6667,33.0497,97.0,5.0
1997.0,25.100000381469727,34.6667,33.0497,97.0,5.0
1998.0,39.5,34.6667,33.0497,97.0,5.0
1999.0,35.5,34.6667,33.0497,97.0,5.0
2000.0,78.80000305175781,34.6667,33.0497,97.0,5.0
2001.0,46.099998474121094,34.6667,33.0497,97.0,5.0
2002.0,36.599998474121094,34.6667,33.0497,97.0,5.0
2003.0,71.30000305175781,34.6667,33.0497,97.0,5.0
2004.0,55.20000076293945,34.6667,33.0497,97.0,5.0
2005.0,37.29999923706055,34.6667,33.0497,97.0,5.0
2006.0,30.600000381469727,34.6667,33.0497,97.0,5.0
2007.0,36.20000076293945,34.6667,33.0497,97.0,5.0
2008.0,54.79999923706055,34.6667,33.0497,97.0,5.0
2009.0,38.400001525878906,34.6667,33.0497,97.0,5.0
2010.0,78.0,34.6667,33.0497,97.0,5.0
2011.0,44.0,34.6667,33.0497,97.0,5.0
2012.0,48.70000076293945,34.6667,33.0497,97.0,5.0
2013.0,15.899999618530273,34.6667,33.0497,97.0,5.0
