,Maximum value,Latitude,Longitude,M,Z
1938.0,21.0,28.4631,-16.2553,64.0,35.0
1939.0,19.299999237060547,28.4631,-16.2553,64.0,35.0
1940.0,36.599998474121094,28.4631,-16.2553,64.0,35.0
1941.0,38.900001525878906,28.4631,-16.2553,64.0,35.0
1942.0,19.799999237060547,28.4631,-16.2553,64.0,35.0
1943.0,29.0,28.4631,-16.2553,64.0,35.0
1944.0,100.0999984741211,28.4631,-16.2553,64.0,35.0
1945.0,58.20000076293945,28.4631,-16.2553,64.0,35.0
1946.0,25.799999237060547,28.4631,-16.2553,64.0,35.0
1947.0,35.20000076293945,28.4631,-16.2553,64.0,35.0
1948.0,36.20000076293945,28.4631,-16.2553,64.0,35.0
1949.0,34.099998474121094,28.4631,-16.2553,64.0,35.0
1950.0,50.5,28.4631,-16.2553,64.0,35.0
1951.0,47.0,28.4631,-16.2553,64.0,35.0
1952.0,33.79999923706055,28.4631,-16.2553,64.0,35.0
1953.0,69.4000015258789,28.4631,-16.2553,64.0,35.0
1954.0,65.9000015258789,28.4631,-16.2553,64.0,35.0
1955.0,58.70000076293945,28.4631,-16.2553,64.0,35.0
1956.0,62.400001525878906,28.4631,-16.2553,64.0,35.0
1957.0,82.4000015258789,28.4631,-16.2553,64.0,35.0
1958.0,71.0,28.4631,-16.2553,64.0,35.0
1959.0,71.80000305175781,28.4631,-16.2553,64.0,35.0
1960.0,42.20000076293945,28.4631,-16.2553,64.0,35.0
1961.0,36.29999923706055,28.4631,-16.2553,64.0,35.0
1962.0,20.399999618530273,28.4631,-16.2553,64.0,35.0
1963.0,16.0,28.4631,-16.2553,64.0,35.0
1964.0,42.20000076293945,28.4631,-16.2553,64.0,35.0
1965.0,34.400001525878906,28.4631,-16.2553,64.0,35.0
1966.0,35.400001525878906,28.4631,-16.2553,64.0,35.0
1967.0,38.70000076293945,28.4631,-16.2553,64.0,35.0
1968.0,103.69999694824219,28.4631,-16.2553,64.0,35.0
1969.0,44.0,28.4631,-16.2553,64.0,35.0
1970.0,25.700000762939453,28.4631,-16.2553,64.0,35.0
1971.0,57.5,28.4631,-16.2553,64.0,35.0
1972.0,25.0,28.4631,-16.2553,64.0,35.0
1973.0,116.5,28.4631,-16.2553,64.0,35.0
1974.0,58.20000076293945,28.4631,-16.2553,64.0,35.0
1975.0,19.200000762939453,28.4631,-16.2553,64.0,35.0
1976.0,25.399999618530273,28.4631,-16.2553,64.0,35.0
1977.0,89.19999694824219,28.4631,-16.2553,64.0,35.0
1978.0,20.899999618530273,28.4631,-16.2553,64.0,35.0
1979.0,44.0,28.4631,-16.2553,64.0,35.0
1980.0,19.600000381469727,28.4631,-16.2553,64.0,35.0
1981.0,45.79999923706055,28.4631,-16.2553,64.0,35.0
1982.0,32.20000076293945,28.4631,-16.2553,64.0,35.0
1983.0,68.0999984741211,28.4631,-16.2553,64.0,35.0
1984.0,43.099998474121094,28.4631,-16.2553,64.0,35.0
1985.0,23.299999237060547,28.4631,-16.2553,64.0,35.0
1986.0,51.400001525878906,28.4631,-16.2553,64.0,35.0
1987.0,33.0,28.4631,-16.2553,64.0,35.0
1988.0,26.600000381469727,28.4631,-16.2553,64.0,35.0
1989.0,82.69999694824219,28.4631,-16.2553,64.0,35.0
1990.0,31.399999618530273,28.4631,-16.2553,64.0,35.0
1991.0,34.29999923706055,28.4631,-16.2553,64.0,35.0
1992.0,12.899999618530273,28.4631,-16.2553,64.0,35.0
1993.0,23.299999237060547,28.4631,-16.2553,64.0,35.0
1994.0,19.299999237060547,28.4631,-16.2553,64.0,35.0
1995.0,48.599998474121094,28.4631,-16.2553,64.0,35.0
1996.0,103.80000305175781,28.4631,-16.2553,64.0,35.0
1997.0,33.400001525878906,28.4631,-16.2553,64.0,35.0
1998.0,15.300000190734863,28.4631,-16.2553,64.0,35.0
1999.0,32.400001525878906,28.4631,-16.2553,64.0,35.0
2000.0,25.200000762939453,28.4631,-16.2553,64.0,35.0
2001.0,39.29999923706055,28.4631,-16.2553,64.0,35.0
