,Maximum value,Latitude,Longitude,M,Z
1879.0,45.5,36.78,3.07,54.0,59.0
1880.0,57.0,36.78,3.07,54.0,59.0
1881.0,53.400001525878906,36.78,3.07,54.0,59.0
1882.0,72.30000305175781,36.78,3.07,54.0,59.0
1883.0,47.599998474121094,36.78,3.07,54.0,59.0
1884.0,45.0,36.78,3.07,54.0,59.0
1885.0,32.5,36.78,3.07,54.0,59.0
1886.0,73.5,36.78,3.07,54.0,59.0
1887.0,65.30000305175781,36.78,3.07,54.0,59.0
1888.0,64.30000305175781,36.78,3.07,54.0,59.0
1889.0,32.5,36.78,3.07,54.0,59.0
1890.0,47.0,36.78,3.07,54.0,59.0
1891.0,56.79999923706055,36.78,3.07,54.0,59.0
1892.0,47.79999923706055,36.78,3.07,54.0,59.0
1893.0,93.5,36.78,3.07,54.0,59.0
1894.0,38.20000076293945,36.78,3.07,54.0,59.0
1895.0,29.899999618530273,36.78,3.07,54.0,59.0
1896.0,54.79999923706055,36.78,3.07,54.0,59.0
1897.0,37.20000076293945,36.78,3.07,54.0,59.0
1898.0,72.5999984741211,36.78,3.07,54.0,59.0
1899.0,39.29999923706055,36.78,3.07,54.0,59.0
1900.0,55.0,36.78,3.07,54.0,59.0
1901.0,58.5,36.78,3.07,54.0,59.0
1902.0,63.29999923706055,36.78,3.07,54.0,59.0
1903.0,69.69999694824219,36.78,3.07,54.0,59.0
1904.0,57.5,36.78,3.07,54.0,59.0
1905.0,60.5,36.78,3.07,54.0,59.0
1906.0,50.29999923706055,36.78,3.07,54.0,59.0
1907.0,57.70000076293945,36.78,3.07,54.0,59.0
1908.0,58.79999923706055,36.78,3.07,54.0,59.0
1909.0,44.29999923706055,36.78,3.07,54.0,59.0
1910.0,43.5,36.78,3.07,54.0,59.0
1911.0,132.0,36.78,3.07,54.0,59.0
1912.0,74.9000015258789,36.78,3.07,54.0,59.0
1913.0,25.600000381469727,36.78,3.07,54.0,59.0
1914.0,65.19999694824219,36.78,3.07,54.0,59.0
1915.0,74.5,36.78,3.07,54.0,59.0
1916.0,109.5999984741211,36.78,3.07,54.0,59.0
1917.0,44.5,36.78,3.07,54.0,59.0
1919.0,47.29999923706055,36.78,3.07,54.0,59.0
1920.0,32.599998474121094,36.78,3.07,54.0,59.0
1921.0,71.19999694824219,36.78,3.07,54.0,59.0
1922.0,41.79999923706055,36.78,3.07,54.0,59.0
1923.0,58.79999923706055,36.78,3.07,54.0,59.0
1924.0,30.299999237060547,36.78,3.07,54.0,59.0
1927.0,45.29999923706055,36.78,3.07,54.0,59.0
1928.0,73.0,36.78,3.07,54.0,59.0
1929.0,57.099998474121094,36.78,3.07,54.0,59.0
1930.0,67.69999694824219,36.78,3.07,54.0,59.0
1931.0,54.5,36.78,3.07,54.0,59.0
1932.0,28.799999237060547,36.78,3.07,54.0,59.0
1934.0,58.70000076293945,36.78,3.07,54.0,59.0
1935.0,120.0,36.78,3.07,54.0,59.0
1938.0,48.0,36.78,3.07,54.0,59.0
