,Maximum value,Latitude,Longitude,M,Z
1900.0,51.599998474121094,37.1942,-99.7633,120.0,600.5
1901.0,37.29999923706055,37.1942,-99.7633,120.0,600.5
1902.0,83.80000305175781,37.1942,-99.7633,120.0,600.5
1903.0,43.900001525878906,37.1942,-99.7633,120.0,600.5
1904.0,96.30000305175781,37.1942,-99.7633,120.0,600.5
1905.0,61.20000076293945,37.1942,-99.7633,120.0,600.5
1906.0,63.5,37.1942,-99.7633,120.0,600.5
1907.0,67.0999984741211,37.1942,-99.7633,120.0,600.5
1908.0,101.5999984741211,37.1942,-99.7633,120.0,600.5
1909.0,99.0999984741211,37.1942,-99.7633,120.0,600.5
1910.0,74.9000015258789,37.1942,-99.7633,120.0,600.5
1911.0,64.80000305175781,37.1942,-99.7633,120.0,600.5
1912.0,40.099998474121094,37.1942,-99.7633,120.0,600.5
1913.0,54.900001525878906,37.1942,-99.7633,120.0,600.5
1914.0,120.69999694824219,37.1942,-99.7633,120.0,600.5
1915.0,53.79999923706055,37.1942,-99.7633,120.0,600.5
1916.0,71.5999984741211,37.1942,-99.7633,120.0,600.5
1917.0,66.0,37.1942,-99.7633,120.0,600.5
1918.0,57.20000076293945,37.1942,-99.7633,120.0,600.5
1919.0,46.0,37.1942,-99.7633,120.0,600.5
1920.0,165.60000610351562,37.1942,-99.7633,120.0,600.5
1921.0,58.400001525878906,37.1942,-99.7633,120.0,600.5
1922.0,59.400001525878906,37.1942,-99.7633,120.0,600.5
1923.0,67.0999984741211,37.1942,-99.7633,120.0,600.5
1924.0,68.80000305175781,37.1942,-99.7633,120.0,600.5
1925.0,58.900001525878906,37.1942,-99.7633,120.0,600.5
1926.0,47.5,37.1942,-99.7633,120.0,600.5
1927.0,88.5999984741211,37.1942,-99.7633,120.0,600.5
1928.0,53.599998474121094,37.1942,-99.7633,120.0,600.5
1929.0,48.79999923706055,37.1942,-99.7633,120.0,600.5
1930.0,75.9000015258789,37.1942,-99.7633,120.0,600.5
1931.0,34.79999923706055,37.1942,-99.7633,120.0,600.5
1932.0,55.900001525878906,37.1942,-99.7633,120.0,600.5
1933.0,35.79999923706055,37.1942,-99.7633,120.0,600.5
1934.0,51.599998474121094,37.1942,-99.7633,120.0,600.5
1935.0,53.29999923706055,37.1942,-99.7633,120.0,600.5
1936.0,72.9000015258789,37.1942,-99.7633,120.0,600.5
1937.0,67.5999984741211,37.1942,-99.7633,120.0,600.5
1938.0,56.599998474121094,37.1942,-99.7633,120.0,600.5
1939.0,68.0999984741211,37.1942,-99.7633,120.0,600.5
1940.0,58.400001525878906,37.1942,-99.7633,120.0,600.5
1941.0,92.19999694824219,37.1942,-99.7633,120.0,600.5
1942.0,43.900001525878906,37.1942,-99.7633,120.0,600.5
1943.0,38.599998474121094,37.1942,-99.7633,120.0,600.5
1944.0,53.599998474121094,37.1942,-99.7633,120.0,600.5
1945.0,54.900001525878906,37.1942,-99.7633,120.0,600.5
1946.0,60.70000076293945,37.1942,-99.7633,120.0,600.5
1947.0,54.599998474121094,37.1942,-99.7633,120.0,600.5
1948.0,59.70000076293945,37.1942,-99.7633,120.0,600.5
1949.0,100.5999984741211,37.1942,-99.7633,120.0,600.5
1950.0,35.599998474121094,37.1942,-99.7633,120.0,600.5
1951.0,87.9000015258789,37.1942,-99.7633,120.0,600.5
1952.0,31.0,37.1942,-99.7633,120.0,600.5
1953.0,39.599998474121094,37.1942,-99.7633,120.0,600.5
1954.0,30.0,37.1942,-99.7633,120.0,600.5
1955.0,60.5,37.1942,-99.7633,120.0,600.5
1956.0,61.70000076293945,37.1942,-99.7633,120.0,600.5
1957.0,67.5999984741211,37.1942,-99.7633,120.0,600.5
1958.0,52.29999923706055,37.1942,-99.7633,120.0,600.5
1959.0,94.19999694824219,37.1942,-99.7633,120.0,600.5
1960.0,33.79999923706055,37.1942,-99.7633,120.0,600.5
1961.0,63.5,37.1942,-99.7633,120.0,600.5
1962.0,64.5,37.1942,-99.7633,120.0,600.5
1963.0,114.30000305175781,37.1942,-99.7633,120.0,600.5
1964.0,73.19999694824219,37.1942,-99.7633,120.0,600.5
1965.0,72.4000015258789,37.1942,-99.7633,120.0,600.5
1966.0,37.599998474121094,37.1942,-99.7633,120.0,600.5
1967.0,37.79999923706055,37.1942,-99.7633,120.0,600.5
1968.0,101.5999984741211,37.1942,-99.7633,120.0,600.5
1969.0,41.900001525878906,37.1942,-99.7633,120.0,600.5
1970.0,66.0,37.1942,-99.7633,120.0,600.5
1971.0,53.29999923706055,37.1942,-99.7633,120.0,600.5
1972.0,90.19999694824219,37.1942,-99.7633,120.0,600.5
1973.0,66.0,37.1942,-99.7633,120.0,600.5
1974.0,46.5,37.1942,-99.7633,120.0,600.5
1975.0,40.099998474121094,37.1942,-99.7633,120.0,600.5
1976.0,54.599998474121094,37.1942,-99.7633,120.0,600.5
1977.0,38.099998474121094,37.1942,-99.7633,120.0,600.5
1978.0,82.5999984741211,37.1942,-99.7633,120.0,600.5
1979.0,69.9000015258789,37.1942,-99.7633,120.0,600.5
1980.0,43.20000076293945,37.1942,-99.7633,120.0,600.5
1981.0,39.400001525878906,37.1942,-99.7633,120.0,600.5
1982.0,63.5,37.1942,-99.7633,120.0,600.5
1983.0,73.69999694824219,37.1942,-99.7633,120.0,600.5
1984.0,35.599998474121094,37.1942,-99.7633,120.0,600.5
1985.0,62.20000076293945,37.1942,-99.7633,120.0,600.5
1986.0,68.5999984741211,37.1942,-99.7633,120.0,600.5
1987.0,62.0,37.1942,-99.7633,120.0,600.5
1988.0,38.099998474121094,37.1942,-99.7633,120.0,600.5
1989.0,83.80000305175781,37.1942,-99.7633,120.0,600.5
1990.0,39.400001525878906,37.1942,-99.7633,120.0,600.5
1991.0,30.5,37.1942,-99.7633,120.0,600.5
1992.0,61.5,37.1942,-99.7633,120.0,600.5
1993.0,49.5,37.1942,-99.7633,120.0,600.5
1994.0,39.400001525878906,37.1942,-99.7633,120.0,600.5
1995.0,33.79999923706055,37.1942,-99.7633,120.0,600.5
1996.0,90.19999694824219,37.1942,-99.7633,120.0,600.5
1997.0,49.79999923706055,37.1942,-99.7633,120.0,600.5
1998.0,50.79999923706055,37.1942,-99.7633,120.0,600.5
1999.0,67.80000305175781,37.1942,-99.7633,120.0,600.5
2000.0,64.0,37.1942,-99.7633,120.0,600.5
2001.0,52.79999923706055,37.1942,-99.7633,120.0,600.5
2002.0,42.70000076293945,37.1942,-99.7633,120.0,600.5
2003.0,32.29999923706055,37.1942,-99.7633,120.0,600.5
2004.0,38.099998474121094,37.1942,-99.7633,120.0,600.5
2005.0,42.70000076293945,37.1942,-99.7633,120.0,600.5
2006.0,75.69999694824219,37.1942,-99.7633,120.0,600.5
2007.0,111.80000305175781,37.1942,-99.7633,120.0,600.5
2008.0,58.900001525878906,37.1942,-99.7633,120.0,600.5
2009.0,45.70000076293945,37.1942,-99.7633,120.0,600.5
2010.0,59.900001525878906,37.1942,-99.7633,120.0,600.5
2011.0,36.099998474121094,37.1942,-99.7633,120.0,600.5
2012.0,31.0,37.1942,-99.7633,120.0,600.5
