,Maximum value,Latitude,Longitude,M,Z
1925.0,50.79999923706055,44.2436,-112.2006,83.0,1661.2
1926.0,15.199999809265137,44.2436,-112.2006,83.0,1661.2
1927.0,21.799999237060547,44.2436,-112.2006,83.0,1661.2
1928.0,11.399999618530273,44.2436,-112.2006,83.0,1661.2
1929.0,18.5,44.2436,-112.2006,83.0,1661.2
1930.0,24.399999618530273,44.2436,-112.2006,83.0,1661.2
1931.0,21.600000381469727,44.2436,-112.2006,83.0,1661.2
1932.0,42.900001525878906,44.2436,-112.2006,83.0,1661.2
1933.0,22.899999618530273,44.2436,-112.2006,83.0,1661.2
1934.0,35.099998474121094,44.2436,-112.2006,83.0,1661.2
1935.0,34.5,44.2436,-112.2006,83.0,1661.2
1936.0,17.799999237060547,44.2436,-112.2006,83.0,1661.2
1937.0,12.199999809265137,44.2436,-112.2006,83.0,1661.2
1938.0,34.79999923706055,44.2436,-112.2006,83.0,1661.2
1939.0,22.600000381469727,44.2436,-112.2006,83.0,1661.2
1940.0,22.399999618530273,44.2436,-112.2006,83.0,1661.2
1941.0,19.799999237060547,44.2436,-112.2006,83.0,1661.2
1942.0,23.399999618530273,44.2436,-112.2006,83.0,1661.2
1943.0,19.600000381469727,44.2436,-112.2006,83.0,1661.2
1944.0,66.0,44.2436,-112.2006,83.0,1661.2
1945.0,22.100000381469727,44.2436,-112.2006,83.0,1661.2
1946.0,27.700000762939453,44.2436,-112.2006,83.0,1661.2
1947.0,22.600000381469727,44.2436,-112.2006,83.0,1661.2
1948.0,30.700000762939453,44.2436,-112.2006,83.0,1661.2
1949.0,29.700000762939453,44.2436,-112.2006,83.0,1661.2
1950.0,29.5,44.2436,-112.2006,83.0,1661.2
1951.0,17.0,44.2436,-112.2006,83.0,1661.2
1952.0,25.399999618530273,44.2436,-112.2006,83.0,1661.2
1953.0,30.5,44.2436,-112.2006,83.0,1661.2
1954.0,14.699999809265137,44.2436,-112.2006,83.0,1661.2
1955.0,25.399999618530273,44.2436,-112.2006,83.0,1661.2
1956.0,23.399999618530273,44.2436,-112.2006,83.0,1661.2
1957.0,21.600000381469727,44.2436,-112.2006,83.0,1661.2
1958.0,20.299999237060547,44.2436,-112.2006,83.0,1661.2
1959.0,31.5,44.2436,-112.2006,83.0,1661.2
1960.0,15.699999809265137,44.2436,-112.2006,83.0,1661.2
1961.0,26.899999618530273,44.2436,-112.2006,83.0,1661.2
1962.0,24.399999618530273,44.2436,-112.2006,83.0,1661.2
1963.0,15.199999809265137,44.2436,-112.2006,83.0,1661.2
1964.0,26.899999618530273,44.2436,-112.2006,83.0,1661.2
1965.0,37.79999923706055,44.2436,-112.2006,83.0,1661.2
1966.0,28.399999618530273,44.2436,-112.2006,83.0,1661.2
1967.0,27.899999618530273,44.2436,-112.2006,83.0,1661.2
1968.0,21.799999237060547,44.2436,-112.2006,83.0,1661.2
1969.0,35.099998474121094,44.2436,-112.2006,83.0,1661.2
1970.0,39.400001525878906,44.2436,-112.2006,83.0,1661.2
1971.0,22.899999618530273,44.2436,-112.2006,83.0,1661.2
1972.0,19.799999237060547,44.2436,-112.2006,83.0,1661.2
1973.0,23.899999618530273,44.2436,-112.2006,83.0,1661.2
1974.0,24.600000381469727,44.2436,-112.2006,83.0,1661.2
1975.0,22.399999618530273,44.2436,-112.2006,83.0,1661.2
1976.0,31.799999237060547,44.2436,-112.2006,83.0,1661.2
1977.0,36.29999923706055,44.2436,-112.2006,83.0,1661.2
1978.0,17.299999237060547,44.2436,-112.2006,83.0,1661.2
1979.0,26.700000762939453,44.2436,-112.2006,83.0,1661.2
1980.0,25.399999618530273,44.2436,-112.2006,83.0,1661.2
1981.0,31.799999237060547,44.2436,-112.2006,83.0,1661.2
1982.0,19.299999237060547,44.2436,-112.2006,83.0,1661.2
1983.0,25.899999618530273,44.2436,-112.2006,83.0,1661.2
1984.0,22.100000381469727,44.2436,-112.2006,83.0,1661.2
1985.0,29.5,44.2436,-112.2006,83.0,1661.2
1986.0,22.100000381469727,44.2436,-112.2006,83.0,1661.2
1987.0,15.0,44.2436,-112.2006,83.0,1661.2
1988.0,24.399999618530273,44.2436,-112.2006,83.0,1661.2
1989.0,23.100000381469727,44.2436,-112.2006,83.0,1661.2
1990.0,14.699999809265137,44.2436,-112.2006,83.0,1661.2
1991.0,26.899999618530273,44.2436,-112.2006,83.0,1661.2
1992.0,25.899999618530273,44.2436,-112.2006,83.0,1661.2
1993.0,19.600000381469727,44.2436,-112.2006,83.0,1661.2
1994.0,15.199999809265137,44.2436,-112.2006,83.0,1661.2
1995.0,38.400001525878906,44.2436,-112.2006,83.0,1661.2
1996.0,27.399999618530273,44.2436,-112.2006,83.0,1661.2
1997.0,17.299999237060547,44.2436,-112.2006,83.0,1661.2
1998.0,20.299999237060547,44.2436,-112.2006,83.0,1661.2
1999.0,23.399999618530273,44.2436,-112.2006,83.0,1661.2
2000.0,20.299999237060547,44.2436,-112.2006,83.0,1661.2
2001.0,16.0,44.2436,-112.2006,83.0,1661.2
2002.0,17.299999237060547,44.2436,-112.2006,83.0,1661.2
2003.0,21.799999237060547,44.2436,-112.2006,83.0,1661.2
2004.0,32.0,44.2436,-112.2006,83.0,1661.2
2005.0,20.799999237060547,44.2436,-112.2006,83.0,1661.2
2006.0,23.399999618530273,44.2436,-112.2006,83.0,1661.2
2007.0,18.5,44.2436,-112.2006,83.0,1661.2
