,Maximum value,Latitude,Longitude,M,Z
1883.0,25.700000762939453,53.55,-113.5,59.0,658.0
1884.0,52.099998474121094,53.55,-113.5,59.0,658.0
1885.0,40.599998474121094,53.55,-113.5,59.0,658.0
1886.0,38.099998474121094,53.55,-113.5,59.0,658.0
1887.0,24.399999618530273,53.55,-113.5,59.0,658.0
1888.0,53.599998474121094,53.55,-113.5,59.0,658.0
1889.0,16.299999237060547,53.55,-113.5,59.0,658.0
1890.0,38.900001525878906,53.55,-113.5,59.0,658.0
1891.0,56.099998474121094,53.55,-113.5,59.0,658.0
1892.0,49.5,53.55,-113.5,59.0,658.0
1893.0,51.099998474121094,53.55,-113.5,59.0,658.0
1894.0,38.099998474121094,53.55,-113.5,59.0,658.0
1895.0,35.29999923706055,53.55,-113.5,59.0,658.0
1896.0,28.399999618530273,53.55,-113.5,59.0,658.0
1897.0,27.700000762939453,53.55,-113.5,59.0,658.0
1898.0,31.5,53.55,-113.5,59.0,658.0
1899.0,50.29999923706055,53.55,-113.5,59.0,658.0
1900.0,35.79999923706055,53.55,-113.5,59.0,658.0
1901.0,54.900001525878906,53.55,-113.5,59.0,658.0
1902.0,71.0999984741211,53.55,-113.5,59.0,658.0
1903.0,55.900001525878906,53.55,-113.5,59.0,658.0
1904.0,30.0,53.55,-113.5,59.0,658.0
1905.0,31.0,53.55,-113.5,59.0,658.0
1906.0,46.70000076293945,53.55,-113.5,59.0,658.0
1907.0,26.399999618530273,53.55,-113.5,59.0,658.0
1908.0,29.200000762939453,53.55,-113.5,59.0,658.0
1909.0,18.299999237060547,53.55,-113.5,59.0,658.0
1910.0,21.100000381469727,53.55,-113.5,59.0,658.0
1911.0,62.70000076293945,53.55,-113.5,59.0,658.0
1912.0,29.200000762939453,53.55,-113.5,59.0,658.0
1913.0,27.200000762939453,53.55,-113.5,59.0,658.0
1914.0,50.79999923706055,53.55,-113.5,59.0,658.0
1915.0,68.0999984741211,53.55,-113.5,59.0,658.0
1916.0,41.900001525878906,53.55,-113.5,59.0,658.0
1917.0,21.299999237060547,53.55,-113.5,59.0,658.0
1918.0,37.099998474121094,53.55,-113.5,59.0,658.0
1919.0,25.399999618530273,53.55,-113.5,59.0,658.0
1920.0,30.200000762939453,53.55,-113.5,59.0,658.0
1921.0,19.100000381469727,53.55,-113.5,59.0,658.0
1922.0,30.700000762939453,53.55,-113.5,59.0,658.0
1923.0,30.700000762939453,53.55,-113.5,59.0,658.0
1924.0,32.29999923706055,53.55,-113.5,59.0,658.0
1925.0,36.29999923706055,53.55,-113.5,59.0,658.0
1926.0,58.400001525878906,53.55,-113.5,59.0,658.0
1927.0,28.399999618530273,53.55,-113.5,59.0,658.0
1928.0,48.79999923706055,53.55,-113.5,59.0,658.0
1929.0,55.900001525878906,53.55,-113.5,59.0,658.0
1930.0,19.100000381469727,53.55,-113.5,59.0,658.0
1931.0,64.0,53.55,-113.5,59.0,658.0
1932.0,18.799999237060547,53.55,-113.5,59.0,658.0
1933.0,29.5,53.55,-113.5,59.0,658.0
1934.0,31.5,53.55,-113.5,59.0,658.0
1935.0,28.399999618530273,53.55,-113.5,59.0,658.0
1936.0,26.399999618530273,53.55,-113.5,59.0,658.0
1937.0,105.9000015258789,53.55,-113.5,59.0,658.0
1938.0,71.4000015258789,53.55,-113.5,59.0,658.0
1939.0,41.70000076293945,53.55,-113.5,59.0,658.0
1940.0,34.79999923706055,53.55,-113.5,59.0,658.0
1942.0,48.0,53.55,-113.5,59.0,658.0
