,Maximum value,Latitude,Longitude,M,Z
1964.0,61.20000076293945,42.8939,-85.5447,56.0,237.1
1965.0,34.5,42.8939,-85.5447,56.0,237.1
1966.0,64.30000305175781,42.8939,-85.5447,56.0,237.1
1967.0,43.400001525878906,42.8939,-85.5447,56.0,237.1
1968.0,40.099998474121094,42.8939,-85.5447,56.0,237.1
1969.0,54.599998474121094,42.8939,-85.5447,56.0,237.1
1970.0,67.30000305175781,42.8939,-85.5447,56.0,237.1
1971.0,54.099998474121094,42.8939,-85.5447,56.0,237.1
1972.0,73.4000015258789,42.8939,-85.5447,56.0,237.1
1973.0,42.900001525878906,42.8939,-85.5447,56.0,237.1
1974.0,58.900001525878906,42.8939,-85.5447,56.0,237.1
1975.0,51.099998474121094,42.8939,-85.5447,56.0,237.1
1976.0,43.900001525878906,42.8939,-85.5447,56.0,237.1
1977.0,42.70000076293945,42.8939,-85.5447,56.0,237.1
1978.0,60.70000076293945,42.8939,-85.5447,56.0,237.1
1979.0,45.5,42.8939,-85.5447,56.0,237.1
1980.0,34.0,42.8939,-85.5447,56.0,237.1
1981.0,89.69999694824219,42.8939,-85.5447,56.0,237.1
1982.0,37.599998474121094,42.8939,-85.5447,56.0,237.1
1983.0,38.400001525878906,42.8939,-85.5447,56.0,237.1
1984.0,46.20000076293945,42.8939,-85.5447,56.0,237.1
1985.0,42.400001525878906,42.8939,-85.5447,56.0,237.1
1986.0,81.5,42.8939,-85.5447,56.0,237.1
1987.0,91.69999694824219,42.8939,-85.5447,56.0,237.1
1988.0,79.80000305175781,42.8939,-85.5447,56.0,237.1
1989.0,80.5,42.8939,-85.5447,56.0,237.1
1990.0,74.69999694824219,42.8939,-85.5447,56.0,237.1
1991.0,59.900001525878906,42.8939,-85.5447,56.0,237.1
1992.0,85.9000015258789,42.8939,-85.5447,56.0,237.1
1993.0,54.599998474121094,42.8939,-85.5447,56.0,237.1
1994.0,90.4000015258789,42.8939,-85.5447,56.0,237.1
1995.0,55.099998474121094,42.8939,-85.5447,56.0,237.1
1996.0,86.0999984741211,42.8939,-85.5447,56.0,237.1
1997.0,75.19999694824219,42.8939,-85.5447,56.0,237.1
1998.0,34.79999923706055,42.8939,-85.5447,56.0,237.1
1999.0,49.79999923706055,42.8939,-85.5447,56.0,237.1
2000.0,84.0999984741211,42.8939,-85.5447,56.0,237.1
2001.0,105.4000015258789,42.8939,-85.5447,56.0,237.1
2002.0,42.70000076293945,42.8939,-85.5447,56.0,237.1
2003.0,68.30000305175781,42.8939,-85.5447,56.0,237.1
2004.0,62.5,42.8939,-85.5447,56.0,237.1
2005.0,56.599998474121094,42.8939,-85.5447,56.0,237.1
2006.0,75.19999694824219,42.8939,-85.5447,56.0,237.1
2007.0,59.400001525878906,42.8939,-85.5447,56.0,237.1
2008.0,80.80000305175781,42.8939,-85.5447,56.0,237.1
2009.0,80.0,42.8939,-85.5447,56.0,237.1
2010.0,63.79999923706055,42.8939,-85.5447,56.0,237.1
2011.0,88.5999984741211,42.8939,-85.5447,56.0,237.1
2012.0,45.70000076293945,42.8939,-85.5447,56.0,237.1
2013.0,83.80000305175781,42.8939,-85.5447,56.0,237.1
2014.0,54.900001525878906,42.8939,-85.5447,56.0,237.1
2015.0,52.099998474121094,42.8939,-85.5447,56.0,237.1
2016.0,66.30000305175781,42.8939,-85.5447,56.0,237.1
2017.0,71.4000015258789,42.8939,-85.5447,56.0,237.1
2018.0,82.5999984741211,42.8939,-85.5447,56.0,237.1
2019.0,65.0,42.8939,-85.5447,56.0,237.1
