,Maximum value,Latitude,Longitude,M,Z
1950.0,80.0,20.8939,-156.4103,65.0,27.4
1951.0,149.10000610351562,20.8939,-156.4103,65.0,27.4
1952.0,110.5,20.8939,-156.4103,65.0,27.4
1953.0,42.70000076293945,20.8939,-156.4103,65.0,27.4
1954.0,49.5,20.8939,-156.4103,65.0,27.4
1955.0,108.69999694824219,20.8939,-156.4103,65.0,27.4
1956.0,69.30000305175781,20.8939,-156.4103,65.0,27.4
1957.0,48.5,20.8939,-156.4103,65.0,27.4
1958.0,60.70000076293945,20.8939,-156.4103,65.0,27.4
1959.0,104.5999984741211,20.8939,-156.4103,65.0,27.4
1960.0,42.900001525878906,20.8939,-156.4103,65.0,27.4
1961.0,59.70000076293945,20.8939,-156.4103,65.0,27.4
1962.0,58.20000076293945,20.8939,-156.4103,65.0,27.4
1963.0,74.9000015258789,20.8939,-156.4103,65.0,27.4
1964.0,34.0,20.8939,-156.4103,65.0,27.4
1965.0,104.5999984741211,20.8939,-156.4103,65.0,27.4
1966.0,26.200000762939453,20.8939,-156.4103,65.0,27.4
1967.0,101.0999984741211,20.8939,-156.4103,65.0,27.4
1968.0,113.0,20.8939,-156.4103,65.0,27.4
1969.0,81.30000305175781,20.8939,-156.4103,65.0,27.4
1970.0,68.5999984741211,20.8939,-156.4103,65.0,27.4
1972.0,95.30000305175781,20.8939,-156.4103,65.0,27.4
1973.0,37.599998474121094,20.8939,-156.4103,65.0,27.4
1974.0,80.0,20.8939,-156.4103,65.0,27.4
1975.0,48.29999923706055,20.8939,-156.4103,65.0,27.4
1976.0,53.79999923706055,20.8939,-156.4103,65.0,27.4
1977.0,24.100000381469727,20.8939,-156.4103,65.0,27.4
1978.0,61.70000076293945,20.8939,-156.4103,65.0,27.4
1979.0,107.69999694824219,20.8939,-156.4103,65.0,27.4
1980.0,136.10000610351562,20.8939,-156.4103,65.0,27.4
1981.0,48.29999923706055,20.8939,-156.4103,65.0,27.4
1982.0,95.5,20.8939,-156.4103,65.0,27.4
1983.0,99.0999984741211,20.8939,-156.4103,65.0,27.4
1984.0,24.899999618530273,20.8939,-156.4103,65.0,27.4
1985.0,73.69999694824219,20.8939,-156.4103,65.0,27.4
1986.0,52.29999923706055,20.8939,-156.4103,65.0,27.4
1987.0,87.9000015258789,20.8939,-156.4103,65.0,27.4
1988.0,130.8000030517578,20.8939,-156.4103,65.0,27.4
1989.0,122.9000015258789,20.8939,-156.4103,65.0,27.4
1990.0,68.80000305175781,20.8939,-156.4103,65.0,27.4
1991.0,79.80000305175781,20.8939,-156.4103,65.0,27.4
1992.0,85.30000305175781,20.8939,-156.4103,65.0,27.4
1993.0,29.700000762939453,20.8939,-156.4103,65.0,27.4
1994.0,75.4000015258789,20.8939,-156.4103,65.0,27.4
1995.0,58.20000076293945,20.8939,-156.4103,65.0,27.4
1996.0,88.9000015258789,20.8939,-156.4103,65.0,27.4
1997.0,70.4000015258789,20.8939,-156.4103,65.0,27.4
1998.0,18.0,20.8939,-156.4103,65.0,27.4
1999.0,42.70000076293945,20.8939,-156.4103,65.0,27.4
2000.0,34.29999923706055,20.8939,-156.4103,65.0,27.4
2001.0,50.79999923706055,20.8939,-156.4103,65.0,27.4
2002.0,50.79999923706055,20.8939,-156.4103,65.0,27.4
2003.0,76.19999694824219,20.8939,-156.4103,65.0,27.4
2004.0,71.0999984741211,20.8939,-156.4103,65.0,27.4
2005.0,50.79999923706055,20.8939,-156.4103,65.0,27.4
2006.0,110.69999694824219,20.8939,-156.4103,65.0,27.4
2007.0,30.200000762939453,20.8939,-156.4103,65.0,27.4
2008.0,62.5,20.8939,-156.4103,65.0,27.4
2009.0,37.099998474121094,20.8939,-156.4103,65.0,27.4
2010.0,47.20000076293945,20.8939,-156.4103,65.0,27.4
2011.0,70.9000015258789,20.8939,-156.4103,65.0,27.4
2012.0,43.20000076293945,20.8939,-156.4103,65.0,27.4
2013.0,63.5,20.8939,-156.4103,65.0,27.4
2014.0,53.29999923706055,20.8939,-156.4103,65.0,27.4
2015.0,49.5,20.8939,-156.4103,65.0,27.4
