,Maximum value,Latitude,Longitude,M,Z
1943.0,20.799999237060547,60.7167,-135.0667,66.0,706.0
1944.0,19.600000381469727,60.7167,-135.0667,66.0,706.0
1945.0,12.399999618530273,60.7167,-135.0667,66.0,706.0
1946.0,17.799999237060547,60.7167,-135.0667,66.0,706.0
1947.0,10.199999809265137,60.7167,-135.0667,66.0,706.0
1948.0,30.700000762939453,60.7167,-135.0667,66.0,706.0
1949.0,17.0,60.7167,-135.0667,66.0,706.0
1950.0,13.5,60.7167,-135.0667,66.0,706.0
1951.0,12.399999618530273,60.7167,-135.0667,66.0,706.0
1952.0,14.199999809265137,60.7167,-135.0667,66.0,706.0
1953.0,20.600000381469727,60.7167,-135.0667,66.0,706.0
1954.0,10.399999618530273,60.7167,-135.0667,66.0,706.0
1955.0,11.399999618530273,60.7167,-135.0667,66.0,706.0
1956.0,21.600000381469727,60.7167,-135.0667,66.0,706.0
1957.0,14.0,60.7167,-135.0667,66.0,706.0
1958.0,10.899999618530273,60.7167,-135.0667,66.0,706.0
1959.0,14.199999809265137,60.7167,-135.0667,66.0,706.0
1960.0,9.100000381469727,60.7167,-135.0667,66.0,706.0
1961.0,30.200000762939453,60.7167,-135.0667,66.0,706.0
1962.0,15.0,60.7167,-135.0667,66.0,706.0
1963.0,15.5,60.7167,-135.0667,66.0,706.0
1964.0,21.299999237060547,60.7167,-135.0667,66.0,706.0
1965.0,11.399999618530273,60.7167,-135.0667,66.0,706.0
1966.0,12.699999809265137,60.7167,-135.0667,66.0,706.0
1967.0,17.799999237060547,60.7167,-135.0667,66.0,706.0
1968.0,17.5,60.7167,-135.0667,66.0,706.0
1969.0,19.299999237060547,60.7167,-135.0667,66.0,706.0
1970.0,23.600000381469727,60.7167,-135.0667,66.0,706.0
1971.0,24.100000381469727,60.7167,-135.0667,66.0,706.0
1972.0,18.299999237060547,60.7167,-135.0667,66.0,706.0
1973.0,10.899999618530273,60.7167,-135.0667,66.0,706.0
1974.0,28.399999618530273,60.7167,-135.0667,66.0,706.0
1975.0,16.299999237060547,60.7167,-135.0667,66.0,706.0
1976.0,14.199999809265137,60.7167,-135.0667,66.0,706.0
1977.0,16.0,60.7167,-135.0667,66.0,706.0
1978.0,10.600000381469727,60.7167,-135.0667,66.0,706.0
1979.0,17.399999618530273,60.7167,-135.0667,66.0,706.0
1980.0,18.700000762939453,60.7167,-135.0667,66.0,706.0
1981.0,9.800000190734863,60.7167,-135.0667,66.0,706.0
1982.0,10.800000190734863,60.7167,-135.0667,66.0,706.0
1983.0,24.600000381469727,60.7167,-135.0667,66.0,706.0
1984.0,21.200000762939453,60.7167,-135.0667,66.0,706.0
1985.0,44.900001525878906,60.7167,-135.0667,66.0,706.0
1986.0,25.200000762939453,60.7167,-135.0667,66.0,706.0
1987.0,15.199999809265137,60.7167,-135.0667,66.0,706.0
1988.0,14.600000381469727,60.7167,-135.0667,66.0,706.0
1989.0,10.199999809265137,60.7167,-135.0667,66.0,706.0
1990.0,14.399999618530273,60.7167,-135.0667,66.0,706.0
1991.0,23.200000762939453,60.7167,-135.0667,66.0,706.0
1992.0,14.699999809265137,60.7167,-135.0667,66.0,706.0
1994.0,15.199999809265137,60.7167,-135.0667,66.0,706.0
1995.0,13.199999809265137,60.7167,-135.0667,66.0,706.0
1998.0,12.0,60.7167,-135.0667,66.0,706.0
1999.0,15.0,60.7167,-135.0667,66.0,706.0
2000.0,25.200000762939453,60.7167,-135.0667,66.0,706.0
2001.0,23.899999618530273,60.7167,-135.0667,66.0,706.0
2002.0,13.5,60.7167,-135.0667,66.0,706.0
2003.0,15.399999618530273,60.7167,-135.0667,66.0,706.0
2004.0,16.799999237060547,60.7167,-135.0667,66.0,706.0
2005.0,26.799999237060547,60.7167,-135.0667,66.0,706.0
2006.0,23.399999618530273,60.7167,-135.0667,66.0,706.0
2007.0,18.799999237060547,60.7167,-135.0667,66.0,706.0
2008.0,12.600000381469727,60.7167,-135.0667,66.0,706.0
2009.0,17.600000381469727,60.7167,-135.0667,66.0,706.0
2010.0,28.799999237060547,60.7167,-135.0667,66.0,706.0
2011.0,21.0,60.7167,-135.0667,66.0,706.0
