,Maximum value,Latitude,Longitude,M,Z
1955.0,24.399999618530273,32.8356,-114.3942,62.0,98.8
1956.0,3.299999952316284,32.8356,-114.3942,62.0,98.8
1957.0,24.899999618530273,32.8356,-114.3942,62.0,98.8
1958.0,34.5,32.8356,-114.3942,62.0,98.8
1959.0,19.100000381469727,32.8356,-114.3942,62.0,98.8
1960.0,20.100000381469727,32.8356,-114.3942,62.0,98.8
1961.0,22.899999618530273,32.8356,-114.3942,62.0,98.8
1962.0,18.299999237060547,32.8356,-114.3942,62.0,98.8
1963.0,49.5,32.8356,-114.3942,62.0,98.8
1964.0,5.599999904632568,32.8356,-114.3942,62.0,98.8
1965.0,37.099998474121094,32.8356,-114.3942,62.0,98.8
1966.0,39.400001525878906,32.8356,-114.3942,62.0,98.8
1967.0,34.79999923706055,32.8356,-114.3942,62.0,98.8
1968.0,11.199999809265137,32.8356,-114.3942,62.0,98.8
1969.0,24.100000381469727,32.8356,-114.3942,62.0,98.8
1970.0,24.399999618530273,32.8356,-114.3942,62.0,98.8
1971.0,35.79999923706055,32.8356,-114.3942,62.0,98.8
1972.0,76.69999694824219,32.8356,-114.3942,62.0,98.8
1973.0,22.100000381469727,32.8356,-114.3942,62.0,98.8
1974.0,8.100000381469727,32.8356,-114.3942,62.0,98.8
1975.0,19.100000381469727,32.8356,-114.3942,62.0,98.8
1976.0,15.699999809265137,32.8356,-114.3942,62.0,98.8
1977.0,14.699999809265137,32.8356,-114.3942,62.0,98.8
1978.0,21.100000381469727,32.8356,-114.3942,62.0,98.8
1980.0,5.599999904632568,32.8356,-114.3942,62.0,98.8
1981.0,18.299999237060547,32.8356,-114.3942,62.0,98.8
1982.0,22.100000381469727,32.8356,-114.3942,62.0,98.8
1983.0,33.5,32.8356,-114.3942,62.0,98.8
1984.0,44.5,32.8356,-114.3942,62.0,98.8
1985.0,31.0,32.8356,-114.3942,62.0,98.8
1986.0,21.799999237060547,32.8356,-114.3942,62.0,98.8
1987.0,22.600000381469727,32.8356,-114.3942,62.0,98.8
1988.0,19.799999237060547,32.8356,-114.3942,62.0,98.8
1989.0,61.0,32.8356,-114.3942,62.0,98.8
1990.0,21.299999237060547,32.8356,-114.3942,62.0,98.8
1991.0,35.099998474121094,32.8356,-114.3942,62.0,98.8
1992.0,43.70000076293945,32.8356,-114.3942,62.0,98.8
1993.0,20.600000381469727,32.8356,-114.3942,62.0,98.8
1994.0,15.5,32.8356,-114.3942,62.0,98.8
1995.0,8.899999618530273,32.8356,-114.3942,62.0,98.8
1996.0,7.599999904632568,32.8356,-114.3942,62.0,98.8
1997.0,26.200000762939453,32.8356,-114.3942,62.0,98.8
1998.0,17.0,32.8356,-114.3942,62.0,98.8
1999.0,14.5,32.8356,-114.3942,62.0,98.8
2000.0,15.699999809265137,32.8356,-114.3942,62.0,98.8
2001.0,29.700000762939453,32.8356,-114.3942,62.0,98.8
2002.0,2.0,32.8356,-114.3942,62.0,98.8
2003.0,21.100000381469727,32.8356,-114.3942,62.0,98.8
2004.0,34.79999923706055,32.8356,-114.3942,62.0,98.8
2005.0,25.399999618530273,32.8356,-114.3942,62.0,98.8
2006.0,17.799999237060547,32.8356,-114.3942,62.0,98.8
2007.0,16.0,32.8356,-114.3942,62.0,98.8
2010.0,60.20000076293945,32.8356,-114.3942,62.0,98.8
2011.0,11.199999809265137,32.8356,-114.3942,62.0,98.8
2012.0,16.0,32.8356,-114.3942,62.0,98.8
2013.0,35.599998474121094,32.8356,-114.3942,62.0,98.8
2014.0,51.79999923706055,32.8356,-114.3942,62.0,98.8
2015.0,18.0,32.8356,-114.3942,62.0,98.8
2016.0,9.699999809265137,32.8356,-114.3942,62.0,98.8
2017.0,20.600000381469727,32.8356,-114.3942,62.0,98.8
2018.0,22.899999618530273,32.8356,-114.3942,62.0,98.8
2019.0,32.79999923706055,32.8356,-114.3942,62.0,98.8
