,Maximum value,Latitude,Longitude,M,Z
1911.0,62.20000076293945,-29.12,26.22,85.0,1393.0
1912.0,28.200000762939453,-29.12,26.22,85.0,1393.0
1913.0,36.29999923706055,-29.12,26.22,85.0,1393.0
1914.0,80.0,-29.12,26.22,85.0,1393.0
1915.0,55.400001525878906,-29.12,26.22,85.0,1393.0
1916.0,31.799999237060547,-29.12,26.22,85.0,1393.0
1917.0,53.599998474121094,-29.12,26.22,85.0,1393.0
1918.0,58.20000076293945,-29.12,26.22,85.0,1393.0
1919.0,35.79999923706055,-29.12,26.22,85.0,1393.0
1920.0,83.5999984741211,-29.12,26.22,85.0,1393.0
1921.0,48.79999923706055,-29.12,26.22,85.0,1393.0
1922.0,32.29999923706055,-29.12,26.22,85.0,1393.0
1923.0,108.0,-29.12,26.22,85.0,1393.0
1924.0,58.400001525878906,-29.12,26.22,85.0,1393.0
1925.0,53.29999923706055,-29.12,26.22,85.0,1393.0
1926.0,64.0,-29.12,26.22,85.0,1393.0
1927.0,35.599998474121094,-29.12,26.22,85.0,1393.0
1928.0,35.599998474121094,-29.12,26.22,85.0,1393.0
1929.0,34.29999923706055,-29.12,26.22,85.0,1393.0
1931.0,80.5,-29.12,26.22,85.0,1393.0
1932.0,38.099998474121094,-29.12,26.22,85.0,1393.0
1933.0,43.20000076293945,-29.12,26.22,85.0,1393.0
1934.0,47.79999923706055,-29.12,26.22,85.0,1393.0
1935.0,33.0,-29.12,26.22,85.0,1393.0
1936.0,43.20000076293945,-29.12,26.22,85.0,1393.0
1937.0,45.70000076293945,-29.12,26.22,85.0,1393.0
1938.0,43.20000076293945,-29.12,26.22,85.0,1393.0
1939.0,48.79999923706055,-29.12,26.22,85.0,1393.0
1940.0,60.5,-29.12,26.22,85.0,1393.0
1941.0,43.20000076293945,-29.12,26.22,85.0,1393.0
1942.0,56.599998474121094,-29.12,26.22,85.0,1393.0
1943.0,53.099998474121094,-29.12,26.22,85.0,1393.0
1944.0,104.9000015258789,-29.12,26.22,85.0,1393.0
1945.0,43.900001525878906,-29.12,26.22,85.0,1393.0
1946.0,79.19999694824219,-29.12,26.22,85.0,1393.0
1947.0,38.599998474121094,-29.12,26.22,85.0,1393.0
1948.0,63.5,-29.12,26.22,85.0,1393.0
1949.0,45.0,-29.12,26.22,85.0,1393.0
1950.0,50.79999923706055,-29.12,26.22,85.0,1393.0
1951.0,47.5,-29.12,26.22,85.0,1393.0
1952.0,81.0,-29.12,26.22,85.0,1393.0
1953.0,57.70000076293945,-29.12,26.22,85.0,1393.0
1954.0,32.5,-29.12,26.22,85.0,1393.0
1955.0,53.5,-29.12,26.22,85.0,1393.0
1956.0,102.19999694824219,-29.12,26.22,85.0,1393.0
1957.0,48.0,-29.12,26.22,85.0,1393.0
1958.0,61.099998474121094,-29.12,26.22,85.0,1393.0
1959.0,99.5,-29.12,26.22,85.0,1393.0
1960.0,58.0,-29.12,26.22,85.0,1393.0
1961.0,34.0,-29.12,26.22,85.0,1393.0
1962.0,51.70000076293945,-29.12,26.22,85.0,1393.0
1963.0,52.0,-29.12,26.22,85.0,1393.0
1964.0,90.5,-29.12,26.22,85.0,1393.0
1965.0,53.0,-29.12,26.22,85.0,1393.0
1966.0,43.0,-29.12,26.22,85.0,1393.0
1967.0,127.0,-29.12,26.22,85.0,1393.0
1968.0,39.5,-29.12,26.22,85.0,1393.0
1969.0,45.0,-29.12,26.22,85.0,1393.0
1970.0,41.29999923706055,-29.12,26.22,85.0,1393.0
1971.0,33.0,-29.12,26.22,85.0,1393.0
1972.0,55.0,-29.12,26.22,85.0,1393.0
1973.0,68.0,-29.12,26.22,85.0,1393.0
1974.0,54.5,-29.12,26.22,85.0,1393.0
1975.0,59.0,-29.12,26.22,85.0,1393.0
1976.0,102.0,-29.12,26.22,85.0,1393.0
1977.0,45.5,-29.12,26.22,85.0,1393.0
1978.0,55.0,-29.12,26.22,85.0,1393.0
1979.0,34.0,-29.12,26.22,85.0,1393.0
1980.0,31.0,-29.12,26.22,85.0,1393.0
1981.0,58.0,-29.12,26.22,85.0,1393.0
1982.0,49.5,-29.12,26.22,85.0,1393.0
1983.0,57.0,-29.12,26.22,85.0,1393.0
1984.0,46.5,-29.12,26.22,85.0,1393.0
1985.0,35.5,-29.12,26.22,85.0,1393.0
1986.0,55.0,-29.12,26.22,85.0,1393.0
1987.0,41.5,-29.12,26.22,85.0,1393.0
1989.0,47.0,-29.12,26.22,85.0,1393.0
1990.0,68.5,-29.12,26.22,85.0,1393.0
1991.0,66.19999694824219,-29.12,26.22,85.0,1393.0
1992.0,46.5,-29.12,26.22,85.0,1393.0
1993.0,68.5,-29.12,26.22,85.0,1393.0
1994.0,62.5,-29.12,26.22,85.0,1393.0
1995.0,58.099998474121094,-29.12,26.22,85.0,1393.0
1996.0,74.5999984741211,-29.12,26.22,85.0,1393.0
1997.0,24.399999618530273,-29.12,26.22,85.0,1393.0
