,Maximum value,Latitude,Longitude,M,Z
1906.0,40.400001525878906,-33.92,18.53,83.0,15.0
1907.0,24.399999618530273,-33.92,18.53,83.0,15.0
1908.0,71.4000015258789,-33.92,18.53,83.0,15.0
1909.0,43.400001525878906,-33.92,18.53,83.0,15.0
1911.0,110.0,-33.92,18.53,83.0,15.0
1912.0,35.79999923706055,-33.92,18.53,83.0,15.0
1913.0,44.20000076293945,-33.92,18.53,83.0,15.0
1914.0,59.400001525878906,-33.92,18.53,83.0,15.0
1915.0,39.900001525878906,-33.92,18.53,83.0,15.0
1916.0,34.79999923706055,-33.92,18.53,83.0,15.0
1917.0,53.099998474121094,-33.92,18.53,83.0,15.0
1918.0,32.5,-33.92,18.53,83.0,15.0
1919.0,35.79999923706055,-33.92,18.53,83.0,15.0
1920.0,39.400001525878906,-33.92,18.53,83.0,15.0
1921.0,40.599998474121094,-33.92,18.53,83.0,15.0
1922.0,24.600000381469727,-33.92,18.53,83.0,15.0
1923.0,51.599998474121094,-33.92,18.53,83.0,15.0
1924.0,24.600000381469727,-33.92,18.53,83.0,15.0
1925.0,38.099998474121094,-33.92,18.53,83.0,15.0
1926.0,15.199999809265137,-33.92,18.53,83.0,15.0
1927.0,33.0,-33.92,18.53,83.0,15.0
1928.0,26.200000762939453,-33.92,18.53,83.0,15.0
1929.0,25.899999618530273,-33.92,18.53,83.0,15.0
1930.0,21.299999237060547,-33.92,18.53,83.0,15.0
1931.0,31.799999237060547,-33.92,18.53,83.0,15.0
1932.0,26.200000762939453,-33.92,18.53,83.0,15.0
1933.0,26.899999618530273,-33.92,18.53,83.0,15.0
1934.0,21.600000381469727,-33.92,18.53,83.0,15.0
1935.0,36.79999923706055,-33.92,18.53,83.0,15.0
1936.0,33.0,-33.92,18.53,83.0,15.0
1937.0,22.899999618530273,-33.92,18.53,83.0,15.0
1938.0,32.29999923706055,-33.92,18.53,83.0,15.0
1939.0,25.399999618530273,-33.92,18.53,83.0,15.0
1940.0,30.0,-33.92,18.53,83.0,15.0
1941.0,33.0,-33.92,18.53,83.0,15.0
1942.0,47.79999923706055,-33.92,18.53,83.0,15.0
1943.0,22.100000381469727,-33.92,18.53,83.0,15.0
1944.0,23.399999618530273,-33.92,18.53,83.0,15.0
1945.0,34.5,-33.92,18.53,83.0,15.0
1946.0,31.0,-33.92,18.53,83.0,15.0
1947.0,20.100000381469727,-33.92,18.53,83.0,15.0
1948.0,15.699999809265137,-33.92,18.53,83.0,15.0
1949.0,25.399999618530273,-33.92,18.53,83.0,15.0
1950.0,32.5,-33.92,18.53,83.0,15.0
1951.0,48.29999923706055,-33.92,18.53,83.0,15.0
1952.0,46.5,-33.92,18.53,83.0,15.0
1953.0,30.0,-33.92,18.53,83.0,15.0
1954.0,64.0,-33.92,18.53,83.0,15.0
1955.0,34.0,-33.92,18.53,83.0,15.0
1956.0,43.0,-33.92,18.53,83.0,15.0
1957.0,47.20000076293945,-33.92,18.53,83.0,15.0
1958.0,37.5,-33.92,18.53,83.0,15.0
1959.0,44.5,-33.92,18.53,83.0,15.0
1960.0,38.5,-33.92,18.53,83.0,15.0
1961.0,41.0,-33.92,18.53,83.0,15.0
1962.0,50.0,-33.92,18.53,83.0,15.0
1963.0,36.0,-33.92,18.53,83.0,15.0
1964.0,38.0,-33.92,18.53,83.0,15.0
1965.0,27.0,-33.92,18.53,83.0,15.0
1966.0,50.0,-33.92,18.53,83.0,15.0
1967.0,28.299999237060547,-33.92,18.53,83.0,15.0
1968.0,70.0,-33.92,18.53,83.0,15.0
1969.0,37.0,-33.92,18.53,83.0,15.0
1970.0,31.899999618530273,-33.92,18.53,83.0,15.0
1971.0,21.5,-33.92,18.53,83.0,15.0
1972.0,23.5,-33.92,18.53,83.0,15.0
1973.0,26.5,-33.92,18.53,83.0,15.0
1974.0,57.5,-33.92,18.53,83.0,15.0
1975.0,79.0,-33.92,18.53,83.0,15.0
1976.0,34.5,-33.92,18.53,83.0,15.0
1977.0,33.0,-33.92,18.53,83.0,15.0
1978.0,20.899999618530273,-33.92,18.53,83.0,15.0
1979.0,75.0,-33.92,18.53,83.0,15.0
1980.0,37.099998474121094,-33.92,18.53,83.0,15.0
1981.0,44.20000076293945,-33.92,18.53,83.0,15.0
1982.0,30.0,-33.92,18.53,83.0,15.0
1983.0,49.0,-33.92,18.53,83.0,15.0
1985.0,60.79999923706055,-33.92,18.53,83.0,15.0
1986.0,34.70000076293945,-33.92,18.53,83.0,15.0
1987.0,25.0,-33.92,18.53,83.0,15.0
1988.0,38.5,-33.92,18.53,83.0,15.0
1989.0,41.5,-33.92,18.53,83.0,15.0
1990.0,36.0,-33.92,18.53,83.0,15.0
