,Maximum value,Latitude,Longitude,M,Z
1871.0,100.30000305175781,-29.85,31.0,113.0,91.0
1872.0,102.9000015258789,-29.85,31.0,113.0,91.0
1873.0,165.0,-29.85,31.0,113.0,91.0
1874.0,184.89999389648438,-29.85,31.0,113.0,91.0
1875.0,217.6999969482422,-29.85,31.0,113.0,91.0
1876.0,56.400001525878906,-29.85,31.0,113.0,91.0
1877.0,105.19999694824219,-29.85,31.0,113.0,91.0
1878.0,60.20000076293945,-29.85,31.0,113.0,91.0
1879.0,56.599998474121094,-29.85,31.0,113.0,91.0
1884.0,152.89999389648438,-29.85,31.0,113.0,91.0
1885.0,74.9000015258789,-29.85,31.0,113.0,91.0
1886.0,99.5999984741211,-29.85,31.0,113.0,91.0
1887.0,66.80000305175781,-29.85,31.0,113.0,91.0
1888.0,83.0999984741211,-29.85,31.0,113.0,91.0
1889.0,150.10000610351562,-29.85,31.0,113.0,91.0
1890.0,94.19999694824219,-29.85,31.0,113.0,91.0
1891.0,186.89999389648438,-29.85,31.0,113.0,91.0
1892.0,86.4000015258789,-29.85,31.0,113.0,91.0
1893.0,154.1999969482422,-29.85,31.0,113.0,91.0
1894.0,94.0,-29.85,31.0,113.0,91.0
1895.0,96.30000305175781,-29.85,31.0,113.0,91.0
1896.0,93.69999694824219,-29.85,31.0,113.0,91.0
1897.0,82.80000305175781,-29.85,31.0,113.0,91.0
1898.0,94.0,-29.85,31.0,113.0,91.0
1899.0,68.5999984741211,-29.85,31.0,113.0,91.0
1900.0,35.79999923706055,-29.85,31.0,113.0,91.0
1901.0,113.0,-29.85,31.0,113.0,91.0
1902.0,142.6999969482422,-29.85,31.0,113.0,91.0
1903.0,101.30000305175781,-29.85,31.0,113.0,91.0
1904.0,72.4000015258789,-29.85,31.0,113.0,91.0
1905.0,271.79998779296875,-29.85,31.0,113.0,91.0
1906.0,54.900001525878906,-29.85,31.0,113.0,91.0
1907.0,94.0,-29.85,31.0,113.0,91.0
1908.0,269.0,-29.85,31.0,113.0,91.0
1909.0,96.5,-29.85,31.0,113.0,91.0
1910.0,84.0999984741211,-29.85,31.0,113.0,91.0
1912.0,40.599998474121094,-29.85,31.0,113.0,91.0
1914.0,92.69999694824219,-29.85,31.0,113.0,91.0
1915.0,148.10000610351562,-29.85,31.0,113.0,91.0
1922.0,95.0,-29.85,31.0,113.0,91.0
1923.0,56.400001525878906,-29.85,31.0,113.0,91.0
1924.0,54.599998474121094,-29.85,31.0,113.0,91.0
1925.0,64.5,-29.85,31.0,113.0,91.0
1926.0,59.70000076293945,-29.85,31.0,113.0,91.0
1927.0,100.0999984741211,-29.85,31.0,113.0,91.0
1928.0,38.900001525878906,-29.85,31.0,113.0,91.0
1929.0,64.80000305175781,-29.85,31.0,113.0,91.0
1930.0,103.5999984741211,-29.85,31.0,113.0,91.0
1931.0,60.5,-29.85,31.0,113.0,91.0
1933.0,32.29999923706055,-29.85,31.0,113.0,91.0
1934.0,67.30000305175781,-29.85,31.0,113.0,91.0
1935.0,240.3000030517578,-29.85,31.0,113.0,91.0
1936.0,105.4000015258789,-29.85,31.0,113.0,91.0
1937.0,69.30000305175781,-29.85,31.0,113.0,91.0
1938.0,56.400001525878906,-29.85,31.0,113.0,91.0
1939.0,81.80000305175781,-29.85,31.0,113.0,91.0
1940.0,161.3000030517578,-29.85,31.0,113.0,91.0
1941.0,71.5999984741211,-29.85,31.0,113.0,91.0
1942.0,71.4000015258789,-29.85,31.0,113.0,91.0
1943.0,135.39999389648438,-29.85,31.0,113.0,91.0
1944.0,53.29999923706055,-29.85,31.0,113.0,91.0
1945.0,65.0,-29.85,31.0,113.0,91.0
1946.0,73.19999694824219,-29.85,31.0,113.0,91.0
1947.0,150.60000610351562,-29.85,31.0,113.0,91.0
1948.0,146.3000030517578,-29.85,31.0,113.0,91.0
1949.0,99.5999984741211,-29.85,31.0,113.0,91.0
1950.0,63.29999923706055,-29.85,31.0,113.0,91.0
1951.0,63.79999923706055,-29.85,31.0,113.0,91.0
1952.0,120.69999694824219,-29.85,31.0,113.0,91.0
1953.0,177.3000030517578,-29.85,31.0,113.0,91.0
1954.0,78.0,-29.85,31.0,113.0,91.0
1955.0,94.69999694824219,-29.85,31.0,113.0,91.0
1956.0,89.0,-29.85,31.0,113.0,91.0
1957.0,110.80000305175781,-29.85,31.0,113.0,91.0
1958.0,105.0,-29.85,31.0,113.0,91.0
1959.0,82.30000305175781,-29.85,31.0,113.0,91.0
1960.0,52.0,-29.85,31.0,113.0,91.0
1961.0,82.4000015258789,-29.85,31.0,113.0,91.0
1962.0,78.69999694824219,-29.85,31.0,113.0,91.0
1963.0,93.5,-29.85,31.0,113.0,91.0
1964.0,132.1999969482422,-29.85,31.0,113.0,91.0
1965.0,90.5,-29.85,31.0,113.0,91.0
1966.0,62.5,-29.85,31.0,113.0,91.0
1967.0,140.0,-29.85,31.0,113.0,91.0
1968.0,89.5,-29.85,31.0,113.0,91.0
1969.0,68.0,-29.85,31.0,113.0,91.0
1970.0,51.79999923706055,-29.85,31.0,113.0,91.0
1971.0,199.0,-29.85,31.0,113.0,91.0
1972.0,69.5,-29.85,31.0,113.0,91.0
1973.0,69.5999984741211,-29.85,31.0,113.0,91.0
1974.0,193.5,-29.85,31.0,113.0,91.0
1975.0,48.5,-29.85,31.0,113.0,91.0
1976.0,169.5,-29.85,31.0,113.0,91.0
1977.0,160.0,-29.85,31.0,113.0,91.0
1978.0,98.0,-29.85,31.0,113.0,91.0
1979.0,55.29999923706055,-29.85,31.0,113.0,91.0
1980.0,67.19999694824219,-29.85,31.0,113.0,91.0
1981.0,73.80000305175781,-29.85,31.0,113.0,91.0
1982.0,45.70000076293945,-29.85,31.0,113.0,91.0
1983.0,93.80000305175781,-29.85,31.0,113.0,91.0
1984.0,86.69999694824219,-29.85,31.0,113.0,91.0
1985.0,180.60000610351562,-29.85,31.0,113.0,91.0
1986.0,168.5,-29.85,31.0,113.0,91.0
1987.0,147.6999969482422,-29.85,31.0,113.0,91.0
1988.0,131.89999389648438,-29.85,31.0,113.0,91.0
1989.0,111.5,-29.85,31.0,113.0,91.0
1990.0,92.0,-29.85,31.0,113.0,91.0
1991.0,117.0,-29.85,31.0,113.0,91.0
1992.0,69.0,-29.85,31.0,113.0,91.0
1993.0,52.0,-29.85,31.0,113.0,91.0
1994.0,80.0,-29.85,31.0,113.0,91.0
1995.0,109.0,-29.85,31.0,113.0,91.0
1996.0,106.5,-29.85,31.0,113.0,91.0
