,Maximum value,Latitude,Longitude,M,Z
1917.0,90.9000015258789,-25.73,28.15,81.0,1340.0
1918.0,86.9000015258789,-25.73,28.15,81.0,1340.0
1919.0,59.900001525878906,-25.73,28.15,81.0,1340.0
1920.0,64.80000305175781,-25.73,28.15,81.0,1340.0
1921.0,44.70000076293945,-25.73,28.15,81.0,1340.0
1922.0,55.900001525878906,-25.73,28.15,81.0,1340.0
1923.0,42.70000076293945,-25.73,28.15,81.0,1340.0
1924.0,59.400001525878906,-25.73,28.15,81.0,1340.0
1925.0,52.29999923706055,-25.73,28.15,81.0,1340.0
1926.0,67.80000305175781,-25.73,28.15,81.0,1340.0
1927.0,68.0999984741211,-25.73,28.15,81.0,1340.0
1928.0,163.8000030517578,-25.73,28.15,81.0,1340.0
1929.0,56.400001525878906,-25.73,28.15,81.0,1340.0
1930.0,64.80000305175781,-25.73,28.15,81.0,1340.0
1931.0,36.099998474121094,-25.73,28.15,81.0,1340.0
1932.0,57.900001525878906,-25.73,28.15,81.0,1340.0
1933.0,57.70000076293945,-25.73,28.15,81.0,1340.0
1934.0,36.599998474121094,-25.73,28.15,81.0,1340.0
1935.0,37.599998474121094,-25.73,28.15,81.0,1340.0
1936.0,79.5,-25.73,28.15,81.0,1340.0
1937.0,90.4000015258789,-25.73,28.15,81.0,1340.0
1938.0,55.900001525878906,-25.73,28.15,81.0,1340.0
1939.0,119.4000015258789,-25.73,28.15,81.0,1340.0
1940.0,49.0,-25.73,28.15,81.0,1340.0
1941.0,60.20000076293945,-25.73,28.15,81.0,1340.0
1942.0,61.20000076293945,-25.73,28.15,81.0,1340.0
1943.0,70.4000015258789,-25.73,28.15,81.0,1340.0
1944.0,58.400001525878906,-25.73,28.15,81.0,1340.0
1945.0,42.70000076293945,-25.73,28.15,81.0,1340.0
1946.0,51.599998474121094,-25.73,28.15,81.0,1340.0
1947.0,46.5,-25.73,28.15,81.0,1340.0
1948.0,32.0,-25.73,28.15,81.0,1340.0
1949.0,41.099998474121094,-25.73,28.15,81.0,1340.0
1950.0,73.4000015258789,-25.73,28.15,81.0,1340.0
1951.0,42.900001525878906,-25.73,28.15,81.0,1340.0
1952.0,31.0,-25.73,28.15,81.0,1340.0
1953.0,36.5,-25.73,28.15,81.0,1340.0
1954.0,32.0,-25.73,28.15,81.0,1340.0
1955.0,95.0,-25.73,28.15,81.0,1340.0
1956.0,45.0,-25.73,28.15,81.0,1340.0
1957.0,50.5,-25.73,28.15,81.0,1340.0
1958.0,52.0,-25.73,28.15,81.0,1340.0
1959.0,111.0,-25.73,28.15,81.0,1340.0
1960.0,43.0,-25.73,28.15,81.0,1340.0
1961.0,89.0,-25.73,28.15,81.0,1340.0
1962.0,58.5,-25.73,28.15,81.0,1340.0
1963.0,69.5,-25.73,28.15,81.0,1340.0
1964.0,47.5,-25.73,28.15,81.0,1340.0
1965.0,55.5,-25.73,28.15,81.0,1340.0
1966.0,48.0,-25.73,28.15,81.0,1340.0
1967.0,94.0,-25.73,28.15,81.0,1340.0
1968.0,50.5,-25.73,28.15,81.0,1340.0
1969.0,102.0,-25.73,28.15,81.0,1340.0
1970.0,35.0,-25.73,28.15,81.0,1340.0
1971.0,56.5,-25.73,28.15,81.0,1340.0
1972.0,74.5,-25.73,28.15,81.0,1340.0
1973.0,52.5,-25.73,28.15,81.0,1340.0
1974.0,68.0,-25.73,28.15,81.0,1340.0
1975.0,47.0,-25.73,28.15,81.0,1340.0
1976.0,80.0,-25.73,28.15,81.0,1340.0
1977.0,60.0,-25.73,28.15,81.0,1340.0
1978.0,127.5,-25.73,28.15,81.0,1340.0
1979.0,69.5,-25.73,28.15,81.0,1340.0
1980.0,58.0,-25.73,28.15,81.0,1340.0
1981.0,61.0,-25.73,28.15,81.0,1340.0
1982.0,30.0,-25.73,28.15,81.0,1340.0
1983.0,29.5,-25.73,28.15,81.0,1340.0
1984.0,37.0,-25.73,28.15,81.0,1340.0
1985.0,84.5,-25.73,28.15,81.0,1340.0
1986.0,100.0,-25.73,28.15,81.0,1340.0
1987.0,66.0,-25.73,28.15,81.0,1340.0
1988.0,56.0,-25.73,28.15,81.0,1340.0
1989.0,54.0,-25.73,28.15,81.0,1340.0
1990.0,61.0,-25.73,28.15,81.0,1340.0
1991.0,67.5,-25.73,28.15,81.0,1340.0
1992.0,31.5,-25.73,28.15,81.0,1340.0
1993.0,46.5,-25.73,28.15,81.0,1340.0
1994.0,90.0,-25.73,28.15,81.0,1340.0
1995.0,92.5,-25.73,28.15,81.0,1340.0
1996.0,80.0,-25.73,28.15,81.0,1340.0
1997.0,91.5,-25.73,28.15,81.0,1340.0
