,Maximum value,Latitude,Longitude,M,Z
1916.0,63.29999923706055,-12.77,-39.42,61.0,265.0
1917.0,53.79999923706055,-12.77,-39.42,61.0,265.0
1918.0,71.5999984741211,-12.77,-39.42,61.0,265.0
1919.0,40.70000076293945,-12.77,-39.42,61.0,265.0
1920.0,49.79999923706055,-12.77,-39.42,61.0,265.0
1921.0,67.4000015258789,-12.77,-39.42,61.0,265.0
1922.0,120.9000015258789,-12.77,-39.42,61.0,265.0
1923.0,41.70000076293945,-12.77,-39.42,61.0,265.0
1924.0,61.70000076293945,-12.77,-39.42,61.0,265.0
1925.0,44.5,-12.77,-39.42,61.0,265.0
1926.0,46.5,-12.77,-39.42,61.0,265.0
1930.0,64.19999694824219,-12.77,-39.42,61.0,265.0
1931.0,33.099998474121094,-12.77,-39.42,61.0,265.0
1932.0,53.70000076293945,-12.77,-39.42,61.0,265.0
1933.0,63.29999923706055,-12.77,-39.42,61.0,265.0
1934.0,121.0,-12.77,-39.42,61.0,265.0
1935.0,44.20000076293945,-12.77,-39.42,61.0,265.0
1936.0,45.29999923706055,-12.77,-39.42,61.0,265.0
1937.0,31.899999618530273,-12.77,-39.42,61.0,265.0
1938.0,61.900001525878906,-12.77,-39.42,61.0,265.0
1939.0,74.5,-12.77,-39.42,61.0,265.0
1940.0,59.70000076293945,-12.77,-39.42,61.0,265.0
1941.0,66.4000015258789,-12.77,-39.42,61.0,265.0
1942.0,63.79999923706055,-12.77,-39.42,61.0,265.0
1943.0,42.20000076293945,-12.77,-39.42,61.0,265.0
1944.0,64.4000015258789,-12.77,-39.42,61.0,265.0
1945.0,62.400001525878906,-12.77,-39.42,61.0,265.0
1946.0,55.400001525878906,-12.77,-39.42,61.0,265.0
1947.0,63.5,-12.77,-39.42,61.0,265.0
1948.0,58.20000076293945,-12.77,-39.42,61.0,265.0
1949.0,32.79999923706055,-12.77,-39.42,61.0,265.0
1950.0,54.599998474121094,-12.77,-39.42,61.0,265.0
1951.0,29.600000381469727,-12.77,-39.42,61.0,265.0
1952.0,26.399999618530273,-12.77,-39.42,61.0,265.0
1953.0,35.79999923706055,-12.77,-39.42,61.0,265.0
1954.0,42.099998474121094,-12.77,-39.42,61.0,265.0
1955.0,30.100000381469727,-12.77,-39.42,61.0,265.0
1956.0,37.20000076293945,-12.77,-39.42,61.0,265.0
1957.0,30.200000762939453,-12.77,-39.42,61.0,265.0
1958.0,29.299999237060547,-12.77,-39.42,61.0,265.0
1959.0,87.19999694824219,-12.77,-39.42,61.0,265.0
1960.0,63.400001525878906,-12.77,-39.42,61.0,265.0
1961.0,70.19999694824219,-12.77,-39.42,61.0,265.0
1962.0,56.400001525878906,-12.77,-39.42,61.0,265.0
1963.0,63.29999923706055,-12.77,-39.42,61.0,265.0
1964.0,85.19999694824219,-12.77,-39.42,61.0,265.0
1965.0,86.0999984741211,-12.77,-39.42,61.0,265.0
1966.0,30.200000762939453,-12.77,-39.42,61.0,265.0
1967.0,75.19999694824219,-12.77,-39.42,61.0,265.0
1968.0,56.400001525878906,-12.77,-39.42,61.0,265.0
1969.0,40.29999923706055,-12.77,-39.42,61.0,265.0
1970.0,80.4000015258789,-12.77,-39.42,61.0,265.0
1971.0,64.19999694824219,-12.77,-39.42,61.0,265.0
1972.0,129.0,-12.77,-39.42,61.0,265.0
1974.0,74.5,-12.77,-39.42,61.0,265.0
1975.0,42.599998474121094,-12.77,-39.42,61.0,265.0
1976.0,18.100000381469727,-12.77,-39.42,61.0,265.0
1978.0,80.0,-12.77,-39.42,61.0,265.0
1979.0,18.299999237060547,-12.77,-39.42,61.0,265.0
1980.0,16.299999237060547,-12.77,-39.42,61.0,265.0
1982.0,16.100000381469727,-12.77,-39.42,61.0,265.0
